date,count,total_count,ratio
"2020-01-01","5","130","0.038461538461538464"
"2020-01-02","12","209","0.05741626794258373"
"2020-01-03","16","227","0.07048458149779736"
"2020-01-04","7","174","0.040229885057471264"
"2020-01-05","12","173","0.06936416184971098"
"2020-01-06","10","243","0.0411522633744856"
"2020-01-07","12","256","0.046875"
"2020-01-08","11","272","0.04044117647058824"
"2020-01-09","15","268","0.055970149253731345"
"2020-01-10","6","203","0.029556650246305417"
"2020-01-11","15","158","0.0949367088607595"
"2020-01-12","12","157","0.07643312101910828"
"2020-01-13","14","261","0.05363984674329502"
"2020-01-14","11","225","0.04888888888888889"
"2020-01-15","13","276","0.04710144927536232"
"2020-01-16","10","259","0.03861003861003861"
"2020-01-17","8","206","0.038834951456310676"
"2020-01-18","8","157","0.050955414012738856"
"2020-01-19","21","135","0.15555555555555556"
"2020-01-20","23","244","0.0942622950819672"
"2020-01-21","13","262","0.04961832061068702"
"2020-01-22","18","241","0.07468879668049792"
"2020-01-23","11","287","0.03832752613240418"
"2020-01-24","18","228","0.07894736842105263"
"2020-01-25","2","108","0.018518518518518517"
"2020-01-26","13","183","0.07103825136612021"
"2020-01-27","14","289","0.04844290657439446"
"2020-01-28","12","287","0.041811846689895474"
"2020-01-29","12","258","0.046511627906976744"
"2020-01-30","8","242","0.03305785123966942"
"2020-01-31","12","212","0.05660377358490566"
"2020-02-01","6","176","0.03409090909090909"
"2020-02-02","17","164","0.10365853658536585"
"2020-02-03","8","189","0.042328042328042326"
"2020-02-04","8","147","0.05442176870748299"
"2020-02-05","8","148","0.05405405405405406"
"2020-02-06","7","185","0.03783783783783784"
"2020-02-07","7","167","0.041916167664670656"
"2020-02-08","2","108","0.018518518518518517"
"2020-02-09","4","111","0.036036036036036036"
"2020-02-10","8","184","0.043478260869565216"
"2020-02-11","10","149","0.06711409395973154"
"2020-02-12","12","197","0.06091370558375635"
"2020-02-13","20","174","0.11494252873563218"
"2020-02-14","11","134","0.08208955223880597"
"2020-02-15","4","103","0.038834951456310676"
"2020-02-16","12","90","0.13333333333333333"
"2020-02-17","24","177","0.13559322033898305"
"2020-02-18","21","186","0.11290322580645161"
"2020-02-19","48","271","0.17712177121771217"
"2020-02-20","23","261","0.08812260536398467"
"2020-02-21","24","235","0.10212765957446808"
"2020-02-22","14","166","0.08433734939759036"
"2020-02-23","19","159","0.11949685534591195"
"2020-02-24","20","281","0.0711743772241993"
"2020-02-25","35","297","0.11784511784511785"
"2020-02-26","33","276","0.11956521739130435"
"2020-02-27","34","262","0.1297709923664122"
"2020-02-28","38","250","0.152"
"2020-02-29","30","216","0.1388888888888889"
"2020-03-01","29","194","0.14948453608247422"
"2020-03-02","39","259","0.15057915057915058"
"2020-03-03","38","279","0.13620071684587814"
"2020-03-04","48","302","0.15894039735099338"
"2020-03-05","35","264","0.13257575757575757"
"2020-03-06","50","263","0.19011406844106463"
"2020-03-07","36","194","0.18556701030927836"
"2020-03-08","45","176","0.2556818181818182"
"2020-03-09","60","309","0.1941747572815534"
"2020-03-10","65","314","0.2070063694267516"
"2020-03-11","93","295","0.3152542372881356"
"2020-03-12","120","308","0.38961038961038963"
"2020-03-13","110","268","0.41044776119402987"
"2020-03-14","66","208","0.3173076923076923"
"2020-03-15","87","192","0.453125"
"2020-03-16","146","264","0.553030303030303"
"2020-03-17","168","329","0.5106382978723404"
"2020-03-18","153","313","0.48881789137380194"
"2020-03-19","160","290","0.5517241379310345"
"2020-03-20","158","282","0.5602836879432624"
"2020-03-21","116","207","0.5603864734299517"
"2020-03-22","80","159","0.5031446540880503"
"2020-03-23","136","254","0.5354330708661418"
"2020-03-24","174","282","0.6170212765957447"
"2020-03-25","161","257","0.6264591439688716"
"2020-03-26","141","241","0.5850622406639004"
"2020-03-27","113","198","0.5707070707070707"
"2020-03-28","69","131","0.5267175572519084"
"2020-03-29","75","127","0.5905511811023622"
"2020-03-30","121","222","0.545045045045045"
"2020-03-31","123","216","0.5694444444444444"
"2020-04-01","119","226","0.5265486725663717"
"2020-04-02","140","233","0.6008583690987125"
"2020-04-03","106","189","0.5608465608465608"
"2020-04-04","77","135","0.5703703703703704"
"2020-04-05","93","145","0.6413793103448275"
"2020-04-06","97","181","0.5359116022099447"
"2020-04-07","100","177","0.5649717514124294"
"2020-04-08","90","174","0.5172413793103449"
"2020-04-09","90","145","0.6206896551724138"
"2020-04-10","83","143","0.5804195804195804"
"2020-04-11","78","140","0.5571428571428572"
"2020-04-12","90","156","0.5769230769230769"
"2020-04-13","127","206","0.616504854368932"
"2020-04-14","152","234","0.6495726495726496"
"2020-04-15","156","265","0.5886792452830188"
"2020-04-16","156","264","0.5909090909090909"
"2020-04-17","141","231","0.6103896103896104"
"2020-04-18","104","179","0.5810055865921788"
"2020-04-19","109","161","0.6770186335403726"
"2020-04-20","146","240","0.6083333333333333"
"2020-04-21","125","208","0.6009615384615384"
"2020-04-22","141","239","0.5899581589958159"
"2020-04-23","157","241","0.6514522821576764"
"2020-04-24","138","228","0.6052631578947368"
"2020-04-25","81","154","0.525974025974026"
"2020-04-26","80","153","0.5228758169934641"
"2020-04-27","102","204","0.5"
"2020-04-28","96","198","0.48484848484848486"
"2020-04-29","150","259","0.5791505791505791"
"2020-04-30","149","255","0.5843137254901961"
"2020-05-01","101","166","0.608433734939759"
"2020-05-02","79","169","0.46745562130177515"
"2020-05-03","75","155","0.4838709677419355"
"2020-05-04","150","229","0.6550218340611353"
"2020-05-05","133","248","0.5362903225806451"
"2020-05-06","110","212","0.5188679245283019"
"2020-05-07","139","266","0.5225563909774437"
"2020-05-08","106","204","0.5196078431372549"
"2020-05-09","108","195","0.5538461538461539"
"2020-05-10","91","163","0.558282208588957"
"2020-05-11","116","223","0.5201793721973094"
"2020-05-12","147","254","0.5787401574803149"
"2020-05-13","101","193","0.5233160621761658"
"2020-05-14","116","190","0.6105263157894737"
"2020-05-15","135","248","0.5443548387096774"
"2020-05-16","92","163","0.5644171779141104"
"2020-05-17","102","164","0.6219512195121951"
"2020-05-18","132","220","0.6"
"2020-05-19","130","220","0.5909090909090909"
"2020-05-20","136","223","0.6098654708520179"
"2020-05-21","139","253","0.549407114624506"
"2020-05-22","118","215","0.5488372093023256"
"2020-05-23","87","157","0.554140127388535"
"2020-05-24","97","172","0.563953488372093"
"2020-05-25","114","194","0.5876288659793815"
"2020-05-26","137","210","0.6523809523809524"
"2020-05-27","117","215","0.5441860465116279"
"2020-05-28","110","201","0.5472636815920398"
"2020-05-29","119","231","0.5151515151515151"
"2020-05-30","101","177","0.5706214689265536"
"2020-05-31","77","204","0.37745098039215685"
"2020-06-01","124","278","0.4460431654676259"
"2020-06-02","99","239","0.41422594142259417"
"2020-06-03","87","253","0.3438735177865613"
"2020-06-04","91","233","0.3905579399141631"
"2020-06-05","96","244","0.39344262295081966"
"2020-06-06","82","208","0.3942307692307692"
"2020-06-07","68","178","0.38202247191011235"
"2020-06-08","132","284","0.4647887323943662"
"2020-06-09","130","258","0.5038759689922481"
"2020-06-10","132","245","0.5387755102040817"
"2020-06-11","131","263","0.49809885931558934"
"2020-06-12","104","218","0.47706422018348627"
"2020-06-13","81","167","0.48502994011976047"
"2020-06-14","62","141","0.4397163120567376"
"2020-06-15","131","255","0.5137254901960784"
"2020-06-16","124","247","0.5020242914979757"
"2020-06-17","118","236","0.5"
"2020-06-18","122","258","0.4728682170542636"
"2020-06-19","147","267","0.550561797752809"
"2020-06-20","89","194","0.4587628865979381"
"2020-06-21","96","213","0.4507042253521127"
"2020-06-22","130","235","0.5531914893617021"
"2020-06-23","131","277","0.4729241877256318"
"2020-06-24","134","263","0.5095057034220533"
"2020-06-25","107","237","0.45147679324894513"
"2020-06-26","103","250","0.412"
"2020-06-27","97","184","0.5271739130434783"
"2020-06-28","79","164","0.4817073170731707"
"2020-06-29","116","237","0.48945147679324896"
"2020-06-30","135","260","0.5192307692307693"
"2020-07-01","148","274","0.5401459854014599"
"2020-07-02","135","269","0.5018587360594795"
"2020-07-03","109","221","0.49321266968325794"
"2020-07-04","83","186","0.44623655913978494"
"2020-07-05","98","181","0.5414364640883977"
"2020-07-06","118","247","0.4777327935222672"
"2020-07-07","145","306","0.4738562091503268"
"2020-07-08","157","303","0.5181518151815182"
"2020-07-09","171","346","0.49421965317919075"
"2020-07-10","131","278","0.4712230215827338"
"2020-07-11","96","217","0.4423963133640553"
"2020-07-12","92","189","0.48677248677248675"
"2020-07-13","157","320","0.490625"
"2020-07-14","173","339","0.5103244837758112"
"2020-07-15","105","256","0.41015625"
"2020-07-16","122","307","0.3973941368078176"
"2020-07-17","109","268","0.40671641791044777"
"2020-07-18","110","260","0.4230769230769231"
"2020-07-19","103","211","0.4881516587677725"
"2020-07-20","136","307","0.44299674267100975"
"2020-07-21","135","305","0.4426229508196721"
"2020-07-22","146","311","0.4694533762057878"
"2020-07-23","141","333","0.42342342342342343"
"2020-07-24","42","102","0.4117647058823529"
"2020-07-25","13","34","0.38235294117647056"
"2020-07-26","15","38","0.39473684210526316"
"2020-07-27","29","54","0.5370370370370371"
"2020-07-28","48","134","0.3582089552238806"
"2020-07-29","133","289","0.4602076124567474"
"2020-07-30","118","272","0.4338235294117647"
"2020-07-31","94","262","0.35877862595419846"
"2020-08-01","92","215","0.42790697674418604"
"2020-08-02","89","202","0.4405940594059406"
"2020-08-03","139","302","0.4602649006622517"
"2020-08-04","51","133","0.38345864661654133"
"2020-08-05","19","39","0.48717948717948717"
"2020-08-06","32","80","0.4"
"2020-08-07","82","173","0.47398843930635837"
"2020-08-08","73","204","0.35784313725490197"
"2020-08-09","82","181","0.4530386740331492"
"2020-08-10","137","308","0.4448051948051948"
"2020-08-11","134","339","0.3952802359882006"
"2020-08-12","162","327","0.4954128440366973"
"2020-08-13","121","313","0.3865814696485623"
"2020-08-14","94","305","0.3081967213114754"
"2020-08-15","80","218","0.3669724770642202"
"2020-08-16","84","209","0.4019138755980861"
"2020-08-17","142","326","0.43558282208588955"
"2020-08-18","104","296","0.35135135135135137"
"2020-08-19","146","309","0.47249190938511326"
"2020-08-20","113","350","0.32285714285714284"
"2020-08-21","80","332","0.24096385542168675"
"2020-08-22","97","262","0.3702290076335878"
"2020-08-23","87","224","0.38839285714285715"
"2020-08-24","151","343","0.4402332361516035"
"2020-08-25","123","359","0.3426183844011142"
"2020-08-26","114","354","0.3220338983050847"
"2020-08-27","103","346","0.2976878612716763"
"2020-08-28","112","331","0.338368580060423"
"2020-08-29","65","238","0.27310924369747897"
"2020-08-30","79","198","0.398989898989899"
"2020-08-31","89","319","0.27899686520376177"
"2020-09-01","89","306","0.2908496732026144"
"2020-09-02","112","333","0.33633633633633636"
"2020-09-03","101","312","0.32371794871794873"
"2020-09-04","116","343","0.33819241982507287"
"2020-09-05","90","271","0.33210332103321033"
"2020-09-06","74","221","0.334841628959276"
"2020-09-07","118","322","0.36645962732919257"
"2020-09-08","130","384","0.3385416666666667"
"2020-09-09","115","398","0.2889447236180904"
"2020-09-10","110","380","0.2894736842105263"
"2020-09-11","115","400","0.2875"
"2020-09-12","114","319","0.3573667711598746"
"2020-09-13","86","261","0.32950191570881227"
"2020-09-14","127","368","0.3451086956521739"
"2020-09-15","105","315","0.3333333333333333"
"2020-09-16","129","384","0.3359375"
"2020-09-17","132","398","0.3316582914572864"
"2020-09-18","161","377","0.4270557029177719"
"2020-09-19","141","330","0.42727272727272725"
"2020-09-20","63","200","0.315"
"2020-09-21","114","315","0.3619047619047619"
"2020-09-22","131","392","0.33418367346938777"
"2020-09-23","143","451","0.3170731707317073"
"2020-09-24","125","389","0.3213367609254499"
"2020-09-25","102","422","0.24170616113744076"
"2020-09-26","93","314","0.2961783439490446"
"2020-09-27","102","286","0.35664335664335667"
"2020-09-28","103","370","0.27837837837837837"
"2020-09-29","113","384","0.2942708333333333"
"2020-09-30","100","407","0.2457002457002457"
"2020-10-01","129","428","0.3014018691588785"
"2020-10-02","108","368","0.29347826086956524"
"2020-10-03","95","301","0.31561461794019935"
"2020-10-04","93","289","0.3217993079584775"
"2020-10-05","154","458","0.33624454148471616"
"2020-10-06","122","415","0.29397590361445786"
"2020-10-07","135","468","0.28846153846153844"
"2020-10-08","144","429","0.3356643356643357"
"2020-10-09","98","386","0.2538860103626943"
"2020-10-10","65","305","0.21311475409836064"
"2020-10-11","82","289","0.2837370242214533"
