date,count,total_count,ratio
"2020-01-01","8","76","0.10526315789473684"
"2020-01-02","11","171","0.06432748538011696"
"2020-01-03","12","196","0.061224489795918366"
"2020-01-04","9","120","0.075"
"2020-01-05","2","99","0.020202020202020204"
"2020-01-06","9","191","0.04712041884816754"
"2020-01-07","10","203","0.04926108374384237"
"2020-01-08","10","222","0.04504504504504504"
"2020-01-09","10","195","0.05128205128205128"
"2020-01-10","12","229","0.05240174672489083"
"2020-01-11","7","99","0.0707070707070707"
"2020-01-12","4","98","0.04081632653061224"
"2020-01-13","4","196","0.02040816326530612"
"2020-01-14","9","214","0.04205607476635514"
"2020-01-15","0","189","0"
"2020-01-16","14","206","0.06796116504854369"
"2020-01-17","20","214","0.09345794392523364"
"2020-01-18","7","134","0.05223880597014925"
"2020-01-19","40","105","0.38095238095238093"
"2020-01-20","32","204","0.1568627450980392"
"2020-01-21","13","184","0.07065217391304347"
"2020-01-22","8","201","0.03980099502487562"
"2020-01-23","13","193","0.06735751295336788"
"2020-01-24","11","187","0.058823529411764705"
"2020-01-25","7","134","0.05223880597014925"
"2020-01-26","5","103","0.04854368932038835"
"2020-01-27","17","189","0.08994708994708994"
"2020-01-28","18","197","0.09137055837563451"
"2020-01-29","8","175","0.045714285714285714"
"2020-01-30","9","177","0.05084745762711865"
"2020-01-31","14","180","0.07777777777777778"
"2020-02-01","1","105","0.009523809523809525"
"2020-02-02","12","111","0.10810810810810811"
"2020-02-03","8","147","0.05442176870748299"
"2020-02-04","8","161","0.049689440993788817"
"2020-02-05","1","162","0.006172839506172839"
"2020-02-06","9","163","0.05521472392638037"
"2020-02-07","3","165","0.01818181818181818"
"2020-02-08","6","124","0.04838709677419355"
"2020-02-09","8","108","0.07407407407407407"
"2020-02-10","14","204","0.06862745098039216"
"2020-02-11","16","189","0.08465608465608465"
"2020-02-12","21","201","0.1044776119402985"
"2020-02-13","15","198","0.07575757575757576"
"2020-02-14","21","203","0.10344827586206896"
"2020-02-15","10","124","0.08064516129032258"
"2020-02-16","11","117","0.09401709401709402"
"2020-02-17","20","237","0.08438818565400844"
"2020-02-18","27","225","0.12"
"2020-02-19","70","242","0.2892561983471074"
"2020-02-20","45","249","0.18072289156626506"
"2020-02-21","27","219","0.1232876712328767"
"2020-02-22","9","141","0.06382978723404255"
"2020-02-23","10","135","0.07407407407407407"
"2020-02-24","18","219","0.0821917808219178"
"2020-02-25","36","227","0.15859030837004406"
"2020-02-26","33","271","0.12177121771217712"
"2020-02-27","25","254","0.0984251968503937"
"2020-02-28","59","237","0.2489451476793249"
"2020-02-29","41","159","0.2578616352201258"
"2020-03-01","31","147","0.2108843537414966"
"2020-03-02","43","221","0.19457013574660634"
"2020-03-03","30","207","0.14492753623188406"
"2020-03-04","52","266","0.19548872180451127"
"2020-03-05","55","234","0.23504273504273504"
"2020-03-06","63","256","0.24609375"
"2020-03-07","38","158","0.24050632911392406"
"2020-03-08","31","137","0.22627737226277372"
"2020-03-09","64","245","0.2612244897959184"
"2020-03-10","66","223","0.29596412556053814"
"2020-03-11","93","273","0.34065934065934067"
"2020-03-12","106","245","0.4326530612244898"
"2020-03-13","121","260","0.4653846153846154"
"2020-03-14","66","137","0.48175182481751827"
"2020-03-15","76","128","0.59375"
"2020-03-16","159","280","0.5678571428571428"
"2020-03-17","167","289","0.5778546712802768"
"2020-03-18","168","296","0.5675675675675675"
"2020-03-19","198","277","0.7148014440433214"
"2020-03-20","179","261","0.685823754789272"
"2020-03-21","135","190","0.7105263157894737"
"2020-03-22","100","162","0.6172839506172839"
"2020-03-23","179","300","0.5966666666666667"
"2020-03-24","179","297","0.6026936026936027"
"2020-03-25","175","274","0.6386861313868614"
"2020-03-26","158","266","0.5939849624060151"
"2020-03-27","149","274","0.5437956204379562"
"2020-03-28","85","144","0.5902777777777778"
"2020-03-29","85","149","0.5704697986577181"
"2020-03-30","123","245","0.5020408163265306"
"2020-03-31","150","259","0.5791505791505791"
"2020-04-01","174","282","0.6170212765957447"
"2020-04-02","153","253","0.6047430830039525"
"2020-04-03","146","248","0.5887096774193549"
"2020-04-04","103","193","0.533678756476684"
"2020-04-05","97","169","0.5739644970414202"
"2020-04-06","142","236","0.6016949152542372"
"2020-04-07","159","276","0.5760869565217391"
"2020-04-08","145","255","0.5686274509803921"
"2020-04-09","145","217","0.6682027649769585"
"2020-04-10","131","214","0.6121495327102804"
"2020-04-11","110","171","0.6432748538011696"
"2020-04-12","115","175","0.6571428571428571"
"2020-04-13","165","295","0.559322033898305"
"2020-04-14","157","272","0.5772058823529411"
"2020-04-15","182","310","0.5870967741935483"
"2020-04-16","169","284","0.5950704225352113"
"2020-04-17","173","285","0.6070175438596491"
"2020-04-18","105","184","0.5706521739130435"
"2020-04-19","100","168","0.5952380952380952"
"2020-04-20","140","253","0.5533596837944664"
"2020-04-21","161","297","0.5420875420875421"
"2020-04-22","206","331","0.622356495468278"
"2020-04-23","181","291","0.6219931271477663"
"2020-04-24","146","271","0.5387453874538746"
"2020-04-25","98","177","0.5536723163841808"
"2020-04-26","90","168","0.5357142857142857"
"2020-04-27","141","255","0.5529411764705883"
"2020-04-28","125","249","0.5020080321285141"
"2020-04-29","171","278","0.6151079136690647"
"2020-04-30","151","269","0.5613382899628253"
"2020-05-01","100","203","0.49261083743842365"
"2020-05-02","88","157","0.5605095541401274"
"2020-05-03","96","160","0.6"
"2020-05-04","129","247","0.5222672064777328"
"2020-05-05","106","233","0.45493562231759654"
"2020-05-06","126","236","0.5338983050847458"
"2020-05-07","163","278","0.5863309352517986"
"2020-05-08","129","256","0.50390625"
"2020-05-09","86","185","0.4648648648648649"
"2020-05-10","93","177","0.5254237288135594"
"2020-05-11","136","224","0.6071428571428571"
"2020-05-12","134","244","0.5491803278688525"
"2020-05-13","163","292","0.5582191780821918"
"2020-05-14","120","248","0.4838709677419355"
"2020-05-15","138","252","0.5476190476190477"
"2020-05-16","109","191","0.5706806282722513"
"2020-05-17","87","169","0.514792899408284"
"2020-05-18","147","267","0.550561797752809"
"2020-05-19","169","250","0.676"
"2020-05-20","177","288","0.6145833333333334"
"2020-05-21","141","248","0.5685483870967742"
"2020-05-22","120","255","0.47058823529411764"
"2020-05-23","100","165","0.6060606060606061"
"2020-05-24","100","173","0.5780346820809249"
"2020-05-25","162","260","0.6230769230769231"
"2020-05-26","141","256","0.55078125"
"2020-05-27","134","250","0.536"
"2020-05-28","133","249","0.5341365461847389"
"2020-05-29","133","255","0.5215686274509804"
"2020-05-30","78","175","0.44571428571428573"
"2020-05-31","73","171","0.4269005847953216"
"2020-06-01","106","254","0.41732283464566927"
"2020-06-02","123","263","0.467680608365019"
"2020-06-03","99","257","0.3852140077821012"
"2020-06-04","120","254","0.47244094488188976"
"2020-06-05","95","232","0.40948275862068967"
"2020-06-06","79","150","0.5266666666666666"
"2020-06-07","50","132","0.3787878787878788"
"2020-06-08","106","251","0.42231075697211157"
"2020-06-09","130","276","0.47101449275362317"
"2020-06-10","122","265","0.46037735849056605"
"2020-06-11","129","270","0.4777777777777778"
"2020-06-12","111","236","0.4703389830508475"
"2020-06-13","99","183","0.5409836065573771"
"2020-06-14","72","157","0.4585987261146497"
"2020-06-15","97","235","0.4127659574468085"
"2020-06-16","157","269","0.5836431226765799"
"2020-06-17","129","262","0.49236641221374045"
"2020-06-18","139","285","0.48771929824561405"
"2020-06-19","154","267","0.5767790262172284"
"2020-06-20","82","161","0.5093167701863354"
"2020-06-21","107","177","0.6045197740112994"
"2020-06-22","137","252","0.5436507936507936"
"2020-06-23","128","255","0.5019607843137255"
"2020-06-24","160","296","0.5405405405405406"
"2020-06-25","125","276","0.4528985507246377"
"2020-06-26","120","276","0.43478260869565216"
"2020-06-27","59","143","0.4125874125874126"
"2020-06-28","62","130","0.47692307692307695"
"2020-06-29","76","177","0.4293785310734463"
"2020-06-30","115","257","0.4474708171206226"
"2020-07-01","139","268","0.5186567164179104"
"2020-07-02","119","247","0.4817813765182186"
"2020-07-03","125","252","0.49603174603174605"
"2020-07-04","67","135","0.4962962962962963"
"2020-07-05","67","139","0.48201438848920863"
"2020-07-06","110","227","0.4845814977973568"
"2020-07-07","155","296","0.5236486486486487"
"2020-07-08","173","328","0.5274390243902439"
"2020-07-09","157","320","0.490625"
"2020-07-10","121","276","0.4384057971014493"
"2020-07-11","99","211","0.46919431279620855"
"2020-07-12","87","172","0.5058139534883721"
"2020-07-13","157","306","0.5130718954248366"
"2020-07-14","129","302","0.4271523178807947"
"2020-07-15","151","298","0.5067114093959731"
"2020-07-16","150","306","0.49019607843137253"
"2020-07-17","125","267","0.4681647940074906"
"2020-07-18","88","193","0.45595854922279794"
"2020-07-19","113","186","0.6075268817204301"
"2020-07-20","139","285","0.48771929824561405"
"2020-07-21","129","253","0.5098814229249012"
"2020-07-22","125","309","0.4045307443365696"
"2020-07-23","112","301","0.37209302325581395"
"2020-07-24","69","156","0.4423076923076923"
"2020-07-25","7","13","0.5384615384615384"
"2020-07-26","7","14","0.5"
"2020-07-27","28","55","0.509090909090909"
"2020-07-28","38","70","0.5428571428571428"
"2020-07-29","120","268","0.44776119402985076"
"2020-07-30","121","277","0.4368231046931408"
"2020-07-31","118","292","0.4041095890410959"
"2020-08-01","74","175","0.4228571428571429"
"2020-08-02","46","145","0.31724137931034485"
"2020-08-03","138","286","0.4825174825174825"
"2020-08-04","71","181","0.39226519337016574"
