date,count,total_count,ratio
"2020-01-01","3","42","0.07142857142857142"
"2020-01-02","2","43","0.046511627906976744"
"2020-01-03","3","47","0.06382978723404255"
"2020-01-04","4","22","0.18181818181818182"
"2020-01-05","4","32","0.125"
"2020-01-06","3","46","0.06521739130434782"
"2020-01-07","2","46","0.043478260869565216"
"2020-01-08","0","45","0"
"2020-01-09","6","53","0.11320754716981132"
"2020-01-10","1","35","0.02857142857142857"
"2020-01-11","4","42","0.09523809523809523"
"2020-01-12","4","41","0.0975609756097561"
"2020-01-13","4","47","0.0851063829787234"
"2020-01-14","8","48","0.16666666666666666"
"2020-01-15","1","41","0.024390243902439025"
"2020-01-16","1","59","0.01694915254237288"
"2020-01-17","4","45","0.08888888888888889"
"2020-01-18","3","34","0.08823529411764706"
"2020-01-19","13","29","0.4482758620689655"
"2020-01-20","4","47","0.0851063829787234"
"2020-01-21","2","37","0.05405405405405406"
"2020-01-22","5","58","0.08620689655172414"
"2020-01-23","3","45","0.06666666666666667"
"2020-01-24","4","48","0.08333333333333333"
"2020-01-25","2","36","0.05555555555555555"
"2020-01-26","3","30","0.1"
"2020-01-27","8","50","0.16"
"2020-01-28","8","58","0.13793103448275862"
"2020-01-29","8","45","0.17777777777777778"
"2020-01-30","2","51","0.0392156862745098"
"2020-01-31","4","44","0.09090909090909091"
"2020-02-01","5","27","0.18518518518518517"
"2020-02-02","5","33","0.15151515151515152"
"2020-02-03","4","46","0.08695652173913043"
"2020-02-04","5","41","0.12195121951219512"
"2020-02-05","5","54","0.09259259259259259"
"2020-02-06","4","48","0.08333333333333333"
"2020-02-07","1","46","0.021739130434782608"
"2020-02-08","0","28","0"
"2020-02-09","3","36","0.08333333333333333"
"2020-02-10","3","58","0.05172413793103448"
"2020-02-11","1","45","0.022222222222222223"
"2020-02-12","6","64","0.09375"
"2020-02-13","8","41","0.1951219512195122"
"2020-02-14","4","35","0.11428571428571428"
"2020-02-15","4","27","0.14814814814814814"
"2020-02-16","4","29","0.13793103448275862"
"2020-02-17","6","43","0.13953488372093023"
"2020-02-18","5","49","0.10204081632653061"
"2020-02-19","25","63","0.3968253968253968"
"2020-02-20","13","47","0.2765957446808511"
"2020-02-21","4","46","0.08695652173913043"
"2020-02-22","8","37","0.21621621621621623"
"2020-02-23","5","38","0.13157894736842105"
"2020-02-24","3","44","0.06818181818181818"
"2020-02-25","4","41","0.0975609756097561"
