date,count,total_count,ratio
"2020-01-01","6","79","0.0759493670886076"
"2020-01-02","1","116","0.008620689655172414"
"2020-01-03","11","124","0.08870967741935484"
"2020-01-04","2","69","0.028985507246376812"
"2020-01-05","6","92","0.06521739130434782"
"2020-01-06","7","105","0.06666666666666667"
"2020-01-07","7","119","0.058823529411764705"
"2020-01-08","5","104","0.04807692307692308"
"2020-01-09","1","102","0.00980392156862745"
"2020-01-10","5","130","0.038461538461538464"
"2020-01-11","2","85","0.023529411764705882"
"2020-01-12","5","100","0.05"
"2020-01-13","4","115","0.034782608695652174"
"2020-01-14","6","109","0.05504587155963303"
"2020-01-15","12","136","0.08823529411764706"
"2020-01-16","6","116","0.05172413793103448"
"2020-01-17","4","120","0.03333333333333333"
"2020-01-18","2","86","0.023255813953488372"
"2020-01-19","11","91","0.12087912087912088"
"2020-01-20","7","133","0.05263157894736842"
"2020-01-21","4","110","0.03636363636363636"
"2020-01-22","7","158","0.04430379746835443"
"2020-01-23","4","100","0.04"
"2020-01-24","8","166","0.04819277108433735"
"2020-01-25","2","81","0.024691358024691357"
"2020-01-26","12","99","0.12121212121212122"
"2020-01-27","12","121","0.09917355371900827"
"2020-01-28","8","128","0.0625"
"2020-01-29","2","116","0.017241379310344827"
"2020-01-30","7","142","0.04929577464788732"
"2020-01-31","3","120","0.025"
"2020-02-01","3","62","0.04838709677419355"
"2020-02-02","6","80","0.075"
"2020-02-03","5","93","0.053763440860215055"
"2020-02-04","11","122","0.09016393442622951"
"2020-02-05","9","126","0.07142857142857142"
"2020-02-06","4","104","0.038461538461538464"
"2020-02-07","6","141","0.0425531914893617"
"2020-02-08","0","58","0"
"2020-02-09","3","85","0.03529411764705882"
"2020-02-10","8","131","0.061068702290076333"
"2020-02-11","4","128","0.03125"
"2020-02-12","5","152","0.03289473684210526"
"2020-02-13","7","120","0.058333333333333334"
"2020-02-14","8","144","0.05555555555555555"
"2020-02-15","4","54","0.07407407407407407"
"2020-02-16","5","72","0.06944444444444445"
"2020-02-17","8","141","0.05673758865248227"
"2020-02-18","9","107","0.08411214953271028"
"2020-02-19","18","174","0.10344827586206896"
"2020-02-20","16","120","0.13333333333333333"
"2020-02-21","13","135","0.0962962962962963"
"2020-02-22","5","68","0.07352941176470588"
"2020-02-23","3","74","0.04054054054054054"
"2020-02-24","10","108","0.09259259259259259"
"2020-02-25","9","115","0.0782608695652174"
"2020-02-26","12","117","0.10256410256410256"
"2020-02-27","16","130","0.12307692307692308"
"2020-02-28","7","117","0.05982905982905983"
"2020-02-29","10","73","0.136986301369863"
"2020-03-01","9","90","0.1"
"2020-03-02","6","88","0.06818181818181818"
"2020-03-03","17","103","0.1650485436893204"
"2020-03-04","30","136","0.22058823529411764"
"2020-03-05","15","108","0.1388888888888889"
"2020-03-06","24","147","0.16326530612244897"
"2020-03-07","16","63","0.25396825396825395"
"2020-03-08","14","80","0.175"
"2020-03-09","17","127","0.13385826771653545"
"2020-03-10","28","107","0.2616822429906542"
"2020-03-11","31","130","0.23846153846153847"
"2020-03-12","51","121","0.4214876033057851"
"2020-03-13","73","159","0.4591194968553459"
"2020-03-14","48","88","0.5454545454545454"
"2020-03-15","63","105","0.6"
"2020-03-16","70","135","0.5185185185185185"
"2020-03-17","80","147","0.54421768707483"
"2020-03-18","95","158","0.6012658227848101"
"2020-03-19","75","131","0.5725190839694656"
"2020-03-20","118","202","0.5841584158415841"
"2020-03-21","54","98","0.5510204081632653"
"2020-03-22","53","88","0.6022727272727273"
"2020-03-23","77","156","0.4935897435897436"
"2020-03-24","73","155","0.47096774193548385"
"2020-03-25","77","138","0.5579710144927537"
"2020-03-26","82","150","0.5466666666666666"
"2020-03-27","87","152","0.5723684210526315"
"2020-03-28","35","87","0.40229885057471265"
"2020-03-29","48","80","0.6"
"2020-03-30","72","132","0.5454545454545454"
"2020-03-31","91","165","0.5515151515151515"
"2020-04-01","73","135","0.5407407407407407"
"2020-04-02","57","111","0.5135135135135135"
"2020-04-03","67","127","0.5275590551181102"
"2020-04-04","44","68","0.6470588235294118"
"2020-04-05","59","100","0.59"
"2020-04-06","93","165","0.5636363636363636"
"2020-04-07","62","116","0.5344827586206896"
"2020-04-08","71","145","0.4896551724137931"
"2020-04-09","91","166","0.5481927710843374"
"2020-04-10","45","63","0.7142857142857143"
"2020-04-11","41","70","0.5857142857142857"
"2020-04-12","51","89","0.5730337078651685"
"2020-04-13","57","111","0.5135135135135135"
"2020-04-14","74","130","0.5692307692307692"
"2020-04-15","104","181","0.574585635359116"
"2020-04-16","100","156","0.6410256410256411"
"2020-04-17","100","167","0.5988023952095808"
"2020-04-18","55","83","0.6626506024096386"
"2020-04-19","56","98","0.5714285714285714"
"2020-04-20","104","186","0.5591397849462365"
"2020-04-21","95","179","0.5307262569832403"
"2020-04-22","88","157","0.5605095541401274"
"2020-04-23","67","145","0.46206896551724136"
"2020-04-24","79","147","0.5374149659863946"
"2020-04-25","39","85","0.4588235294117647"
"2020-04-26","60","101","0.594059405940594"
"2020-04-27","74","129","0.5736434108527132"
"2020-04-28","75","137","0.5474452554744526"
"2020-04-29","100","169","0.591715976331361"
"2020-04-30","84","152","0.5526315789473685"
"2020-05-01","91","150","0.6066666666666667"
"2020-05-02","47","87","0.5402298850574713"
"2020-05-03","48","108","0.4444444444444444"
"2020-05-04","73","151","0.48344370860927155"
"2020-05-05","78","161","0.484472049689441"
"2020-05-06","59","128","0.4609375"
"2020-05-07","79","137","0.5766423357664233"
"2020-05-08","86","152","0.5657894736842105"
"2020-05-09","55","101","0.5445544554455446"
"2020-05-10","49","88","0.5568181818181818"
"2020-05-11","74","129","0.5736434108527132"
"2020-05-12","77","149","0.5167785234899329"
"2020-05-13","88","161","0.546583850931677"
"2020-05-14","78","142","0.5492957746478874"
"2020-05-15","105","173","0.6069364161849711"
"2020-05-16","41","83","0.4939759036144578"
"2020-05-17","42","81","0.5185185185185185"
"2020-05-18","68","141","0.48226950354609927"
"2020-05-19","62","131","0.4732824427480916"
"2020-05-20","81","131","0.6183206106870229"
"2020-05-21","70","119","0.5882352941176471"
"2020-05-22","101","165","0.6121212121212121"
"2020-05-23","40","73","0.547945205479452"
"2020-05-24","37","68","0.5441176470588235"
"2020-05-25","48","103","0.46601941747572817"
"2020-05-26","58","115","0.5043478260869565"
"2020-05-27","81","146","0.5547945205479452"
"2020-05-28","51","140","0.36428571428571427"
"2020-05-29","50","116","0.43103448275862066"
"2020-05-30","44","86","0.5116279069767442"
"2020-05-31","52","84","0.6190476190476191"
"2020-06-01","79","134","0.5895522388059702"
"2020-06-02","52","127","0.4094488188976378"
"2020-06-03","45","130","0.34615384615384615"
"2020-06-04","74","184","0.40217391304347827"
"2020-06-05","66","152","0.4342105263157895"
"2020-06-06","38","84","0.4523809523809524"
"2020-06-07","41","79","0.5189873417721519"
"2020-06-08","57","121","0.47107438016528924"
"2020-06-09","55","124","0.4435483870967742"
"2020-06-10","66","156","0.4230769230769231"
"2020-06-11","35","130","0.2692307692307692"
"2020-06-12","63","143","0.4405594405594406"
"2020-06-13","35","81","0.43209876543209874"
"2020-06-14","39","99","0.3939393939393939"
"2020-06-15","69","144","0.4791666666666667"
"2020-06-16","53","138","0.38405797101449274"
