date,count,total_count,ratio
"2020-01-01","172","3540","0.04858757062146893"
"2020-01-02","313","6216","0.050353925353925355"
"2020-01-03","342","6605","0.05177895533686601"
"2020-01-04","255","4483","0.05688155253178675"
"2020-01-05","219","4575","0.04786885245901639"
"2020-01-06","397","7589","0.052312557649229145"
"2020-01-07","410","8567","0.04785805999766546"
"2020-01-08","317","8154","0.038876624969340204"
"2020-01-09","395","8043","0.04911102822329976"
"2020-01-10","299","6860","0.04358600583090379"
"2020-01-11","210","4524","0.046419098143236075"
"2020-01-12","261","4576","0.05703671328671329"
"2020-01-13","296","7427","0.03985458462367039"
"2020-01-14","435","8468","0.05136986301369863"
"2020-01-15","331","8271","0.04001934469834361"
"2020-01-16","405","8006","0.05058705970522109"
"2020-01-17","421","7200","0.058472222222222224"
"2020-01-18","248","4483","0.05532009814856123"
"2020-01-19","1016","5094","0.1994503337259521"
"2020-01-20","585","7859","0.07443695126606438"
"2020-01-21","425","8392","0.05064346997140134"
"2020-01-22","409","8462","0.04833372725124084"
"2020-01-23","492","8558","0.05749006777284412"
"2020-01-24","405","7848","0.051605504587155966"
"2020-01-25","286","5077","0.05633247981091195"
"2020-01-26","240","5526","0.04343105320304017"
"2020-01-27","443","8530","0.05193434935521688"
"2020-01-28","357","9041","0.039486782435571285"
"2020-01-29","336","8795","0.038203524729960206"
"2020-01-30","339","7632","0.04441823899371069"
"2020-01-31","300","6536","0.04589963280293757"
"2020-02-01","264","4737","0.05573147561747942"
"2020-02-02","233","4390","0.0530751708428246"
"2020-02-03","297","4778","0.0621598995395563"
"2020-02-04","273","6809","0.04009399324423557"
"2020-02-05","287","6693","0.042880621544897655"
"2020-02-06","284","6858","0.04141149023038787"
"2020-02-07","350","6953","0.050337983604199624"
"2020-02-08","274","5094","0.053788771103258734"
"2020-02-09","245","5466","0.04482253933406513"
"2020-02-10","389","8418","0.04621050130672369"
"2020-02-11","587","8966","0.0654695516395271"
"2020-02-12","685","9017","0.07596761672396585"
"2020-02-13","721","8833","0.08162572172534813"
"2020-02-14","622","7683","0.08095795913054796"
"2020-02-15","521","5130","0.10155945419103314"
"2020-02-16","508","5128","0.09906396255850235"
"2020-02-17","621","8146","0.07623373434814633"
"2020-02-18","837","9963","0.08401084010840108"
"2020-02-19","2064","9786","0.21091354996934397"
"2020-02-20","921","9087","0.10135358204027732"
"2020-02-21","640","7768","0.082389289392379"
"2020-02-22","452","4961","0.09111066317274744"
"2020-02-23","441","5290","0.0833648393194707"
"2020-02-24","646","8607","0.07505518763796909"
"2020-02-25","806","9639","0.08361863263824049"
"2020-02-26","962","9616","0.10004159733777038"
"2020-02-27","1147","9286","0.12351927632995907"
"2020-02-28","1748","8282","0.21106013040328422"
"2020-02-29","1009","5294","0.19059312429165093"
"2020-03-01","933","5796","0.16097308488612835"
"2020-03-02","1583","9206","0.17195307408212035"
"2020-03-03","1451","10258","0.14145057516085008"
"2020-03-04","1245","9799","0.12705378099806103"
"2020-03-05","1176","9587","0.12266611035777615"
"2020-03-06","954","8102","0.11774870402369786"
"2020-03-07","676","5207","0.12982523526022663"
"2020-03-08","676","5597","0.12077898874396999"
"2020-03-09","991","8033","0.12336611477654674"
"2020-03-10","1436","9421","0.1524254325443159"
"2020-03-11","2018","10140","0.1990138067061144"
"2020-03-12","3335","10137","0.3289927986583802"
"2020-03-13","3189","8527","0.37398850709510967"
"2020-03-14","2303","5743","0.4010099251262406"
"2020-03-15","2349","5607","0.4189406099518459"
"2020-03-16","3907","8070","0.48413878562577445"
"2020-03-17","5135","10216","0.5026429130775254"
"2020-03-18","5158","10332","0.4992257065427797"
"2020-03-19","5960","10003","0.5958212536239128"
"2020-03-20","5152","9142","0.5635528330781011"
"2020-03-21","2980","5635","0.5288376220053239"
"2020-03-22","3299","6043","0.545920900215125"
"2020-03-23","5171","9539","0.542090365866443"
"2020-03-24","5713","10258","0.5569311756677715"
"2020-03-25","5875","10314","0.5696141167345355"
"2020-03-26","5487","9939","0.5520676124358588"
"2020-03-27","4807","8763","0.5485564304461942"
"2020-03-28","3360","5995","0.5604670558798999"
"2020-03-29","3518","5989","0.587410252128903"
"2020-03-30","5309","9324","0.5693908193908194"
"2020-03-31","5621","9912","0.567090395480226"
"2020-04-01","5725","10116","0.5659351522340846"
"2020-04-02","5939","10385","0.5718825228695233"
"2020-04-03","4787","8842","0.5413933499208324"
"2020-04-04","3442","6083","0.5658392240670722"
"2020-04-05","3699","6382","0.5795988718270135"
"2020-04-06","5380","9510","0.5657202944269191"
"2020-04-07","5735","10027","0.5719557195571956"
"2020-04-08","5619","9922","0.5663172747429953"
"2020-04-09","4841","8415","0.5752822341057635"
"2020-04-10","3683","6923","0.5319947999422215"
"2020-04-11","2983","5413","0.5510807315721411"
"2020-04-12","3881","7023","0.5526128435141677"
"2020-04-13","6380","10827","0.5892675718112127"
"2020-04-14","4932","8485","0.5812610489098409"
"2020-04-15","7014","12451","0.5633282467271705"
"2020-04-16","6503","11584","0.5613777624309392"
"2020-04-17","5924","10741","0.5515315147565404"
"2020-04-18","3978","7116","0.5590219224283305"
"2020-04-19","4405","7130","0.6178120617110799"
"2020-04-20","6199","11329","0.5471798040427223"
"2020-04-21","6927","12383","0.5593959460550755"
"2020-04-22","6424","11642","0.5517952241882838"
"2020-04-23","6554","12076","0.5427293805895992"
"2020-04-24","5154","9526","0.5410455595213101"
"2020-04-25","3543","6874","0.5154204247890602"
"2020-04-26","3876","7446","0.5205479452054794"
"2020-04-27","6016","11202","0.537046955900732"
"2020-04-28","6479","12283","0.52747700073272"
"2020-04-29","6554","12319","0.5320237032226641"
"2020-04-30","6091","11708","0.5202425691834643"
"2020-05-01","4496","8667","0.5187492788738894"
"2020-05-02","3688","6872","0.5366705471478463"
"2020-05-03","4279","7846","0.5453734386948764"
"2020-05-04","5818","11301","0.5148216971949385"
"2020-05-05","6360","12119","0.5247957752289792"
"2020-05-06","6315","12172","0.5188136707196845"
"2020-05-07","6326","12190","0.5189499589827727"
"2020-05-08","5267","10704","0.492059043348281"
"2020-05-09","3378","6874","0.49141693337212683"
"2020-05-10","3857","7449","0.5177876224996644"
"2020-05-11","5376","11313","0.47520551577830816"
"2020-05-12","6229","12093","0.5150913751757215"
"2020-05-13","6505","12589","0.5167209468583684"
"2020-05-14","5733","11822","0.48494332600236845"
"2020-05-15","4766","10199","0.4673007157564467"
"2020-05-16","3252","6920","0.4699421965317919"
"2020-05-17","3357","7519","0.44646894533847586"
"2020-05-18","5319","11385","0.4671936758893281"
"2020-05-19","6538","12324","0.5305095748133722"
"2020-05-20","6085","13162","0.4623157574836651"
"2020-05-21","5962","12946","0.4605283485246408"
"2020-05-22","5122","11066","0.4628592083860473"
"2020-05-23","3572","7526","0.47462131278235453"
"2020-05-24","3827","8102","0.4723525055541842"
"2020-05-25","5546","12419","0.44657379821241644"
"2020-05-26","6304","13359","0.47189160865334234"
"2020-05-27","5883","12980","0.45323574730354393"
"2020-05-28","5442","12626","0.4310153651195945"
"2020-05-29","4477","11202","0.3996607748616319"
"2020-05-30","3063","7233","0.4234757362090419"
"2020-05-31","3440","7998","0.43010752688172044"
"2020-06-01","5081","12365","0.4109179134654266"
"2020-06-02","4776","12571","0.37992204279691355"
"2020-06-03","5122","12702","0.40324358368760826"
"2020-06-04","4861","12279","0.3958791432527079"
"2020-06-05","3990","10771","0.370439142140934"
"2020-06-06","2675","7214","0.37080676462434153"
"2020-06-07","2982","7355","0.4054384772263766"
"2020-06-08","4457","11325","0.39355408388520974"
"2020-06-09","4657","12194","0.3819091356404789"
"2020-06-10","4400","11839","0.3716530112340569"
"2020-06-11","4541","11792","0.38509158751696065"
"2020-06-12","4094","10343","0.39582326210963936"
"2020-06-13","2936","7047","0.4166311905775507"
"2020-06-14","3000","7004","0.42832667047401485"
"2020-06-15","4664","11609","0.40175725730037043"
"2020-06-16","5003","12283","0.4073109175282911"
"2020-06-17","4439","12547","0.35378975053797723"
"2020-06-18","4114","11671","0.352497643732328"
"2020-06-19","4659","9946","0.46842951940478583"
"2020-06-20","2637","6941","0.37991643855352253"
"2020-06-21","2742","7047","0.3891017454235845"
"2020-06-22","4201","10940","0.3840036563071298"
"2020-06-23","4009","11671","0.3435009853482992"
"2020-06-24","3825","10656","0.3589527027027027"
"2020-06-25","4554","11704","0.3890977443609023"
"2020-06-26","3339","10346","0.3227334235453315"
"2020-06-27","2485","7056","0.3521825396825397"
"2020-06-28","2853","7367","0.38726754445500206"
"2020-06-29","4328","11349","0.3813551854788968"
"2020-06-30","4597","12186","0.37723617265714754"
"2020-07-01","4405","11877","0.37088490359518395"
"2020-07-02","4412","12084","0.36511089043363126"
"2020-07-03","3656","10140","0.3605522682445759"
"2020-07-04","2700","7216","0.37416851441241683"
"2020-07-05","2781","7511","0.37025695646385304"
"2020-07-06","4098","10860","0.37734806629834255"
"2020-07-07","5227","13634","0.3833797858295438"
"2020-07-08","4780","13671","0.34964523443786116"
"2020-07-09","4881","13441","0.3631426233167175"
"2020-07-10","4209","11393","0.36943737382603353"
"2020-07-11","3413","8418","0.40544072226181993"
"2020-07-12","3365","8687","0.3873604236215034"
"2020-07-13","4910","12782","0.38413393835080584"
"2020-07-14","4989","13540","0.36846381093057606"
"2020-07-15","5403","13832","0.39061596298438406"
"2020-07-16","5417","14305","0.3786787836420832"
"2020-07-17","4446","11784","0.3772912423625255"
"2020-07-18","3050","8241","0.37010071593253246"
"2020-07-19","4019","8940","0.4495525727069351"
"2020-07-20","4978","12907","0.3856821879600217"
"2020-07-21","5446","14473","0.3762868790160989"
"2020-07-22","5053","13283","0.3804110517202439"
"2020-07-23","5180","14001","0.3699735733161917"
"2020-07-24","2109","5438","0.3878264067671938"
"2020-07-25","86","238","0.36134453781512604"
"2020-07-26","210","515","0.4077669902912621"
"2020-07-27","356","901","0.3951165371809101"
"2020-07-28","805","2045","0.39364303178484106"
"2020-07-29","4303","12006","0.3584041312676995"
"2020-07-30","4976","13613","0.365532946448248"
"2020-07-31","3973","11202","0.3546688091412248"
"2020-08-01","2904","8208","0.3538011695906433"
"2020-08-02","2703","8054","0.33560963496399304"
"2020-08-03","4422","12451","0.355152196610714"
"2020-08-04","2462","7444","0.330736163353036"
"2020-08-05","305","815","0.37423312883435583"
"2020-08-06","481","1223","0.39329517579721995"
"2020-08-07","1155","3276","0.3525641025641026"
"2020-08-08","2620","8279","0.31646334098321055"
"2020-08-09","3430","8946","0.38341158059467917"
"2020-08-10","4885","13897","0.35151471540620277"
"2020-08-11","5599","14974","0.3739147856284226"
"2020-08-12","5188","15024","0.34531416400425985"
"2020-08-13","5633","14993","0.3757086640432202"
"2020-08-14","4328","13014","0.3325649300753035"
"2020-08-15","3260","8854","0.36819516602665464"
"2020-08-16","3024","9017","0.3353665298879894"
"2020-08-17","4850","14415","0.33645508151231357"
"2020-08-18","4636","14808","0.31307401404646135"
"2020-08-19","5713","14893","0.38360303498287784"
"2020-08-20","4550","15043","0.3024662633783155"
"2020-08-21","3634","12557","0.28940033447479496"
"2020-08-22","2661","8818","0.30176910864141526"
"2020-08-23","2943","9280","0.31713362068965517"
"2020-08-24","4610","13602","0.3389207469489781"
"2020-08-25","4645","14943","0.31084788864351204"
"2020-08-26","4236","14467","0.2928043132646713"
"2020-08-27","4139","14615","0.28320218953130344"
"2020-08-28","3551","12279","0.2891929310204414"
"2020-08-29","2205","8340","0.2643884892086331"
"2020-08-30","2479","8342","0.2971709422200911"
"2020-08-31","4344","13692","0.3172655565293602"
"2020-09-01","4705","14585","0.3225917038052794"
