date,count,total_count,ratio
"2020-01-01","7","46","0.15217391304347827"
"2020-01-02","5","77","0.06493506493506493"
"2020-01-03","4","66","0.06060606060606061"
"2020-01-04","4","68","0.058823529411764705"
"2020-01-05","6","60","0.1"
"2020-01-06","5","130","0.038461538461538464"
"2020-01-07","11","123","0.08943089430894309"
"2020-01-08","5","144","0.034722222222222224"
"2020-01-09","8","115","0.06956521739130435"
"2020-01-10","8","107","0.07476635514018691"
"2020-01-11","7","73","0.0958904109589041"
"2020-01-12","3","74","0.04054054054054054"
"2020-01-13","5","114","0.043859649122807015"
"2020-01-14","8","130","0.06153846153846154"
"2020-01-15","3","113","0.02654867256637168"
"2020-01-16","8","122","0.06557377049180328"
"2020-01-17","10","143","0.06993006993006994"
"2020-01-18","4","73","0.0547945205479452"
"2020-01-19","26","64","0.40625"
"2020-01-20","22","140","0.15714285714285714"
"2020-01-21","11","114","0.09649122807017543"
"2020-01-22","5","72","0.06944444444444445"
"2020-01-23","12","127","0.09448818897637795"
"2020-01-24","6","118","0.05084745762711865"
"2020-01-25","2","58","0.034482758620689655"
"2020-01-26","9","54","0.16666666666666666"
"2020-01-27","7","121","0.05785123966942149"
"2020-01-28","12","152","0.07894736842105263"
"2020-01-29","4","116","0.034482758620689655"
"2020-01-30","5","152","0.03289473684210526"
"2020-01-31","6","122","0.04918032786885246"
"2020-02-01","9","86","0.10465116279069768"
"2020-02-02","6","52","0.11538461538461539"
"2020-02-03","13","162","0.08024691358024691"
"2020-02-04","6","104","0.057692307692307696"
"2020-02-05","5","117","0.042735042735042736"
"2020-02-06","7","136","0.051470588235294115"
"2020-02-07","11","111","0.0990990990990991"
"2020-02-08","4","64","0.0625"
"2020-02-09","6","66","0.09090909090909091"
"2020-02-10","12","121","0.09917355371900827"
"2020-02-11","13","116","0.11206896551724138"
"2020-02-12","11","125","0.088"
"2020-02-13","11","127","0.08661417322834646"
"2020-02-14","9","117","0.07692307692307693"
"2020-02-15","7","62","0.11290322580645161"
"2020-02-16","10","62","0.16129032258064516"
"2020-02-17","19","136","0.13970588235294118"
"2020-02-18","21","145","0.14482758620689656"
"2020-02-19","58","138","0.42028985507246375"
