date,count,total_count,ratio
"2020-01-01","9","191","0.04712041884816754"
"2020-01-02","16","296","0.05405405405405406"
"2020-01-03","9","305","0.029508196721311476"
"2020-01-04","6","204","0.029411764705882353"
"2020-01-05","9","206","0.043689320388349516"
"2020-01-06","11","291","0.037800687285223365"
"2020-01-07","15","355","0.04225352112676056"
"2020-01-08","16","318","0.050314465408805034"
"2020-01-09","14","303","0.0462046204620462"
"2020-01-10","11","318","0.03459119496855346"
"2020-01-11","10","225","0.044444444444444446"
"2020-01-12","15","207","0.07246376811594203"
"2020-01-13","12","313","0.038338658146964855"
"2020-01-14","12","345","0.034782608695652174"
"2020-01-15","10","334","0.029940119760479042"
"2020-01-16","21","341","0.06158357771260997"
"2020-01-17","11","307","0.035830618892508145"
"2020-01-18","18","224","0.08035714285714286"
"2020-01-19","88","250","0.352"
"2020-01-20","25","340","0.07352941176470588"
"2020-01-21","18","344","0.05232558139534884"
"2020-01-22","11","331","0.03323262839879154"
"2020-01-23","19","305","0.06229508196721312"
"2020-01-24","5","325","0.015384615384615385"
"2020-01-25","8","210","0.0380952380952381"
"2020-01-26","20","209","0.09569377990430622"
"2020-01-27","14","316","0.04430379746835443"
"2020-01-28","12","323","0.03715170278637771"
"2020-01-29","13","324","0.040123456790123455"
"2020-01-30","12","323","0.03715170278637771"
"2020-01-31","13","335","0.03880597014925373"
"2020-02-01","11","229","0.048034934497816595"
"2020-02-02","12","222","0.05405405405405406"
"2020-02-03","17","353","0.04815864022662889"
"2020-02-04","7","328","0.021341463414634148"
"2020-02-05","15","337","0.04451038575667656"
"2020-02-06","16","344","0.046511627906976744"
"2020-02-07","13","330","0.03939393939393939"
"2020-02-08","12","207","0.057971014492753624"
"2020-02-09","14","212","0.0660377358490566"
"2020-02-10","10","268","0.03731343283582089"
"2020-02-11","14","299","0.046822742474916385"
"2020-02-12","33","350","0.09428571428571429"
"2020-02-13","34","317","0.10725552050473186"
"2020-02-14","34","331","0.1027190332326284"
"2020-02-15","24","223","0.10762331838565023"
"2020-02-16","24","220","0.10909090909090909"
"2020-02-17","33","321","0.102803738317757"
"2020-02-18","33","365","0.09041095890410959"
"2020-02-19","161","368","0.4375"
"2020-02-20","50","367","0.1362397820163488"
"2020-02-21","30","356","0.08426966292134831"
"2020-02-22","30","248","0.12096774193548387"
"2020-02-23","27","255","0.10588235294117647"
"2020-02-24","21","260","0.08076923076923077"
"2020-02-25","28","256","0.109375"
"2020-02-26","42","378","0.1111111111111111"
"2020-02-27","59","366","0.16120218579234974"
"2020-02-28","67","370","0.1810810810810811"
"2020-02-29","41","257","0.15953307392996108"
"2020-03-01","41","232","0.17672413793103448"
"2020-03-02","43","329","0.13069908814589665"
"2020-03-03","61","403","0.1513647642679901"
"2020-03-04","44","328","0.13414634146341464"
"2020-03-05","40","329","0.12158054711246201"
"2020-03-06","55","343","0.16034985422740525"
"2020-03-07","49","257","0.19066147859922178"
"2020-03-08","42","252","0.16666666666666666"
"2020-03-09","66","377","0.17506631299734748"
"2020-03-10","91","392","0.23214285714285715"
"2020-03-11","109","373","0.29222520107238603"
"2020-03-12","131","383","0.34203655352480417"
"2020-03-13","141","376","0.375"
"2020-03-14","108","239","0.45188284518828453"
"2020-03-15","101","241","0.4190871369294606"
"2020-03-16","141","339","0.415929203539823"
"2020-03-17","142","342","0.4152046783625731"
"2020-03-18","184","395","0.46582278481012657"
"2020-03-19","255","390","0.6538461538461539"
"2020-03-20","180","349","0.5157593123209169"
"2020-03-21","115","244","0.4713114754098361"
"2020-03-22","102","207","0.4927536231884058"
"2020-03-23","174","349","0.498567335243553"
"2020-03-24","192","375","0.512"
"2020-03-25","171","353","0.48441926345609065"
"2020-03-26","186","370","0.5027027027027027"
"2020-03-27","151","317","0.47634069400630913"
"2020-03-28","89","183","0.48633879781420764"
"2020-03-29","111","231","0.4805194805194805"
"2020-03-30","179","364","0.49175824175824173"
"2020-03-31","184","371","0.49595687331536387"
"2020-04-01","187","357","0.5238095238095238"
"2020-04-02","189","368","0.5135869565217391"
"2020-04-03","158","314","0.5031847133757962"
"2020-04-04","138","260","0.5307692307692308"
"2020-04-05","82","186","0.44086021505376344"
"2020-04-06","176","324","0.5432098765432098"
"2020-04-07","149","319","0.4670846394984326"
"2020-04-08","182","345","0.527536231884058"
"2020-04-09","169","340","0.4970588235294118"
"2020-04-10","117","241","0.4854771784232365"
"2020-04-11","129","255","0.5058823529411764"
"2020-04-12","104","254","0.4094488188976378"
"2020-04-13","169","361","0.46814404432132967"
"2020-04-14","134","261","0.5134099616858238"
"2020-04-15","176","380","0.4631578947368421"
"2020-04-16","156","327","0.47706422018348627"
"2020-04-17","173","337","0.5133531157270029"
"2020-04-18","111","233","0.47639484978540775"
"2020-04-19","150","232","0.646551724137931"
"2020-04-20","152","360","0.4222222222222222"
"2020-04-21","147","353","0.4164305949008499"
"2020-04-22","151","365","0.4136986301369863"
"2020-04-23","162","368","0.44021739130434784"
"2020-04-24","162","360","0.45"
"2020-04-25","108","259","0.416988416988417"
"2020-04-26","103","230","0.44782608695652176"
"2020-04-27","155","342","0.45321637426900585"
"2020-04-28","148","360","0.4111111111111111"
"2020-04-29","150","337","0.44510385756676557"
"2020-04-30","168","378","0.4444444444444444"
"2020-05-01","127","310","0.4096774193548387"
"2020-05-02","108","252","0.42857142857142855"
"2020-05-03","111","246","0.45121951219512196"
"2020-05-04","121","328","0.36890243902439024"
"2020-05-05","133","336","0.3958333333333333"
"2020-05-06","134","334","0.40119760479041916"
"2020-05-07","154","368","0.41847826086956524"
"2020-05-08","122","312","0.391025641025641"
"2020-05-09","107","245","0.43673469387755104"
"2020-05-10","114","266","0.42857142857142855"
"2020-05-11","135","339","0.39823008849557523"
"2020-05-12","149","347","0.42939481268011526"
"2020-05-13","142","375","0.37866666666666665"
"2020-05-14","144","331","0.4350453172205438"
"2020-05-15","168","381","0.4409448818897638"
"2020-05-16","104","256","0.40625"
"2020-05-17","94","241","0.3900414937759336"
"2020-05-18","157","365","0.4301369863013699"
"2020-05-19","245","366","0.6693989071038251"
"2020-05-20","151","344","0.438953488372093"
"2020-05-21","138","382","0.3612565445026178"
"2020-05-22","136","338","0.40236686390532544"
"2020-05-23","114","270","0.4222222222222222"
"2020-05-24","104","245","0.42448979591836733"
"2020-05-25","122","330","0.3696969696969697"
"2020-05-26","138","351","0.39316239316239315"
"2020-05-27","138","345","0.4"
"2020-05-28","138","341","0.4046920821114369"
"2020-05-29","143","349","0.40974212034383956"
"2020-05-30","95","290","0.3275862068965517"
"2020-05-31","113","259","0.4362934362934363"
"2020-06-01","116","347","0.33429394812680113"
"2020-06-02","147","397","0.3702770780856423"
"2020-06-03","143","359","0.3983286908077994"
"2020-06-04","130","365","0.3561643835616438"
"2020-06-05","126","350","0.36"
"2020-06-06","92","258","0.35658914728682173"
"2020-06-07","85","248","0.34274193548387094"
"2020-06-08","131","367","0.3569482288828338"
"2020-06-09","154","377","0.40848806366047746"
"2020-06-10","114","339","0.336283185840708"
"2020-06-11","145","365","0.3972602739726027"
