date,count,total_count,ratio
"2020-01-01","2","43","0.046511627906976744"
"2020-01-02","4","67","0.05970149253731343"
"2020-01-03","2","78","0.02564102564102564"
"2020-01-04","0","27","0"
"2020-01-05","3","44","0.06818181818181818"
"2020-01-06","4","88","0.045454545454545456"
"2020-01-07","5","71","0.07042253521126761"
"2020-01-08","3","85","0.03529411764705882"
"2020-01-09","4","92","0.043478260869565216"
"2020-01-10","4","78","0.05128205128205128"
"2020-01-11","4","44","0.09090909090909091"
"2020-01-12","1","36","0.027777777777777776"
"2020-01-13","2","73","0.0273972602739726"
"2020-01-14","3","90","0.03333333333333333"
"2020-01-15","1","73","0.0136986301369863"
"2020-01-16","4","80","0.05"
"2020-01-17","4","84","0.047619047619047616"
"2020-01-18","3","49","0.061224489795918366"
"2020-01-19","2","42","0.047619047619047616"
"2020-01-20","5","86","0.05813953488372093"
"2020-01-21","6","93","0.06451612903225806"
"2020-01-22","7","95","0.07368421052631578"
"2020-01-23","4","95","0.042105263157894736"
"2020-01-24","4","74","0.05405405405405406"
"2020-01-25","1","51","0.0196078431372549"
"2020-01-26","2","36","0.05555555555555555"
"2020-01-27","5","81","0.06172839506172839"
"2020-01-28","4","99","0.04040404040404041"
"2020-01-29","0","88","0"
"2020-01-30","4","84","0.047619047619047616"
"2020-01-31","2","75","0.02666666666666667"
"2020-02-01","3","47","0.06382978723404255"
"2020-02-02","3","37","0.08108108108108109"
"2020-02-03","5","53","0.09433962264150944"
"2020-02-04","5","62","0.08064516129032258"
"2020-02-05","2","86","0.023255813953488372"
"2020-02-06","3","86","0.03488372093023256"
"2020-02-07","1","66","0.015151515151515152"
"2020-02-08","6","43","0.13953488372093023"
"2020-02-09","2","45","0.044444444444444446"
"2020-02-10","6","92","0.06521739130434782"
"2020-02-11","2","78","0.02564102564102564"
"2020-02-12","9","74","0.12162162162162163"
"2020-02-13","7","86","0.08139534883720931"
"2020-02-14","3","82","0.036585365853658534"
"2020-02-15","4","45","0.08888888888888889"
"2020-02-16","4","40","0.1"
"2020-02-17","8","79","0.10126582278481013"
"2020-02-18","7","81","0.08641975308641975"
"2020-02-19","8","86","0.09302325581395349"
"2020-02-20","6","90","0.06666666666666667"
"2020-02-21","7","77","0.09090909090909091"
"2020-02-22","11","50","0.22"
"2020-02-23","6","48","0.125"
"2020-02-24","19","111","0.17117117117117117"
"2020-02-25","15","103","0.14563106796116504"
"2020-02-26","15","95","0.15789473684210525"
"2020-02-27","8","107","0.07476635514018691"
"2020-02-28","15","93","0.16129032258064516"
"2020-02-29","9","46","0.1956521739130435"
"2020-03-01","3","47","0.06382978723404255"
"2020-03-02","6","81","0.07407407407407407"
"2020-03-03","17","86","0.19767441860465115"
"2020-03-04","10","93","0.10752688172043011"
"2020-03-05","11","107","0.102803738317757"
"2020-03-06","20","118","0.1694915254237288"
"2020-03-07","18","66","0.2727272727272727"
"2020-03-08","9","37","0.24324324324324326"
"2020-03-09","35","127","0.2755905511811024"
"2020-03-10","25","120","0.20833333333333334"
"2020-03-11","41","131","0.31297709923664124"
"2020-03-12","50","136","0.36764705882352944"
"2020-03-13","50","141","0.3546099290780142"
"2020-03-14","34","70","0.4857142857142857"
"2020-03-15","25","45","0.5555555555555556"
"2020-03-16","53","122","0.4344262295081967"
"2020-03-17","76","134","0.5671641791044776"
"2020-03-18","62","112","0.5535714285714286"
"2020-03-19","92","127","0.7244094488188977"
"2020-03-20","75","134","0.5597014925373134"
"2020-03-21","35","61","0.5737704918032787"
"2020-03-22","34","58","0.5862068965517241"
"2020-03-23","59","106","0.5566037735849056"
"2020-03-24","89","125","0.712"
"2020-03-25","80","125","0.64"
"2020-03-26","71","130","0.5461538461538461"
"2020-03-27","72","126","0.5714285714285714"
"2020-03-28","31","57","0.543859649122807"
"2020-03-29","40","71","0.5633802816901409"
"2020-03-30","63","110","0.5727272727272728"
"2020-03-31","71","125","0.568"
"2020-04-01","69","137","0.5036496350364964"
"2020-04-02","63","130","0.4846153846153846"
"2020-04-03","67","117","0.5726495726495726"
"2020-04-04","39","60","0.65"
"2020-04-05","32","55","0.5818181818181818"
"2020-04-06","66","118","0.559322033898305"
"2020-04-07","67","123","0.5447154471544715"
"2020-04-08","63","130","0.4846153846153846"
"2020-04-09","49","90","0.5444444444444444"
"2020-04-10","39","55","0.7090909090909091"
"2020-04-11","32","44","0.7272727272727273"
"2020-04-12","42","62","0.6774193548387096"
"2020-04-13","72","133","0.5413533834586466"
"2020-04-14","74","117","0.6324786324786325"
