date,count,total_count,ratio
"2020-01-01","14","268","0.05223880597014925"
"2020-01-02","21","508","0.04133858267716536"
"2020-01-03","34","603","0.05638474295190713"
"2020-01-04","36","461","0.07809110629067245"
"2020-01-05","15","421","0.035629453681710214"
"2020-01-06","35","558","0.06272401433691756"
"2020-01-07","43","699","0.06151645207439199"
"2020-01-08","35","695","0.050359712230215826"
"2020-01-09","27","632","0.04272151898734177"
"2020-01-10","24","632","0.0379746835443038"
"2020-01-11","28","475","0.05894736842105263"
"2020-01-12","22","395","0.05569620253164557"
"2020-01-13","27","571","0.047285464098073555"
"2020-01-14","34","703","0.04836415362731152"
"2020-01-15","36","686","0.052478134110787174"
"2020-01-16","46","649","0.07087827426810478"
"2020-01-17","28","567","0.04938271604938271"
"2020-01-18","44","477","0.09224318658280922"
"2020-01-19","68","348","0.19540229885057472"
"2020-01-20","37","646","0.05727554179566564"
"2020-01-21","49","693","0.0707070707070707"
"2020-01-22","22","718","0.03064066852367688"
"2020-01-23","32","636","0.050314465408805034"
"2020-01-24","30","707","0.042432814710042434"
"2020-01-25","19","505","0.03762376237623762"
"2020-01-26","19","419","0.045346062052505964"
"2020-01-27","31","624","0.049679487179487176"
"2020-01-28","30","740","0.04054054054054054"
"2020-01-29","28","675","0.04148148148148148"
"2020-01-30","27","680","0.039705882352941174"
"2020-01-31","23","608","0.03782894736842105"
"2020-02-01","23","486","0.047325102880658436"
"2020-02-02","16","362","0.04419889502762431"
"2020-02-03","29","594","0.04882154882154882"
"2020-02-04","26","626","0.04153354632587859"
"2020-02-05","22","596","0.03691275167785235"
"2020-02-06","20","586","0.034129692832764506"
"2020-02-07","25","639","0.03912363067292645"
"2020-02-08","30","426","0.07042253521126761"
"2020-02-09","20","385","0.05194805194805195"
"2020-02-10","23","545","0.04220183486238532"
"2020-02-11","32","574","0.05574912891986063"
"2020-02-12","43","625","0.0688"
"2020-02-13","48","623","0.07704654895666131"
"2020-02-14","29","508","0.05708661417322835"
"2020-02-15","28","418","0.06698564593301436"
"2020-02-16","23","344","0.06686046511627906"
"2020-02-17","41","542","0.07564575645756458"
"2020-02-18","61","649","0.09399075500770417"
"2020-02-19","119","619","0.19224555735056542"
"2020-02-20","31","606","0.05115511551155116"
"2020-02-21","40","545","0.07339449541284404"
"2020-02-22","31","430","0.07209302325581396"
"2020-02-23","36","402","0.08955223880597014"
"2020-02-24","48","668","0.0718562874251497"
"2020-02-25","71","736","0.09646739130434782"
"2020-02-26","79","706","0.11189801699716714"
"2020-02-27","81","757","0.10700132100396301"
"2020-02-28","84","647","0.12982998454404945"
"2020-02-29","57","479","0.11899791231732777"
"2020-03-01","74","520","0.1423076923076923"
"2020-03-02","82","690","0.11884057971014493"
"2020-03-03","82","756","0.10846560846560846"
"2020-03-04","90","754","0.11936339522546419"
"2020-03-05","91","717","0.12691771269177127"
"2020-03-06","167","694","0.24063400576368876"
"2020-03-07","109","516","0.21124031007751937"
"2020-03-08","91","421","0.2161520190023753"
"2020-03-09","178","752","0.23670212765957446"
"2020-03-10","171","800","0.21375"
"2020-03-11","277","811","0.34155363748458695"
"2020-03-12","316","806","0.3920595533498759"
"2020-03-13","344","794","0.4332493702770781"
"2020-03-14","242","558","0.4336917562724014"
"2020-03-15","242","508","0.4763779527559055"
"2020-03-16","393","805","0.48819875776397514"
"2020-03-17","448","907","0.49393605292171994"
"2020-03-18","495","960","0.515625"
"2020-03-19","547","924","0.591991341991342"
"2020-03-20","437","800","0.54625"
"2020-03-21","337","588","0.5731292517006803"
"2020-03-22","306","548","0.5583941605839416"
"2020-03-23","386","752","0.5132978723404256"
"2020-03-24","495","922","0.5368763557483731"
"2020-03-25","495","942","0.5254777070063694"
"2020-03-26","451","893","0.5050391937290034"
"2020-03-27","389","801","0.48564294631710364"
"2020-03-28","264","523","0.5047801147227533"
"2020-03-29","269","536","0.5018656716417911"
"2020-03-30","415","838","0.49522673031026254"
"2020-03-31","437","1031","0.4238603297769156"
"2020-04-01","449","940","0.4776595744680851"
"2020-04-02","406","877","0.4629418472063854"
"2020-04-03","449","861","0.521486643437863"
"2020-04-04","283","534","0.5299625468164794"
"2020-04-05","244","487","0.5010266940451745"
"2020-04-06","382","783","0.4878671775223499"
"2020-04-07","398","857","0.4644107351225204"
"2020-04-08","425","829","0.5126658624849216"
"2020-04-09","297","565","0.5256637168141592"
"2020-04-10","267","527","0.5066413662239089"
"2020-04-11","282","545","0.5174311926605505"
"2020-04-12","258","529","0.4877126654064272"
"2020-04-13","376","800","0.47"
"2020-04-14","360","772","0.46632124352331605"
"2020-04-15","465","912","0.5098684210526315"
"2020-04-16","415","901","0.46059933407325193"
"2020-04-17","421","836","0.5035885167464115"
"2020-04-18","294","574","0.5121951219512195"
"2020-04-19","306","565","0.5415929203539823"
"2020-04-20","405","870","0.46551724137931033"
"2020-04-21","439","901","0.4872364039955605"
"2020-04-22","500","996","0.5020080321285141"
"2020-04-23","467","987","0.47315096251266464"
"2020-04-24","430","906","0.4746136865342163"
"2020-04-25","261","574","0.4547038327526132"
"2020-04-26","287","593","0.4839797639123103"
"2020-04-27","453","993","0.4561933534743202"
"2020-04-28","437","953","0.45855194123819515"
"2020-04-29","464","971","0.47785787847579814"
"2020-04-30","405","826","0.49031476997578693"
"2020-05-01","310","645","0.4806201550387597"
"2020-05-02","266","557","0.47755834829443444"
"2020-05-03","284","580","0.4896551724137931"
"2020-05-04","409","866","0.4722863741339492"
"2020-05-05","457","1005","0.454726368159204"
"2020-05-06","462","933","0.49517684887459806"
"2020-05-07","417","784","0.5318877551020408"
"2020-05-08","460","925","0.4972972972972973"
"2020-05-09","259","547","0.473491773308958"
"2020-05-10","239","513","0.46588693957115007"
"2020-05-11","342","764","0.4476439790575916"
"2020-05-12","411","899","0.457174638487208"
"2020-05-13","410","859","0.47729918509895225"
"2020-05-14","382","849","0.4499411071849234"
"2020-05-15","401","801","0.5006242197253433"
"2020-05-16","319","589","0.5415959252971138"
"2020-05-17","245","504","0.4861111111111111"
"2020-05-18","407","836","0.4868421052631579"
"2020-05-19","465","879","0.5290102389078498"
"2020-05-20","411","832","0.49399038461538464"
"2020-05-21","419","866","0.4838337182448037"
"2020-05-22","404","799","0.5056320400500626"
"2020-05-23","271","570","0.47543859649122805"
"2020-05-24","250","499","0.501002004008016"
"2020-05-25","330","719","0.45897079276773295"
"2020-05-26","407","877","0.4640820980615735"
"2020-05-27","380","839","0.45292014302741357"
"2020-05-28","455","954","0.4769392033542977"
"2020-05-29","360","818","0.4400977995110024"
"2020-05-30","282","619","0.4555735056542811"
"2020-05-31","232","535","0.4336448598130841"
"2020-06-01","338","855","0.3953216374269006"
"2020-06-02","375","873","0.42955326460481097"
"2020-06-03","375","872","0.43004587155963303"
"2020-06-04","423","885","0.47796610169491527"
"2020-06-05","358","878","0.40774487471526194"
"2020-06-06","266","597","0.4455611390284757"
"2020-06-07","243","566","0.4293286219081272"
"2020-06-08","389","919","0.4232861806311208"
"2020-06-09","355","882","0.40249433106575966"
"2020-06-10","388","905","0.4287292817679558"
"2020-06-11","394","929","0.4241119483315393"
"2020-06-12","358","902","0.3968957871396896"
"2020-06-13","300","657","0.45662100456621"
"2020-06-14","261","631","0.41362916006339145"
"2020-06-15","375","881","0.42565266742338254"
"2020-06-16","506","1114","0.4542190305206463"
"2020-06-17","609","1478","0.41204330175913395"
"2020-06-18","790","1863","0.42404723564143854"
"2020-06-19","934","1793","0.520914668153932"
"2020-06-20","559","1264","0.442246835443038"
"2020-06-21","511","1187","0.43049705139005895"
"2020-06-22","694","1667","0.41631673665266944"
"2020-06-23","831","1932","0.4301242236024845"
"2020-06-24","818","1838","0.44504896626768226"
"2020-06-25","817","1887","0.43296237413884475"
"2020-06-26","797","1818","0.4383938393839384"
"2020-06-27","635","1349","0.47071905114899926"
"2020-06-28","534","1235","0.43238866396761133"
"2020-06-29","703","1547","0.4544279250161603"
"2020-06-30","849","1920","0.4421875"
"2020-07-01","855","1917","0.4460093896713615"
"2020-07-02","805","1863","0.43209876543209874"
"2020-07-03","762","1781","0.4278495227400337"
"2020-07-04","513","1297","0.39552814186584423"
