date,count,total_count,ratio
"2020-01-01","4","14","0.2857142857142857"
"2020-01-02","2","33","0.06060606060606061"
"2020-01-03","2","30","0.06666666666666667"
"2020-01-04","3","28","0.10714285714285714"
"2020-01-05","3","21","0.14285714285714285"
"2020-01-06","5","42","0.11904761904761904"
"2020-01-07","4","50","0.08"
"2020-01-08","0","19","0"
"2020-01-09","0","26","0"
"2020-01-10","1","28","0.03571428571428571"
"2020-01-11","0","20","0"
"2020-01-12","0","7","0"
"2020-01-13","0","21","0"
"2020-01-14","4","46","0.08695652173913043"
"2020-01-15","0","21","0"
"2020-01-16","1","22","0.045454545454545456"
"2020-01-17","0","30","0"
"2020-01-18","1","25","0.04"
"2020-01-19","0","7","0"
"2020-01-20","2","26","0.07692307692307693"
"2020-01-21","4","40","0.1"
"2020-01-22","0","32","0"
"2020-01-23","2","38","0.05263157894736842"
"2020-01-24","3","22","0.13636363636363635"
"2020-01-25","1","29","0.034482758620689655"
"2020-01-26","3","17","0.17647058823529413"
"2020-01-27","3","32","0.09375"
"2020-01-28","2","25","0.08"
"2020-01-29","3","29","0.10344827586206896"
"2020-01-30","0","36","0"
"2020-01-31","2","35","0.05714285714285714"
"2020-02-01","1","25","0.04"
"2020-02-02","1","11","0.09090909090909091"
"2020-02-03","2","23","0.08695652173913043"
"2020-02-04","2","38","0.05263157894736842"
"2020-02-05","2","21","0.09523809523809523"
"2020-02-06","1","26","0.038461538461538464"
"2020-02-07","1","30","0.03333333333333333"
"2020-02-08","4","38","0.10526315789473684"
"2020-02-09","1","13","0.07692307692307693"
"2020-02-10","0","21","0"
"2020-02-11","2","20","0.1"
"2020-02-12","0","23","0"
"2020-02-13","6","34","0.17647058823529413"
"2020-02-14","1","22","0.045454545454545456"
"2020-02-15","4","30","0.13333333333333333"
"2020-02-16","0","14","0"
"2020-02-17","2","14","0.14285714285714285"
"2020-02-18","2","29","0.06896551724137931"
"2020-02-19","3","23","0.13043478260869565"
"2020-02-20","5","33","0.15151515151515152"
"2020-02-21","2","36","0.05555555555555555"
"2020-02-22","2","13","0.15384615384615385"
"2020-02-23","3","16","0.1875"
"2020-02-24","2","26","0.07692307692307693"
"2020-02-25","5","31","0.16129032258064516"
"2020-02-26","3","21","0.14285714285714285"
"2020-02-27","9","27","0.3333333333333333"
"2020-02-28","3","28","0.10714285714285714"
"2020-02-29","6","25","0.24"
"2020-03-01","2","11","0.18181818181818182"
"2020-03-02","2","10","0.2"
"2020-03-03","3","16","0.1875"
"2020-03-04","6","16","0.375"
"2020-03-05","7","34","0.20588235294117646"
"2020-03-06","9","36","0.25"
"2020-03-07","10","28","0.35714285714285715"
"2020-03-08","2","13","0.15384615384615385"
"2020-03-09","4","17","0.23529411764705882"
"2020-03-10","3","17","0.17647058823529413"
"2020-03-11","10","35","0.2857142857142857"
"2020-03-12","28","54","0.5185185185185185"
"2020-03-13","29","53","0.5471698113207547"
"2020-03-14","17","34","0.5"
"2020-03-15","13","21","0.6190476190476191"
"2020-03-16","44","69","0.6376811594202898"
"2020-03-17","35","57","0.6140350877192983"
"2020-03-18","46","70","0.6571428571428571"
"2020-03-19","31","47","0.6595744680851063"
"2020-03-20","33","49","0.673469387755102"
"2020-03-21","28","50","0.56"
"2020-03-22","25","46","0.5434782608695652"
"2020-03-23","33","50","0.66"
"2020-03-24","23","31","0.7419354838709677"
"2020-03-25","23","38","0.6052631578947368"
"2020-03-26","25","46","0.5434782608695652"
"2020-03-27","34","58","0.5862068965517241"
"2020-03-28","19","34","0.5588235294117647"
"2020-03-29","10","14","0.7142857142857143"
"2020-03-30","31","42","0.7380952380952381"
"2020-03-31","40","59","0.6779661016949152"
"2020-04-01","38","62","0.6129032258064516"
"2020-04-02","45","72","0.625"
"2020-04-03","26","41","0.6341463414634146"
"2020-04-04","15","23","0.6521739130434783"
"2020-04-05","34","44","0.7727272727272727"
"2020-04-06","46","75","0.6133333333333333"
"2020-04-07","44","73","0.6027397260273972"
"2020-04-08","27","45","0.6"
"2020-04-09","23","42","0.5476190476190477"
"2020-04-10","13","28","0.4642857142857143"
"2020-04-11","26","37","0.7027027027027027"
"2020-04-12","19","27","0.7037037037037037"
"2020-04-13","21","35","0.6"
"2020-04-14","34","48","0.7083333333333334"
"2020-04-15","38","54","0.7037037037037037"
"2020-04-16","53","69","0.7681159420289855"
"2020-04-17","34","46","0.7391304347826086"
"2020-04-18","16","24","0.6666666666666666"
"2020-04-19","10","15","0.6666666666666666"
"2020-04-20","44","64","0.6875"
"2020-04-21","44","66","0.6666666666666666"
"2020-04-22","29","50","0.58"
"2020-04-23","26","40","0.65"
"2020-04-24","21","31","0.6774193548387096"
"2020-04-25","18","27","0.6666666666666666"
"2020-04-26","3","10","0.3"
"2020-04-27","30","42","0.7142857142857143"
"2020-04-28","23","33","0.696969696969697"
"2020-04-29","33","49","0.673469387755102"
"2020-04-30","14","27","0.5185185185185185"
"2020-05-01","6","9","0.6666666666666666"
"2020-05-02","11","13","0.8461538461538461"
"2020-05-03","9","11","0.8181818181818182"
"2020-05-04","3","11","0.2727272727272727"
"2020-05-05","16","31","0.5161290322580645"
"2020-05-06","23","32","0.71875"
"2020-05-07","15","19","0.7894736842105263"
"2020-05-08","14","26","0.5384615384615384"
"2020-05-09","4","10","0.4"
"2020-05-10","2","7","0.2857142857142857"
"2020-05-11","6","19","0.3157894736842105"
"2020-05-12","16","30","0.5333333333333333"
"2020-05-13","27","49","0.5510204081632653"
"2020-05-14","26","49","0.5306122448979592"
"2020-05-15","9","19","0.47368421052631576"
"2020-05-16","12","15","0.8"
"2020-05-17","2","7","0.2857142857142857"
"2020-05-18","9","18","0.5"
"2020-05-19","7","18","0.3888888888888889"
"2020-05-20","9","20","0.45"
"2020-05-21","9","25","0.36"
"2020-05-22","11","15","0.7333333333333333"
"2020-05-23","9","17","0.5294117647058824"
"2020-05-24","2","5","0.4"
"2020-05-25","6","16","0.375"
"2020-05-26","5","15","0.3333333333333333"
"2020-05-27","7","22","0.3181818181818182"
"2020-05-28","8","17","0.47058823529411764"
"2020-05-29","11","23","0.4782608695652174"
"2020-05-30","8","18","0.4444444444444444"
"2020-05-31","0","3","0"
"2020-06-01","15","31","0.4838709677419355"
"2020-06-02","18","33","0.5454545454545454"
"2020-06-03","12","39","0.3076923076923077"
"2020-06-04","15","34","0.4411764705882353"
"2020-06-05","9","31","0.2903225806451613"
"2020-06-06","9","27","0.3333333333333333"
"2020-06-07","4","8","0.5"
"2020-06-08","5","14","0.35714285714285715"
"2020-06-09","5","17","0.29411764705882354"
"2020-06-10","8","15","0.5333333333333333"
"2020-06-11","8","14","0.5714285714285714"
"2020-06-12","6","14","0.42857142857142855"
"2020-06-13","6","15","0.4"
"2020-06-14","2","7","0.2857142857142857"
"2020-06-15","9","18","0.5"
"2020-06-16","5","15","0.3333333333333333"
"2020-06-17","7","18","0.3888888888888889"
"2020-06-18","12","27","0.4444444444444444"
"2020-06-19","8","21","0.38095238095238093"
"2020-06-20","6","12","0.5"
"2020-06-21","3","6","0.5"
"2020-06-22","3","20","0.15"
"2020-06-23","7","17","0.4117647058823529"
"2020-06-24","8","26","0.3076923076923077"
"2020-06-25","5","22","0.22727272727272727"
"2020-06-26","9","24","0.375"
"2020-06-27","5","12","0.4166666666666667"
"2020-06-28","4","7","0.5714285714285714"
"2020-06-29","7","19","0.3684210526315789"
"2020-06-30","8","26","0.3076923076923077"
"2020-07-01","8","30","0.26666666666666666"
"2020-07-02","16","35","0.45714285714285713"
"2020-07-03","13","34","0.38235294117647056"
"2020-07-04","11","34","0.3235294117647059"
"2020-07-05","16","31","0.5161290322580645"
"2020-07-06","14","33","0.42424242424242425"
"2020-07-07","9","19","0.47368421052631576"
"2020-07-08","6","21","0.2857142857142857"
"2020-07-09","7","25","0.28"
"2020-07-10","13","31","0.41935483870967744"
"2020-07-11","9","15","0.6"
"2020-07-12","7","15","0.4666666666666667"
"2020-07-13","11","30","0.36666666666666664"
"2020-07-14","19","35","0.5428571428571428"
"2020-07-15","11","40","0.275"
"2020-07-16","9","24","0.375"
"2020-07-17","4","16","0.25"
"2020-07-18","8","16","0.5"
"2020-07-19","9","19","0.47368421052631576"
"2020-07-20","16","41","0.3902439024390244"
"2020-07-21","8","30","0.26666666666666666"
"2020-07-22","14","47","0.2978723404255319"
"2020-07-23","12","28","0.42857142857142855"
"2020-07-24","2","9","0.2222222222222222"
"2020-07-25","0","0","0"
"2020-07-26","1","1","1.0"
"2020-07-27","6","12","0.5"
"2020-07-28","8","25","0.32"
"2020-07-29","6","13","0.46153846153846156"
"2020-07-30","10","26","0.38461538461538464"
"2020-07-31","15","35","0.42857142857142855"
"2020-08-01","13","26","0.5"
"2020-08-02","4","16","0.25"
"2020-08-03","11","29","0.3793103448275862"
"2020-08-04","11","20","0.55"
"2020-08-05","2","8","0.25"
"2020-08-06","4","16","0.25"
"2020-08-07","10","27","0.37037037037037035"
"2020-08-08","8","14","0.5714285714285714"
"2020-08-09","0","6","0"
"2020-08-10","6","21","0.2857142857142857"
"2020-08-11","6","29","0.20689655172413793"
"2020-08-12","15","30","0.5"
"2020-08-13","8","28","0.2857142857142857"
"2020-08-14","14","38","0.3684210526315789"
"2020-08-15","12","33","0.36363636363636365"
"2020-08-16","7","22","0.3181818181818182"
"2020-08-17","13","27","0.48148148148148145"
"2020-08-18","14","38","0.3684210526315789"
"2020-08-19","8","21","0.38095238095238093"
"2020-08-20","8","17","0.47058823529411764"
"2020-08-21","9","20","0.45"
"2020-08-22","8","17","0.47058823529411764"
"2020-08-23","2","7","0.2857142857142857"
"2020-08-24","10","21","0.47619047619047616"
"2020-08-25","10","25","0.4"
"2020-08-26","5","20","0.25"
"2020-08-27","6","18","0.3333333333333333"
"2020-08-28","3","7","0.42857142857142855"
"2020-08-29","10","22","0.45454545454545453"
"2020-08-30","8","12","0.6666666666666666"
"2020-08-31","3","14","0.21428571428571427"
"2020-09-01","10","27","0.37037037037037035"
"2020-09-02","3","23","0.13043478260869565"
"2020-09-03","6","23","0.2608695652173913"
"2020-09-04","4","20","0.2"
"2020-09-05","3","11","0.2727272727272727"
"2020-09-06","5","11","0.45454545454545453"
"2020-09-07","18","48","0.375"
