date,count,total_count,ratio
"2020-01-01","0","3","0"
"2020-01-02","0","12","0"
"2020-01-03","1","22","0.045454545454545456"
"2020-01-04","0","7","0"
"2020-01-05","0","18","0"
"2020-01-06","1","24","0.041666666666666664"
"2020-01-07","1","32","0.03125"
"2020-01-08","1","20","0.05"
"2020-01-09","2","26","0.07692307692307693"
"2020-01-10","2","21","0.09523809523809523"
"2020-01-11","1","11","0.09090909090909091"
"2020-01-12","0","21","0"
"2020-01-13","1","18","0.05555555555555555"
"2020-01-14","2","31","0.06451612903225806"
"2020-01-15","1","18","0.05555555555555555"
"2020-01-16","0","24","0"
"2020-01-17","1","30","0.03333333333333333"
"2020-01-18","1","9","0.1111111111111111"
"2020-01-19","4","16","0.25"
"2020-01-20","0","18","0"
"2020-01-21","1","19","0.05263157894736842"
"2020-01-22","0","28","0"
"2020-01-23","2","27","0.07407407407407407"
"2020-01-24","2","35","0.05714285714285714"
"2020-01-25","1","7","0.14285714285714285"
"2020-01-26","0","13","0"
"2020-01-27","2","29","0.06896551724137931"
"2020-01-28","0","36","0"
"2020-01-29","0","10","0"
"2020-01-30","1","22","0.045454545454545456"
"2020-01-31","1","19","0.05263157894736842"
"2020-02-01","1","3","0.3333333333333333"
"2020-02-02","0","6","0"
"2020-02-03","1","13","0.07692307692307693"
"2020-02-04","1","17","0.058823529411764705"
"2020-02-05","0","26","0"
"2020-02-06","1","17","0.058823529411764705"
"2020-02-07","2","16","0.125"
"2020-02-08","1","3","0.3333333333333333"
"2020-02-09","0","9","0"
"2020-02-10","2","17","0.11764705882352941"
"2020-02-11","1","22","0.045454545454545456"
"2020-02-12","4","24","0.16666666666666666"
"2020-02-13","0","20","0"
"2020-02-14","1","18","0.05555555555555555"
"2020-02-15","4","13","0.3076923076923077"
"2020-02-16","2","9","0.2222222222222222"
"2020-02-17","4","13","0.3076923076923077"
"2020-02-18","5","29","0.1724137931034483"
"2020-02-19","2","19","0.10526315789473684"
"2020-02-20","0","16","0"
"2020-02-21","1","26","0.038461538461538464"
"2020-02-22","1","14","0.07142857142857142"
"2020-02-23","2","16","0.125"
"2020-02-24","2","22","0.09090909090909091"
"2020-02-25","7","34","0.20588235294117646"
"2020-02-26","0","10","0"
"2020-02-27","1","19","0.05263157894736842"
"2020-02-28","2","41","0.04878048780487805"
"2020-02-29","1","4","0.25"
"2020-03-01","2","7","0.2857142857142857"
"2020-03-02","3","16","0.1875"
"2020-03-03","0","11","0"
"2020-03-04","0","9","0"
"2020-03-05","2","27","0.07407407407407407"
"2020-03-06","9","19","0.47368421052631576"
"2020-03-07","3","15","0.2"
"2020-03-08","1","13","0.07692307692307693"
"2020-03-09","2","16","0.125"
"2020-03-10","3","20","0.15"
"2020-03-11","6","22","0.2727272727272727"
"2020-03-12","12","32","0.375"
"2020-03-13","10","34","0.29411764705882354"
"2020-03-14","8","18","0.4444444444444444"
"2020-03-15","9","15","0.6"
"2020-03-16","11","21","0.5238095238095238"
"2020-03-17","11","29","0.3793103448275862"
"2020-03-18","15","20","0.75"
"2020-03-19","10","28","0.35714285714285715"
"2020-03-20","8","18","0.4444444444444444"
"2020-03-21","7","10","0.7"
"2020-03-22","6","10","0.6"
"2020-03-23","9","18","0.5"
"2020-03-24","14","27","0.5185185185185185"
"2020-03-25","13","26","0.5"
"2020-03-26","8","20","0.4"
"2020-03-27","37","55","0.6727272727272727"
"2020-03-28","9","10","0.9"
"2020-03-29","5","8","0.625"
"2020-03-30","2","5","0.4"
"2020-03-31","7","16","0.4375"
"2020-04-01","13","27","0.48148148148148145"
"2020-04-02","9","24","0.375"
"2020-04-03","13","22","0.5909090909090909"
"2020-04-04","7","11","0.6363636363636364"
"2020-04-05","3","11","0.2727272727272727"
"2020-04-06","6","9","0.6666666666666666"
"2020-04-07","16","25","0.64"
"2020-04-08","11","20","0.55"
"2020-04-09","23","26","0.8846153846153846"
"2020-04-10","13","19","0.6842105263157895"
"2020-04-11","5","12","0.4166666666666667"
"2020-04-12","7","17","0.4117647058823529"
"2020-04-13","9","20","0.45"
"2020-04-14","12","17","0.7058823529411765"
"2020-04-15","7","15","0.4666666666666667"
"2020-04-16","11","23","0.4782608695652174"
"2020-04-17","15","20","0.75"
"2020-04-18","7","8","0.875"
"2020-04-19","1","1","1.0"
"2020-04-20","6","14","0.42857142857142855"
"2020-04-21","16","28","0.5714285714285714"
"2020-04-22","11","17","0.6470588235294118"
"2020-04-23","16","19","0.8421052631578947"
"2020-04-24","20","35","0.5714285714285714"
"2020-04-25","5","7","0.7142857142857143"
"2020-04-26","3","5","0.6"
"2020-04-27","15","23","0.6521739130434783"
"2020-04-28","8","20","0.4"
"2020-04-29","13","35","0.37142857142857144"
"2020-04-30","16","31","0.5161290322580645"
"2020-05-01","0","0","0"
"2020-05-02","0","0","0"
"2020-05-03","1","2","0.5"
"2020-05-04","3","6","0.5"
"2020-05-05","13","28","0.4642857142857143"
"2020-05-06","7","17","0.4117647058823529"
"2020-05-07","1","11","0.09090909090909091"
"2020-05-08","3","15","0.2"
"2020-05-09","4","4","1.0"
"2020-05-10","1","1","1.0"
"2020-05-11","1","3","0.3333333333333333"
"2020-05-12","8","12","0.6666666666666666"
"2020-05-13","2","5","0.4"
"2020-05-14","8","10","0.8"
"2020-05-15","9","11","0.8181818181818182"
"2020-05-16","0","0","0"
"2020-05-17","4","6","0.6666666666666666"
"2020-05-18","7","15","0.4666666666666667"
"2020-05-19","11","25","0.44"
"2020-05-20","10","21","0.47619047619047616"
"2020-05-21","9","22","0.4090909090909091"
"2020-05-22","11","19","0.5789473684210527"
"2020-05-23","0","1","0"
"2020-05-24","2","7","0.2857142857142857"
"2020-05-25","14","19","0.7368421052631579"
"2020-05-26","12","22","0.5454545454545454"
"2020-05-27","7","15","0.4666666666666667"
"2020-05-28","12","21","0.5714285714285714"
"2020-05-29","10","20","0.5"
"2020-05-30","0","1","0"
"2020-05-31","1","1","1.0"
"2020-06-01","5","10","0.5"
"2020-06-02","5","18","0.2777777777777778"
"2020-06-03","6","25","0.24"
"2020-06-04","8","28","0.2857142857142857"
"2020-06-05","10","32","0.3125"
"2020-06-06","2","5","0.4"
"2020-06-07","4","14","0.2857142857142857"
"2020-06-08","5","24","0.20833333333333334"
"2020-06-09","5","17","0.29411764705882354"
"2020-06-10","6","18","0.3333333333333333"
"2020-06-11","8","30","0.26666666666666666"
"2020-06-12","5","15","0.3333333333333333"
"2020-06-13","0","3","0"
"2020-06-14","7","13","0.5384615384615384"
"2020-06-15","6","15","0.4"
"2020-06-16","11","20","0.55"
"2020-06-17","13","30","0.43333333333333335"
"2020-06-18","5","27","0.18518518518518517"
"2020-06-19","15","33","0.45454545454545453"
"2020-06-20","0","1","0"
"2020-06-21","8","17","0.47058823529411764"
"2020-06-22","14","26","0.5384615384615384"
"2020-06-23","18","40","0.45"
"2020-06-24","9","27","0.3333333333333333"
"2020-06-25","20","34","0.5882352941176471"
"2020-06-26","17","37","0.4594594594594595"
"2020-06-27","1","4","0.25"
"2020-06-28","7","15","0.4666666666666667"
"2020-06-29","5","18","0.2777777777777778"
"2020-06-30","7","16","0.4375"
"2020-07-01","7","27","0.25925925925925924"
"2020-07-02","12","30","0.4"
"2020-07-03","15","50","0.3"
"2020-07-04","0","1","0"
"2020-07-05","3","3","1.0"
"2020-07-06","6","18","0.3333333333333333"
"2020-07-07","13","40","0.325"
"2020-07-08","10","37","0.2702702702702703"
"2020-07-09","14","33","0.42424242424242425"
"2020-07-10","14","33","0.42424242424242425"
"2020-07-11","1","5","0.2"
"2020-07-12","8","26","0.3076923076923077"
"2020-07-13","10","31","0.3225806451612903"
"2020-07-14","17","36","0.4722222222222222"
"2020-07-15","11","31","0.3548387096774194"
"2020-07-16","10","33","0.30303030303030304"
"2020-07-17","14","37","0.3783783783783784"
"2020-07-18","8","12","0.6666666666666666"
"2020-07-19","7","16","0.4375"
"2020-07-20","9","24","0.375"
"2020-07-21","10","33","0.30303030303030304"
"2020-07-22","7","32","0.21875"
"2020-07-23","14","41","0.34146341463414637"
"2020-07-24","2","20","0.1"
"2020-07-25","0","0","0"
"2020-07-26","0","0","0"
"2020-07-27","0","6","0"
"2020-07-28","8","21","0.38095238095238093"
"2020-07-29","9","28","0.32142857142857145"
"2020-07-30","9","21","0.42857142857142855"
"2020-07-31","9","38","0.23684210526315788"
"2020-08-01","6","13","0.46153846153846156"
"2020-08-02","8","22","0.36363636363636365"
"2020-08-03","8","12","0.6666666666666666"
"2020-08-04","3","12","0.25"
"2020-08-05","1","4","0.25"
"2020-08-06","6","12","0.5"
"2020-08-07","10","28","0.35714285714285715"
"2020-08-08","1","3","0.3333333333333333"
"2020-08-09","5","22","0.22727272727272727"
"2020-08-10","15","25","0.6"
"2020-08-11","16","49","0.32653061224489793"
"2020-08-12","20","44","0.45454545454545453"
"2020-08-13","11","49","0.22448979591836735"
"2020-08-14","20","61","0.32786885245901637"
"2020-08-15","3","14","0.21428571428571427"
"2020-08-16","4","27","0.14814814814814814"
"2020-08-17","14","44","0.3181818181818182"
"2020-08-18","7","35","0.2"
"2020-08-19","7","35","0.2"
"2020-08-20","15","50","0.3"
"2020-08-21","12","42","0.2857142857142857"
"2020-08-22","9","20","0.45"
"2020-08-23","9","24","0.375"
"2020-08-24","4","19","0.21052631578947367"
"2020-08-25","14","42","0.3333333333333333"
"2020-08-26","6","23","0.2608695652173913"
"2020-08-27","13","35","0.37142857142857144"
"2020-08-28","7","46","0.15217391304347827"
"2020-08-29","0","2","0"
"2020-08-30","2","12","0.16666666666666666"
"2020-08-31","4","19","0.21052631578947367"
"2020-09-01","15","44","0.3409090909090909"
"2020-09-02","1","17","0.058823529411764705"
"2020-09-03","11","46","0.2391304347826087"
"2020-09-04","11","45","0.24444444444444444"
"2020-09-05","0","4","0"
"2020-09-06","6","20","0.3"
"2020-09-07","11","24","0.4583333333333333"
"2020-09-08","9","54","0.16666666666666666"
"2020-09-09","2","26","0.07692307692307693"
"2020-09-10","9","41","0.21951219512195122"
"2020-09-11","20","55","0.36363636363636365"
"2020-09-12","2","8","0.25"
"2020-09-13","3","21","0.14285714285714285"
"2020-09-14","2","12","0.16666666666666666"
"2020-09-15","4","36","0.1111111111111111"
"2020-09-16","9","36","0.25"
"2020-09-17","12","57","0.21052631578947367"
"2020-09-18","12","47","0.2553191489361702"
"2020-09-19","2","4","0.5"
"2020-09-20","4","13","0.3076923076923077"
"2020-09-21","10","31","0.3225806451612903"
"2020-09-22","14","49","0.2857142857142857"
"2020-09-23","11","42","0.2619047619047619"
"2020-09-24","11","34","0.3235294117647059"
"2020-09-25","15","50","0.3"
