date,count,total_count,ratio
"2020-01-01","1","17","0.058823529411764705"
"2020-01-02","0","21","0"
"2020-01-03","6","25","0.24"
"2020-01-04","3","21","0.14285714285714285"
"2020-01-05","4","18","0.2222222222222222"
"2020-01-06","2","29","0.06896551724137931"
"2020-01-07","0","17","0"
"2020-01-08","1","31","0.03225806451612903"
"2020-01-09","2","29","0.06896551724137931"
"2020-01-10","2","31","0.06451612903225806"
"2020-01-11","4","24","0.16666666666666666"
"2020-01-12","3","27","0.1111111111111111"
"2020-01-13","4","34","0.11764705882352941"
"2020-01-14","3","28","0.10714285714285714"
"2020-01-15","1","24","0.041666666666666664"
"2020-01-16","3","25","0.12"
"2020-01-17","4","18","0.2222222222222222"
"2020-01-18","6","26","0.23076923076923078"
"2020-01-19","10","17","0.5882352941176471"
"2020-01-20","4","29","0.13793103448275862"
"2020-01-21","4","29","0.13793103448275862"
"2020-01-22","3","28","0.10714285714285714"
"2020-01-23","3","35","0.08571428571428572"
"2020-01-24","1","25","0.04"
"2020-01-25","2","18","0.1111111111111111"
"2020-01-26","1","16","0.0625"
"2020-01-27","3","25","0.12"
"2020-01-28","3","22","0.13636363636363635"
"2020-01-29","4","40","0.1"
"2020-01-30","0","33","0"
"2020-01-31","2","24","0.08333333333333333"
"2020-02-01","1","26","0.038461538461538464"
"2020-02-02","3","21","0.14285714285714285"
"2020-02-03","2","34","0.058823529411764705"
"2020-02-04","2","30","0.06666666666666667"
"2020-02-05","1","39","0.02564102564102564"
"2020-02-06","2","40","0.05"
"2020-02-07","5","32","0.15625"
"2020-02-08","2","25","0.08"
"2020-02-09","2","31","0.06451612903225806"
"2020-02-10","3","33","0.09090909090909091"
"2020-02-11","2","27","0.07407407407407407"
"2020-02-12","3","23","0.13043478260869565"
"2020-02-13","4","26","0.15384615384615385"
"2020-02-14","1","29","0.034482758620689655"
"2020-02-15","2","27","0.07407407407407407"
"2020-02-16","4","34","0.11764705882352941"
"2020-02-17","4","28","0.14285714285714285"
"2020-02-18","3","27","0.1111111111111111"
"2020-02-19","15","30","0.5"
"2020-02-20","2","26","0.07692307692307693"
"2020-02-21","6","33","0.18181818181818182"
"2020-02-22","4","26","0.15384615384615385"
"2020-02-23","2","22","0.09090909090909091"
"2020-02-24","1","22","0.045454545454545456"
"2020-02-25","9","19","0.47368421052631576"
"2020-02-26","6","36","0.16666666666666666"
"2020-02-27","5","33","0.15151515151515152"
"2020-02-28","5","33","0.15151515151515152"
"2020-02-29","5","26","0.19230769230769232"
"2020-03-01","6","29","0.20689655172413793"
"2020-03-02","4","36","0.1111111111111111"
"2020-03-03","5","32","0.15625"
"2020-03-04","3","35","0.08571428571428572"
"2020-03-05","8","44","0.18181818181818182"
"2020-03-06","7","37","0.1891891891891892"
"2020-03-07","8","25","0.32"
"2020-03-08","3","24","0.125"
"2020-03-09","5","22","0.22727272727272727"
"2020-03-10","1","16","0.0625"
"2020-03-11","7","30","0.23333333333333334"
"2020-03-12","7","38","0.18421052631578946"
"2020-03-13","18","43","0.4186046511627907"
"2020-03-14","15","38","0.39473684210526316"
"2020-03-15","19","36","0.5277777777777778"
"2020-03-16","18","39","0.46153846153846156"
"2020-03-17","15","34","0.4411764705882353"
"2020-03-18","13","31","0.41935483870967744"
"2020-03-19","29","45","0.6444444444444445"
"2020-03-20","17","49","0.3469387755102041"
"2020-03-21","16","39","0.41025641025641024"
"2020-03-22","11","37","0.2972972972972973"
"2020-03-23","15","44","0.3409090909090909"
"2020-03-24","18","42","0.42857142857142855"
"2020-03-25","18","51","0.35294117647058826"
"2020-03-26","16","43","0.37209302325581395"
"2020-03-27","18","47","0.3829787234042553"
"2020-03-28","14","36","0.3888888888888889"
"2020-03-29","12","27","0.4444444444444444"
"2020-03-30","20","44","0.45454545454545453"
"2020-03-31","24","40","0.6"
"2020-04-01","23","48","0.4791666666666667"
"2020-04-02","16","40","0.4"
"2020-04-03","13","49","0.2653061224489796"
"2020-04-04","15","38","0.39473684210526316"
"2020-04-05","11","41","0.2682926829268293"
"2020-04-06","17","47","0.3617021276595745"
"2020-04-07","16","35","0.45714285714285713"
"2020-04-08","28","52","0.5384615384615384"
"2020-04-09","17","32","0.53125"
"2020-04-10","7","27","0.25925925925925924"
"2020-04-11","17","37","0.4594594594594595"
"2020-04-12","14","41","0.34146341463414637"
"2020-04-13","10","43","0.23255813953488372"
"2020-04-14","15","42","0.35714285714285715"
"2020-04-15","22","54","0.4074074074074074"
"2020-04-16","15","40","0.375"
"2020-04-17","21","49","0.42857142857142855"
"2020-04-18","17","37","0.4594594594594595"
"2020-04-19","11","30","0.36666666666666664"
"2020-04-20","11","36","0.3055555555555556"
"2020-04-21","12","41","0.2926829268292683"
"2020-04-22","13","42","0.30952380952380953"
"2020-04-23","16","48","0.3333333333333333"
"2020-04-24","21","46","0.45652173913043476"
"2020-04-25","9","29","0.3103448275862069"
"2020-04-26","10","36","0.2777777777777778"
"2020-04-27","9","40","0.225"
"2020-04-28","22","38","0.5789473684210527"
"2020-04-29","16","46","0.34782608695652173"
"2020-04-30","11","32","0.34375"
"2020-05-01","10","25","0.4"
"2020-05-02","11","37","0.2972972972972973"
"2020-05-03","10","26","0.38461538461538464"
"2020-05-04","6","34","0.17647058823529413"
"2020-05-05","10","44","0.22727272727272727"
"2020-05-06","12","41","0.2926829268292683"
"2020-05-07","6","36","0.16666666666666666"
"2020-05-08","12","46","0.2608695652173913"
"2020-05-09","16","41","0.3902439024390244"
"2020-05-10","10","23","0.43478260869565216"
"2020-05-11","19","49","0.3877551020408163"
"2020-05-12","23","51","0.45098039215686275"
"2020-05-13","10","39","0.2564102564102564"
"2020-05-14","11","44","0.25"
"2020-05-15","12","43","0.27906976744186046"
"2020-05-16","11","37","0.2972972972972973"
"2020-05-17","15","33","0.45454545454545453"
"2020-05-18","11","28","0.39285714285714285"
"2020-05-19","19","47","0.40425531914893614"
"2020-05-20","17","39","0.4358974358974359"
"2020-05-21","20","39","0.5128205128205128"
"2020-05-22","12","33","0.36363636363636365"
"2020-05-23","9","37","0.24324324324324326"
"2020-05-24","11","29","0.3793103448275862"
"2020-05-25","12","50","0.24"
"2020-05-26","4","31","0.12903225806451613"
"2020-05-27","5","33","0.15151515151515152"
"2020-05-28","10","37","0.2702702702702703"
"2020-05-29","10","41","0.24390243902439024"
"2020-05-30","15","43","0.3488372093023256"
"2020-05-31","22","29","0.7586206896551724"
"2020-06-01","20","29","0.6896551724137931"
"2020-06-02","22","45","0.4888888888888889"
"2020-06-03","24","41","0.5853658536585366"
"2020-06-04","16","47","0.3404255319148936"
"2020-06-05","13","36","0.3611111111111111"
"2020-06-06","25","39","0.6410256410256411"
"2020-06-07","21","33","0.6363636363636364"
"2020-06-08","25","40","0.625"
"2020-06-09","27","40","0.675"
"2020-06-10","17","36","0.4722222222222222"
"2020-06-11","21","46","0.45652173913043476"
"2020-06-12","17","42","0.40476190476190477"
"2020-06-13","23","40","0.575"
"2020-06-14","20","39","0.5128205128205128"
"2020-06-15","24","35","0.6857142857142857"
"2020-06-16","23","33","0.696969696969697"
"2020-06-17","18","45","0.4"
"2020-06-18","25","44","0.5681818181818182"
"2020-06-19","36","48","0.75"
"2020-06-20","21","29","0.7241379310344828"
"2020-06-21","15","27","0.5555555555555556"
"2020-06-22","16","32","0.5"
"2020-06-23","21","37","0.5675675675675675"
"2020-06-24","20","43","0.46511627906976744"
"2020-06-25","12","39","0.3076923076923077"
"2020-06-26","16","48","0.3333333333333333"
"2020-06-27","12","33","0.36363636363636365"
"2020-06-28","13","28","0.4642857142857143"
"2020-06-29","12","40","0.3"
"2020-06-30","16","32","0.5"
"2020-07-01","17","38","0.4473684210526316"
"2020-07-02","14","44","0.3181818181818182"
"2020-07-03","8","29","0.27586206896551724"
"2020-07-04","18","39","0.46153846153846156"
"2020-07-05","15","38","0.39473684210526316"
"2020-07-06","16","37","0.43243243243243246"
"2020-07-07","11","37","0.2972972972972973"
"2020-07-08","18","46","0.391304347826087"
"2020-07-09","15","46","0.32608695652173914"
"2020-07-10","13","36","0.3611111111111111"
"2020-07-11","20","48","0.4166666666666667"
"2020-07-12","11","23","0.4782608695652174"
"2020-07-13","14","46","0.30434782608695654"
"2020-07-14","13","47","0.2765957446808511"
"2020-07-15","16","42","0.38095238095238093"
"2020-07-16","21","63","0.3333333333333333"
"2020-07-17","18","48","0.375"
"2020-07-18","13","41","0.3170731707317073"
"2020-07-19","24","39","0.6153846153846154"
"2020-07-20","16","45","0.35555555555555557"
"2020-07-21","11","36","0.3055555555555556"
"2020-07-22","17","50","0.34"
"2020-07-23","20","54","0.37037037037037035"
"2020-07-24","11","28","0.39285714285714285"
"2020-07-25","1","3","0.3333333333333333"
"2020-07-26","1","2","0.5"
"2020-07-27","15","30","0.5"
"2020-07-28","10","22","0.45454545454545453"
"2020-07-29","10","38","0.2631578947368421"
"2020-07-30","20","53","0.37735849056603776"
"2020-07-31","15","40","0.375"
"2020-08-01","21","47","0.44680851063829785"
"2020-08-02","12","29","0.41379310344827586"
"2020-08-03","15","50","0.3"
"2020-08-04","6","35","0.17142857142857143"
"2020-08-05","5","14","0.35714285714285715"
"2020-08-06","6","13","0.46153846153846156"
"2020-08-07","5","16","0.3125"
"2020-08-08","23","69","0.3333333333333333"
"2020-08-09","21","40","0.525"
"2020-08-10","19","48","0.3958333333333333"
"2020-08-11","25","50","0.5"
"2020-08-12","30","56","0.5357142857142857"
"2020-08-13","16","47","0.3404255319148936"
"2020-08-14","18","58","0.3103448275862069"
"2020-08-15","16","39","0.41025641025641024"
"2020-08-16","13","44","0.29545454545454547"
"2020-08-17","22","46","0.4782608695652174"
"2020-08-18","24","61","0.39344262295081966"
"2020-08-19","25","43","0.5813953488372093"
"2020-08-20","19","46","0.41304347826086957"
"2020-08-21","17","55","0.3090909090909091"
"2020-08-22","15","43","0.3488372093023256"
"2020-08-23","11","33","0.3333333333333333"
"2020-08-24","16","43","0.37209302325581395"
"2020-08-25","14","51","0.27450980392156865"
"2020-08-26","16","51","0.3137254901960784"
"2020-08-27","16","45","0.35555555555555557"
"2020-08-28","18","55","0.32727272727272727"
"2020-08-29","20","79","0.25316455696202533"
"2020-08-30","15","41","0.36585365853658536"
"2020-08-31","18","48","0.375"
"2020-09-01","22","49","0.4489795918367347"
"2020-09-02","18","52","0.34615384615384615"
"2020-09-03","19","53","0.3584905660377358"
"2020-09-04","23","55","0.41818181818181815"
"2020-09-05","26","63","0.4126984126984127"
"2020-09-06","32","72","0.4444444444444444"
"2020-09-07","23","59","0.3898305084745763"
"2020-09-08","24","52","0.46153846153846156"
"2020-09-09","28","72","0.3888888888888889"
"2020-09-10","34","121","0.2809917355371901"
"2020-09-11","17","75","0.22666666666666666"
"2020-09-12","21","55","0.38181818181818183"
"2020-09-13","22","71","0.30985915492957744"
"2020-09-14","29","80","0.3625"
"2020-09-15","30","87","0.3448275862068966"
"2020-09-16","20","69","0.2898550724637681"
"2020-09-17","18","57","0.3157894736842105"
"2020-09-18","18","86","0.20930232558139536"
"2020-09-19","33","69","0.4782608695652174"
"2020-09-20","17","58","0.29310344827586204"
"2020-09-21","15","52","0.28846153846153844"
"2020-09-22","30","82","0.36585365853658536"
"2020-09-23","24","92","0.2608695652173913"
"2020-09-24","18","65","0.27692307692307694"
"2020-09-25","25","73","0.3424657534246575"
"2020-09-26","18","67","0.26865671641791045"
"2020-09-27","24","66","0.36363636363636365"
"2020-09-28","29","86","0.3372093023255814"
"2020-09-29","30","76","0.39473684210526316"
"2020-09-30","24","96","0.25"
"2020-10-01","44","127","0.3464566929133858"
"2020-10-02","31","92","0.33695652173913043"
"2020-10-03","22","70","0.3142857142857143"
"2020-10-04","15","65","0.23076923076923078"
"2020-10-05","35","106","0.330188679245283"
"2020-10-06","28","94","0.2978723404255319"
"2020-10-07","16","78","0.20512820512820512"
"2020-10-08","22","59","0.3728813559322034"
"2020-10-09","23","68","0.3382352941176471"
"2020-10-10","24","56","0.42857142857142855"
"2020-10-11","27","64","0.421875"
"2020-10-12","23","80","0.2875"
"2020-10-13","23","83","0.27710843373493976"
"2020-10-14","19","77","0.24675324675324675"
"2020-10-15","24","93","0.25806451612903225"
"2020-10-16","33","123","0.2682926829268293"
"2020-10-17","28","92","0.30434782608695654"
"2020-10-18","17","90","0.18888888888888888"
"2020-10-19","61","135","0.45185185185185184"
"2020-10-20","38","122","0.3114754098360656"
"2020-10-21","29","117","0.24786324786324787"
"2020-10-22","30","124","0.24193548387096775"
"2020-10-23","28","114","0.24561403508771928"
"2020-10-24","28","95","0.29473684210526313"
"2020-10-25","26","103","0.2524271844660194"
"2020-10-26","26","89","0.29213483146067415"
"2020-10-27","32","135","0.23703703703703705"
"2020-10-28","26","105","0.24761904761904763"
"2020-10-29","25","107","0.2336448598130841"
"2020-10-30","24","124","0.1935483870967742"
"2020-10-31","26","114","0.22807017543859648"
"2020-11-01","25","121","0.2066115702479339"
"2020-11-02","27","115","0.23478260869565218"
"2020-11-03","22","137","0.16058394160583941"
"2020-11-04","30","133","0.22556390977443608"
"2020-11-05","32","124","0.25806451612903225"
"2020-11-06","22","106","0.20754716981132076"
"2020-11-07","23","103","0.22330097087378642"
"2020-11-08","21","74","0.28378378378378377"
"2020-11-09","25","112","0.22321428571428573"
"2020-11-10","29","129","0.2248062015503876"
"2020-11-11","29","139","0.20863309352517986"
"2020-11-12","17","104","0.16346153846153846"
"2020-11-13","28","106","0.2641509433962264"
"2020-11-14","29","103","0.2815533980582524"
"2020-11-15","21","86","0.2441860465116279"
"2020-11-16","26","129","0.20155038759689922"
"2020-11-17","21","115","0.1826086956521739"
"2020-11-18","12","118","0.1016949152542373"
"2020-11-19","29","105","0.2761904761904762"
"2020-11-20","22","102","0.21568627450980393"
"2020-11-21","27","96","0.28125"
"2020-11-22","19","68","0.27941176470588236"
"2020-11-23","31","106","0.29245283018867924"
"2020-11-24","28","119","0.23529411764705882"
"2020-11-25","21","87","0.2413793103448276"
"2020-11-26","14","95","0.14736842105263157"
"2020-11-27","23","111","0.2072072072072072"
"2020-11-28","26","120","0.21666666666666667"
"2020-11-29","22","110","0.2"
"2020-11-30","22","105","0.20952380952380953"
"2020-12-01","26","120","0.21666666666666667"
"2020-12-02","28","122","0.22950819672131148"
"2020-12-03","35","110","0.3181818181818182"
"2020-12-04","28","98","0.2857142857142857"
"2020-12-05","22","91","0.24175824175824176"
"2020-12-06","28","114","0.24561403508771928"
"2020-12-07","29","110","0.2636363636363636"
"2020-12-08","30","135","0.2222222222222222"
"2020-12-09","34","130","0.26153846153846155"
"2020-12-10","28","116","0.2413793103448276"
"2020-12-11","16","103","0.1553398058252427"
"2020-12-12","14","78","0.1794871794871795"
"2020-12-13","25","93","0.26881720430107525"
"2020-12-14","33","134","0.2462686567164179"
"2020-12-15","46","148","0.3108108108108108"
"2020-12-16","52","149","0.348993288590604"
"2020-12-17","43","130","0.33076923076923076"
"2020-12-18","40","135","0.2962962962962963"
"2020-12-19","51","124","0.4112903225806452"
"2020-12-20","33","118","0.2796610169491525"
"2020-12-21","43","104","0.41346153846153844"
"2020-12-22","43","104","0.41346153846153844"
"2020-12-23","63","135","0.4666666666666667"
"2020-12-24","60","116","0.5172413793103449"
"2020-12-25","44","97","0.4536082474226804"
"2020-12-26","40","87","0.45977011494252873"
"2020-12-27","33","74","0.44594594594594594"
"2020-12-28","39","101","0.38613861386138615"
"2020-12-29","38","109","0.3486238532110092"
"2020-12-30","44","126","0.3492063492063492"
"2020-12-31","44","109","0.4036697247706422"
"2021-01-01","26","64","0.40625"
"2021-01-02","49","110","0.44545454545454544"
"2021-01-03","34","80","0.425"
"2021-01-04","37","99","0.37373737373737376"
"2021-01-05","35","110","0.3181818181818182"
"2021-01-06","31","114","0.2719298245614035"
"2021-01-07","18","94","0.19148936170212766"
"2021-01-08","25","93","0.26881720430107525"
"2021-01-09","38","105","0.3619047619047619"
"2021-01-10","33","100","0.33"
"2021-01-11","38","121","0.3140495867768595"
"2021-01-12","24","104","0.23076923076923078"
"2021-01-13","39","106","0.36792452830188677"
"2021-01-14","24","108","0.2222222222222222"
"2021-01-15","34","146","0.2328767123287671"
"2021-01-16","31","101","0.3069306930693069"
"2021-01-17","17","103","0.1650485436893204"
"2021-01-18","41","119","0.3445378151260504"
"2021-01-19","60","124","0.4838709677419355"
"2021-01-20","36","124","0.2903225806451613"
"2021-01-21","53","126","0.42063492063492064"
"2021-01-22","52","124","0.41935483870967744"
"2021-01-23","46","116","0.39655172413793105"
"2021-01-24","55","97","0.5670103092783505"
"2021-01-25","38","103","0.36893203883495146"
"2021-01-26","48","121","0.39669421487603307"
"2021-01-27","40","103","0.3883495145631068"
"2021-01-28","42","112","0.375"
"2021-01-29","40","115","0.34782608695652173"
"2021-01-30","17","84","0.20238095238095238"
"2021-01-31","7","38","0.18421052631578946"
"2021-02-01","33","123","0.2682926829268293"
"2021-02-02","46","140","0.32857142857142857"
"2021-02-03","35","140","0.25"
"2021-02-04","36","138","0.2608695652173913"
"2021-02-05","44","140","0.3142857142857143"
"2021-02-06","29","98","0.29591836734693877"
"2021-02-07","25","98","0.25510204081632654"
"2021-02-08","49","130","0.3769230769230769"
"2021-02-09","29","144","0.2013888888888889"
"2021-02-10","45","121","0.371900826446281"
