date,count,total_count,ratio
"2020-01-01","2","25","0.08"
"2020-01-02","0","28","0"
"2020-01-03","4","29","0.13793103448275862"
"2020-01-04","1","14","0.07142857142857142"
"2020-01-05","3","27","0.1111111111111111"
"2020-01-06","1","23","0.043478260869565216"
"2020-01-07","2","28","0.07142857142857142"
"2020-01-08","4","51","0.0784313725490196"
"2020-01-09","2","17","0.11764705882352941"
"2020-01-10","2","30","0.06666666666666667"
"2020-01-11","0","14","0"
"2020-01-12","3","26","0.11538461538461539"
"2020-01-13","1","26","0.038461538461538464"
"2020-01-14","5","40","0.125"
"2020-01-15","4","31","0.12903225806451613"
"2020-01-16","2","30","0.06666666666666667"
"2020-01-17","5","31","0.16129032258064516"
"2020-01-18","1","20","0.05"
"2020-01-19","6","39","0.15384615384615385"
"2020-01-20","2","25","0.08"
"2020-01-21","0","26","0"
"2020-01-22","3","39","0.07692307692307693"
"2020-01-23","2","29","0.06896551724137931"
"2020-01-24","1","19","0.05263157894736842"
"2020-01-25","2","22","0.09090909090909091"
"2020-01-26","1","34","0.029411764705882353"
"2020-01-27","0","7","0"
"2020-01-28","2","17","0.11764705882352941"
"2020-01-29","2","29","0.06896551724137931"
"2020-01-30","0","25","0"
"2020-01-31","4","36","0.1111111111111111"
"2020-02-01","2","24","0.08333333333333333"
"2020-02-02","0","16","0"
"2020-02-03","1","35","0.02857142857142857"
"2020-02-04","2","19","0.10526315789473684"
"2020-02-05","2","28","0.07142857142857142"
"2020-02-06","2","31","0.06451612903225806"
"2020-02-07","1","15","0.06666666666666667"
"2020-02-08","3","19","0.15789473684210525"
"2020-02-09","2","22","0.09090909090909091"
"2020-02-10","2","13","0.15384615384615385"
"2020-02-11","2","26","0.07692307692307693"
"2020-02-12","2","26","0.07692307692307693"
"2020-02-13","2","27","0.07407407407407407"
"2020-02-14","4","24","0.16666666666666666"
"2020-02-15","2","34","0.058823529411764705"
"2020-02-16","1","16","0.0625"
"2020-02-17","3","30","0.1"
"2020-02-18","4","29","0.13793103448275862"
"2020-02-19","2","38","0.05263157894736842"
"2020-02-20","2","13","0.15384615384615385"
"2020-02-21","5","27","0.18518518518518517"
"2020-02-22","5","34","0.14705882352941177"
"2020-02-23","1","18","0.05555555555555555"
"2020-02-24","1","9","0.1111111111111111"
"2020-02-25","3","19","0.15789473684210525"
"2020-02-26","1","25","0.04"
"2020-02-27","2","35","0.05714285714285714"
"2020-02-28","6","35","0.17142857142857143"
"2020-02-29","3","29","0.10344827586206896"
"2020-03-01","5","17","0.29411764705882354"
"2020-03-02","2","35","0.05714285714285714"
"2020-03-03","2","27","0.07407407407407407"
"2020-03-04","7","33","0.21212121212121213"
"2020-03-05","0","32","0"
"2020-03-06","2","18","0.1111111111111111"
"2020-03-07","0","22","0"
"2020-03-08","1","17","0.058823529411764705"
"2020-03-09","3","35","0.08571428571428572"
"2020-03-10","4","54","0.07407407407407407"
"2020-03-11","2","31","0.06451612903225806"
"2020-03-12","7","43","0.16279069767441862"
"2020-03-13","21","57","0.3684210526315789"
"2020-03-14","4","25","0.16"
"2020-03-15","12","40","0.3"
"2020-03-16","17","39","0.4358974358974359"
"2020-03-17","10","46","0.21739130434782608"
"2020-03-18","14","51","0.27450980392156865"
"2020-03-19","6","46","0.13043478260869565"
"2020-03-20","1","40","0.025"
"2020-03-21","9","34","0.2647058823529412"
"2020-03-22","13","33","0.3939393939393939"
"2020-03-23","5","43","0.11627906976744186"
"2020-03-24","5","21","0.23809523809523808"
"2020-03-25","3","29","0.10344827586206896"
"2020-03-26","6","34","0.17647058823529413"
"2020-03-27","7","29","0.2413793103448276"
"2020-03-28","11","37","0.2972972972972973"
"2020-03-29","3","27","0.1111111111111111"
"2020-03-30","9","41","0.21951219512195122"
"2020-03-31","12","54","0.2222222222222222"
"2020-04-01","9","28","0.32142857142857145"
"2020-04-02","9","47","0.19148936170212766"
"2020-04-03","11","29","0.3793103448275862"
"2020-04-04","4","25","0.16"
"2020-04-05","3","29","0.10344827586206896"
"2020-04-06","3","29","0.10344827586206896"
"2020-04-07","6","27","0.2222222222222222"
"2020-04-08","10","44","0.22727272727272727"
"2020-04-09","9","39","0.23076923076923078"
"2020-04-10","4","36","0.1111111111111111"
"2020-04-11","11","35","0.3142857142857143"
"2020-04-12","7","38","0.18421052631578946"
"2020-04-13","6","36","0.16666666666666666"
"2020-04-14","8","41","0.1951219512195122"
"2020-04-15","16","58","0.27586206896551724"
"2020-04-16","10","47","0.2127659574468085"
"2020-04-17","9","49","0.1836734693877551"
"2020-04-18","2","23","0.08695652173913043"
"2020-04-19","10","28","0.35714285714285715"
"2020-04-20","7","48","0.14583333333333334"
"2020-04-21","6","32","0.1875"
"2020-04-22","11","31","0.3548387096774194"
"2020-04-23","8","39","0.20512820512820512"
"2020-04-24","6","30","0.2"
"2020-04-25","7","35","0.2"
"2020-04-26","7","28","0.25"
"2020-04-27","2","33","0.06060606060606061"
"2020-04-28","3","32","0.09375"
"2020-04-29","7","40","0.175"
"2020-04-30","7","48","0.14583333333333334"
"2020-05-01","12","42","0.2857142857142857"
"2020-05-02","5","22","0.22727272727272727"
"2020-05-03","10","29","0.3448275862068966"
"2020-05-04","11","47","0.23404255319148937"
"2020-05-05","12","39","0.3076923076923077"
"2020-05-06","17","61","0.2786885245901639"
"2020-05-07","20","57","0.3508771929824561"
"2020-05-08","11","47","0.23404255319148937"
"2020-05-09","8","30","0.26666666666666666"
"2020-05-10","5","40","0.125"
"2020-05-11","5","29","0.1724137931034483"
"2020-05-12","6","40","0.15"
"2020-05-13","16","64","0.25"
"2020-05-14","12","43","0.27906976744186046"
"2020-05-15","20","55","0.36363636363636365"
"2020-05-16","6","22","0.2727272727272727"
"2020-05-17","4","32","0.125"
"2020-05-18","3","27","0.1111111111111111"
"2020-05-19","6","52","0.11538461538461539"
"2020-05-20","7","45","0.15555555555555556"
"2020-05-21","9","39","0.23076923076923078"
"2020-05-22","9","36","0.25"
"2020-05-23","5","35","0.14285714285714285"
"2020-05-24","4","28","0.14285714285714285"
"2020-05-25","3","28","0.10714285714285714"
"2020-05-26","4","32","0.125"
"2020-05-27","4","35","0.11428571428571428"
"2020-05-28","10","39","0.2564102564102564"
"2020-05-29","7","40","0.175"
"2020-05-30","6","21","0.2857142857142857"
"2020-05-31","5","29","0.1724137931034483"
"2020-06-01","10","43","0.23255813953488372"
"2020-06-02","8","44","0.18181818181818182"
"2020-06-03","2","38","0.05263157894736842"
"2020-06-04","10","36","0.2777777777777778"
"2020-06-05","2","29","0.06896551724137931"
"2020-06-06","2","25","0.08"
"2020-06-07","5","36","0.1388888888888889"
"2020-06-08","9","47","0.19148936170212766"
"2020-06-09","8","28","0.2857142857142857"
"2020-06-10","5","31","0.16129032258064516"
"2020-06-11","2","28","0.07142857142857142"
"2020-06-12","4","22","0.18181818181818182"
"2020-06-13","10","36","0.2777777777777778"
"2020-06-14","7","32","0.21875"
"2020-06-15","19","66","0.2878787878787879"
"2020-06-16","2","18","0.1111111111111111"
"2020-06-17","6","46","0.13043478260869565"
"2020-06-18","5","34","0.14705882352941177"
"2020-06-19","2","23","0.08695652173913043"
"2020-06-20","7","36","0.19444444444444445"
"2020-06-21","5","40","0.125"
"2020-06-22","10","51","0.19607843137254902"
"2020-06-23","6","41","0.14634146341463414"
"2020-06-24","4","40","0.1"
"2020-06-25","5","34","0.14705882352941177"
"2020-06-26","4","32","0.125"
"2020-06-27","2","23","0.08695652173913043"
"2020-06-28","6","32","0.1875"
"2020-06-29","10","53","0.18867924528301888"
"2020-06-30","4","44","0.09090909090909091"
"2020-07-01","4","49","0.08163265306122448"
"2020-07-02","4","50","0.08"
"2020-07-03","3","37","0.08108108108108109"
"2020-07-04","3","26","0.11538461538461539"
"2020-07-05","8","49","0.16326530612244897"
"2020-07-06","7","42","0.16666666666666666"
"2020-07-07","5","39","0.1282051282051282"
"2020-07-08","5","59","0.0847457627118644"
"2020-07-09","5","55","0.09090909090909091"
"2020-07-10","16","40","0.4"
"2020-07-11","29","62","0.46774193548387094"
"2020-07-12","21","45","0.4666666666666667"
"2020-07-13","3","42","0.07142857142857142"
"2020-07-14","25","176","0.14204545454545456"
"2020-07-15","11","40","0.275"
"2020-07-16","5","41","0.12195121951219512"
"2020-07-17","2","54","0.037037037037037035"
"2020-07-18","1","19","0.05263157894736842"
"2020-07-19","7","36","0.19444444444444445"
"2020-07-20","4","31","0.12903225806451613"
"2020-07-21","9","48","0.1875"
"2020-07-22","6","49","0.12244897959183673"
"2020-07-23","13","54","0.24074074074074073"
"2020-07-24","10","41","0.24390243902439024"
"2020-07-25","1","3","0.3333333333333333"
"2020-07-26","2","4","0.5"
"2020-07-27","3","5","0.6"
"2020-07-28","7","14","0.5"
"2020-07-29","11","58","0.1896551724137931"
"2020-07-30","12","67","0.1791044776119403"
"2020-07-31","15","71","0.2112676056338028"
"2020-08-01","3","27","0.1111111111111111"
"2020-08-02","14","62","0.22580645161290322"
