date,count,total_count,ratio
"2020-01-01","9","158","0.056962025316455694"
"2020-01-02","17","314","0.054140127388535034"
"2020-01-03","24","363","0.06611570247933884"
"2020-01-04","18","192","0.09375"
"2020-01-05","18","203","0.08866995073891626"
"2020-01-06","15","299","0.05016722408026756"
"2020-01-07","20","343","0.05830903790087463"
"2020-01-08","19","347","0.05475504322766571"
"2020-01-09","21","368","0.057065217391304345"
"2020-01-10","26","371","0.07008086253369272"
"2020-01-11","24","216","0.1111111111111111"
"2020-01-12","10","181","0.055248618784530384"
"2020-01-13","17","337","0.050445103857566766"
"2020-01-14","18","315","0.05714285714285714"
"2020-01-15","16","356","0.0449438202247191"
"2020-01-16","34","359","0.0947075208913649"
"2020-01-17","18","321","0.056074766355140186"
"2020-01-18","18","176","0.10227272727272728"
"2020-01-19","29","218","0.13302752293577982"
"2020-01-20","35","342","0.1023391812865497"
"2020-01-21","46","440","0.10454545454545454"
"2020-01-22","31","351","0.08831908831908832"
"2020-01-23","22","371","0.05929919137466307"
"2020-01-24","28","330","0.08484848484848485"
"2020-01-25","16","198","0.08080808080808081"
"2020-01-26","7","208","0.03365384615384615"
"2020-01-27","23","345","0.06666666666666667"
"2020-01-28","17","287","0.059233449477351915"
"2020-01-29","28","318","0.0880503144654088"
"2020-01-30","27","352","0.07670454545454546"
"2020-01-31","24","351","0.06837606837606838"
"2020-02-01","13","219","0.0593607305936073"
"2020-02-02","13","197","0.06598984771573604"
"2020-02-03","33","371","0.0889487870619946"
"2020-02-04","20","366","0.0546448087431694"
"2020-02-05","23","338","0.06804733727810651"
"2020-02-06","20","366","0.0546448087431694"
"2020-02-07","37","369","0.1002710027100271"
"2020-02-08","17","191","0.08900523560209424"
"2020-02-09","14","194","0.07216494845360824"
"2020-02-10","29","331","0.08761329305135952"
"2020-02-11","30","312","0.09615384615384616"
"2020-02-12","26","354","0.07344632768361582"
"2020-02-13","29","328","0.08841463414634146"
"2020-02-14","44","338","0.1301775147928994"
"2020-02-15","19","184","0.10326086956521739"
"2020-02-16","32","248","0.12903225806451613"
"2020-02-17","32","329","0.0972644376899696"
"2020-02-18","47","386","0.12176165803108809"
"2020-02-19","56","382","0.14659685863874344"
"2020-02-20","35","360","0.09722222222222222"
"2020-02-21","48","412","0.11650485436893204"
"2020-02-22","26","223","0.11659192825112108"
"2020-02-23","28","245","0.11428571428571428"
"2020-02-24","22","311","0.0707395498392283"
"2020-02-25","27","322","0.08385093167701864"
"2020-02-26","43","397","0.10831234256926953"
"2020-02-27","38","431","0.08816705336426914"
"2020-02-28","50","398","0.12562814070351758"
