date,count,total_count,ratio
"2020-01-01","9","464","0.01939655172413793"
"2020-01-02","45","678","0.06637168141592921"
"2020-01-03","45","897","0.05016722408026756"
"2020-01-04","18","659","0.027314112291350532"
"2020-01-05","31","773","0.040103492884864166"
"2020-01-06","33","990","0.03333333333333333"
"2020-01-07","41","1077","0.03806870937790158"
"2020-01-08","33","1144","0.028846153846153848"
"2020-01-09","47","1094","0.04296160877513711"
"2020-01-10","103","1110","0.09279279279279279"
"2020-01-11","42","764","0.0549738219895288"
"2020-01-12","41","622","0.06591639871382636"
"2020-01-13","52","1060","0.04905660377358491"
"2020-01-14","50","1053","0.04748338081671415"
"2020-01-15","42","1130","0.03716814159292035"
"2020-01-16","44","1006","0.0437375745526839"
"2020-01-17","48","937","0.051227321237993596"
"2020-01-18","41","648","0.06327160493827161"
"2020-01-19","147","687","0.21397379912663755"
"2020-01-20","78","1011","0.0771513353115727"
"2020-01-21","53","1183","0.044801352493660185"
"2020-01-22","44","1125","0.03911111111111111"
"2020-01-23","46","1056","0.043560606060606064"
"2020-01-24","36","1143","0.031496062992125984"
"2020-01-25","36","793","0.04539722572509458"
"2020-01-26","38","708","0.05367231638418079"
"2020-01-27","54","1201","0.044962531223980015"
"2020-01-28","54","1192","0.04530201342281879"
"2020-01-29","32","1139","0.028094820017559263"
"2020-01-30","44","1084","0.04059040590405904"
"2020-01-31","44","1123","0.039180765805877114"
"2020-02-01","23","734","0.031335149863760216"
"2020-02-02","39","699","0.055793991416309016"
"2020-02-03","38","1182","0.032148900169204735"
"2020-02-04","34","1216","0.027960526315789474"
"2020-02-05","47","1105","0.04253393665158371"
"2020-02-06","51","1128","0.04521276595744681"
"2020-02-07","60","1216","0.049342105263157895"
"2020-02-08","27","721","0.03744798890429958"
"2020-02-09","28","683","0.040995607613469986"
"2020-02-10","92","1286","0.07153965785381027"
"2020-02-11","51","1172","0.043515358361774746"
"2020-02-12","111","1332","0.08333333333333333"
"2020-02-13","94","1203","0.07813798836242726"
"2020-02-14","90","1128","0.0797872340425532"
"2020-02-15","51","719","0.07093184979137691"
"2020-02-16","76","768","0.09895833333333333"
"2020-02-17","103","1223","0.08421913327882256"
"2020-02-18","123","1323","0.09297052154195011"
"2020-02-19","334","1296","0.25771604938271603"
"2020-02-20","150","1340","0.11194029850746269"
"2020-02-21","107","1194","0.08961474036850921"
"2020-02-22","92","809","0.11372064276885044"
"2020-02-23","59","847","0.06965761511216056"
"2020-02-24","79","934","0.08458244111349036"
"2020-02-25","95","907","0.10474090407938258"
"2020-02-26","173","1309","0.13216195569136746"
"2020-02-27","156","1264","0.12341772151898735"
"2020-02-28","227","1236","0.1836569579288026"
"2020-02-29","143","804","0.17786069651741293"
"2020-03-01","115","859","0.13387660069848661"
"2020-03-02","137","1229","0.1114727420667209"
"2020-03-03","183","1408","0.1299715909090909"
"2020-03-04","181","1310","0.13816793893129772"
"2020-03-05","177","1276","0.13871473354231975"
"2020-03-06","204","1296","0.1574074074074074"
"2020-03-07","165","880","0.1875"
"2020-03-08","103","816","0.12622549019607843"
"2020-03-09","249","1416","0.17584745762711865"
"2020-03-10","265","1485","0.17845117845117844"
"2020-03-11","337","1471","0.2290958531611149"
"2020-03-12","469","1486","0.31561238223418575"
"2020-03-13","510","1323","0.3854875283446712"
"2020-03-14","445","989","0.4499494438827098"
"2020-03-15","409","949","0.4309799789251844"
"2020-03-16","669","1421","0.4707952146375792"
"2020-03-17","768","1440","0.5333333333333333"
"2020-03-18","713","1396","0.5107449856733525"
"2020-03-19","805","1297","0.6206630686198921"
"2020-03-20","698","1334","0.5232383808095952"
"2020-03-21","518","893","0.58006718924972"
"2020-03-22","446","821","0.5432399512789281"
"2020-03-23","697","1302","0.5353302611367128"
"2020-03-24","733","1347","0.5441722345953972"
"2020-03-25","677","1272","0.5322327044025157"
"2020-03-26","599","1245","0.4811244979919679"
"2020-03-27","598","1134","0.527336860670194"
"2020-03-28","438","880","0.49772727272727274"
"2020-03-29","433","845","0.5124260355029586"
"2020-03-30","684","1326","0.5158371040723982"
"2020-03-31","612","1338","0.45739910313901344"
"2020-04-01","681","1344","0.5066964285714286"
"2020-04-02","692","1380","0.5014492753623189"
"2020-04-03","572","1138","0.5026362038664324"
"2020-04-04","501","931","0.5381310418904404"
"2020-04-05","464","801","0.5792759051186017"
"2020-04-06","749","1417","0.5285815102328864"
"2020-04-07","688","1429","0.4814555633310007"
"2020-04-08","679","1286","0.5279937791601866"
"2020-04-09","537","1091","0.4922089825847846"
"2020-04-10","520","994","0.5231388329979879"
"2020-04-11","485","909","0.5335533553355336"
"2020-04-12","457","882","0.518140589569161"
"2020-04-13","692","1453","0.47625602202339984"
"2020-04-14","586","1159","0.5056082830025884"
"2020-04-15","810","1594","0.5081555834378921"
"2020-04-16","729","1576","0.46256345177664976"
"2020-04-17","711","1432","0.4965083798882682"
"2020-04-18","524","1003","0.522432701894317"
"2020-04-19","572","908","0.6299559471365639"
"2020-04-20","715","1397","0.5118110236220472"
"2020-04-21","654","1454","0.4497936726272352"
"2020-04-22","663","1465","0.45255972696245733"
"2020-04-23","679","1508","0.45026525198938994"
"2020-04-24","661","1484","0.4454177897574124"
"2020-04-25","456","1005","0.4537313432835821"
"2020-04-26","392","910","0.4307692307692308"
"2020-04-27","584","1472","0.3967391304347826"
"2020-04-28","645","1622","0.39765721331689274"
"2020-04-29","636","1565","0.40638977635782747"
"2020-04-30","611","1556","0.39267352185089976"
"2020-05-01","494","1330","0.37142857142857144"
"2020-05-02","378","974","0.38809034907597534"
"2020-05-03","326","936","0.3482905982905983"
"2020-05-04","545","1508","0.3614058355437666"
"2020-05-05","582","1532","0.37989556135770236"
"2020-05-06","634","1630","0.3889570552147239"
"2020-05-07","549","1567","0.3503509891512444"
"2020-05-08","490","1429","0.34289713086074175"
"2020-05-09","427","1120","0.38125"
"2020-05-10","364","921","0.3952225841476656"
"2020-05-11","611","1524","0.40091863517060367"
"2020-05-12","597","1539","0.38791423001949316"
"2020-05-13","610","1559","0.39127645926876203"
"2020-05-14","555","1469","0.3778080326752893"
"2020-05-15","525","1396","0.37607449856733527"
"2020-05-16","378","965","0.3917098445595855"
"2020-05-17","370","909","0.40704070407040704"
"2020-05-18","546","1473","0.37067209775967414"
"2020-05-19","716","1434","0.499302649930265"
"2020-05-20","637","1607","0.39639079029247043"
"2020-05-21","585","1466","0.3990450204638472"
"2020-05-22","530","1489","0.3559435862995299"
"2020-05-23","362","997","0.3630892678034102"
"2020-05-24","344","862","0.3990719257540603"
"2020-05-25","580","1517","0.3823335530652604"
"2020-05-26","591","1514","0.3903566710700132"
"2020-05-27","508","1498","0.3391188251001335"
"2020-05-28","546","1463","0.37320574162679426"
"2020-05-29","553","1488","0.37163978494623656"
"2020-05-30","381","1034","0.36847195357833656"
"2020-05-31","358","966","0.37060041407867494"
"2020-06-01","424","1408","0.30113636363636365"
"2020-06-02","486","1583","0.30701200252684774"
"2020-06-03","524","1584","0.33080808080808083"
"2020-06-04","549","1583","0.346809854706254"
"2020-06-05","490","1517","0.3230059327620303"
"2020-06-06","364","1001","0.36363636363636365"
"2020-06-07","308","936","0.32905982905982906"
"2020-06-08","551","1616","0.3409653465346535"
"2020-06-09","500","1643","0.30432136335970783"
"2020-06-10","543","1678","0.32359952324195473"
"2020-06-11","477","1564","0.30498721227621484"
"2020-06-12","497","1509","0.32935719019218024"
"2020-06-13","374","1088","0.34375"
"2020-06-14","356","1017","0.3500491642084562"
"2020-06-15","504","1661","0.3034316676700783"
"2020-06-16","505","1608","0.31405472636815923"
"2020-06-17","487","1500","0.32466666666666666"
"2020-06-18","447","1494","0.2991967871485944"
"2020-06-19","692","1401","0.4939329050678087"
"2020-06-20","422","997","0.42326980942828485"
"2020-06-21","318","888","0.3581081081081081"
"2020-06-22","545","1519","0.358788676761027"
"2020-06-23","551","1572","0.3505089058524173"
"2020-06-24","509","1331","0.38241923365890307"
"2020-06-25","556","1593","0.3490269930947897"
"2020-06-26","535","1533","0.34898891063274623"
"2020-06-27","356","1043","0.34132310642377756"
"2020-06-28","402","1031","0.38991270611057227"
"2020-06-29","589","1655","0.3558912386706949"
"2020-06-30","530","1665","0.3183183183183183"
"2020-07-01","581","1576","0.3686548223350254"
"2020-07-02","525","1590","0.330188679245283"
"2020-07-03","523","1452","0.36019283746556474"
"2020-07-04","389","985","0.3949238578680203"
"2020-07-05","321","925","0.34702702702702704"
"2020-07-06","550","1568","0.350765306122449"
"2020-07-07","664","1735","0.38270893371757925"
"2020-07-08","705","1910","0.36910994764397903"
"2020-07-09","800","1887","0.4239533651298357"
"2020-07-10","728","1773","0.41060349689791314"
"2020-07-11","543","1239","0.43825665859564167"
"2020-07-12","475","1192","0.39848993288590606"
"2020-07-13","720","1949","0.3694202154951257"
"2020-07-14","680","1930","0.35233160621761656"
"2020-07-15","757","1950","0.3882051282051282"
"2020-07-16","689","1910","0.3607329842931937"
"2020-07-17","651","1807","0.3602656336469286"
"2020-07-18","467","1243","0.37570394207562346"
"2020-07-19","595","1134","0.5246913580246914"
"2020-07-20","775","1872","0.41399572649572647"
"2020-07-21","742","1925","0.38545454545454544"
"2020-07-22","671","1861","0.36055883933369154"
"2020-07-23","683","1757","0.3887307911212294"
"2020-07-24","251","797","0.31493099121706397"
"2020-07-25","4","11","0.36363636363636365"
"2020-07-26","11","20","0.55"
"2020-07-27","13","46","0.2826086956521739"
"2020-07-28","75","179","0.41899441340782123"
"2020-07-29","607","1587","0.38248267170762446"
"2020-07-30","639","1667","0.3833233353329334"
"2020-07-31","688","1709","0.40257460503218256"
"2020-08-01","483","1257","0.38424821002386633"
"2020-08-02","442","1199","0.3686405337781485"
"2020-08-03","724","1940","0.3731958762886598"
"2020-08-04","423","1342","0.3152011922503726"
"2020-08-05","28","79","0.35443037974683544"
"2020-08-06","40","101","0.39603960396039606"
"2020-08-07","147","454","0.3237885462555066"
"2020-08-08","390","1236","0.3155339805825243"
"2020-08-09","449","1177","0.38147833474936277"
"2020-08-10","646","1986","0.3252769385699899"
"2020-08-11","673","1924","0.3497920997920998"
"2020-08-12","755","2002","0.3771228771228771"
"2020-08-13","752","1944","0.3868312757201646"
"2020-08-14","647","1929","0.33540694660445824"
"2020-08-15","447","1222","0.3657937806873977"
"2020-08-16","440","1250","0.352"
"2020-08-17","711","1918","0.37069864442127215"
"2020-08-18","657","1943","0.33813690169840455"
"2020-08-19","895","2100","0.4261904761904762"
"2020-08-20","680","1869","0.3638309256286784"
"2020-08-21","634","1882","0.3368756641870351"
"2020-08-22","435","1289","0.33747090768037236"
"2020-08-23","390","1262","0.3090332805071315"
"2020-08-24","677","2059","0.3288003885381253"
"2020-08-25","668","2025","0.3298765432098765"
"2020-08-26","610","1907","0.3198741478762454"
"2020-08-27","588","1945","0.30231362467866324"
"2020-08-28","537","1852","0.28995680345572356"
"2020-08-29","430","1384","0.3106936416184971"
"2020-08-30","382","1249","0.3058446757405925"
"2020-08-31","559","1969","0.28390045708481465"
"2020-09-01","488","1867","0.2613818960899839"
"2020-09-02","528","2072","0.2548262548262548"
"2020-09-03","494","1965","0.2513994910941476"
"2020-09-04","505","1889","0.2673372154579142"
"2020-09-05","402","1326","0.3031674208144796"
"2020-09-06","384","1197","0.3208020050125313"
"2020-09-07","648","2073","0.3125904486251809"
"2020-09-08","629","2199","0.28603910868576626"
"2020-09-09","743","2444","0.3040098199672668"
"2020-09-10","697","2425","0.2874226804123711"
"2020-09-11","647","2255","0.2869179600886918"
"2020-09-12","480","1715","0.27988338192419826"
"2020-09-13","452","1482","0.3049932523616734"
"2020-09-14","646","2421","0.26683188764973154"
"2020-09-15","642","2379","0.2698612862547289"
"2020-09-16","756","2702","0.27979274611398963"
"2020-09-17","734","2579","0.2846064366033346"
"2020-09-18","625","2345","0.26652452025586354"
"2020-09-19","612","1553","0.3940759819703799"
"2020-09-20","447","1464","0.305327868852459"
"2020-09-21","714","2469","0.2891859052247874"
"2020-09-22","673","2393","0.28123694107814456"
"2020-09-23","625","2497","0.250300360432519"
"2020-09-24","655","2377","0.2755574253260412"
"2020-09-25","666","2361","0.2820838627700127"
"2020-09-26","429","1527","0.28094302554027506"
"2020-09-27","435","1488","0.2923387096774194"
"2020-09-28","626","2333","0.2683240462923275"
"2020-09-29","700","2427","0.288421920065925"
"2020-09-30","598","2535","0.2358974358974359"
"2020-10-01","572","2447","0.23375561912545975"
"2020-10-02","718","2025","0.3545679012345679"
"2020-10-03","519","1579","0.3286890436985434"
"2020-10-04","403","1379","0.2922407541696882"
"2020-10-05","753","2268","0.33201058201058203"
"2020-10-06","682","2309","0.2953659592897358"
"2020-10-07","677","2413","0.28056361375880645"
"2020-10-08","666","2408","0.276578073089701"
"2020-10-09","671","2253","0.29782512205947625"
"2020-10-10","430","1509","0.2849569251159708"
"2020-10-11","428","1475","0.2901694915254237"
"2020-10-12","623","2141","0.29098552078468004"
"2020-10-13","774","2395","0.32317327766179543"
"2020-10-14","744","2356","0.3157894736842105"
"2020-10-15","769","2492","0.30858747993579455"
"2020-10-16","721","2337","0.30851519041506204"
"2020-10-17","449","1670","0.2688622754491018"
"2020-10-18","475","1506","0.3154050464807437"
"2020-10-19","983","2323","0.42315970727507535"
"2020-10-20","857","2565","0.3341130604288499"
"2020-10-21","712","2412","0.29519071310116085"
"2020-10-22","610","2421","0.25196199917389506"
"2020-10-23","685","2388","0.2868509212730318"
"2020-10-24","402","1667","0.2411517696460708"
"2020-10-25","470","1701","0.27630805408583187"
"2020-10-26","633","2388","0.2650753768844221"
"2020-10-27","658","2546","0.2584446190102121"
"2020-10-28","642","2546","0.25216025137470544"
"2020-10-29","625","2637","0.23701175578308684"
"2020-10-30","598","2363","0.2530681337283115"
"2020-10-31","418","1701","0.24573780129335684"
"2020-11-01","408","1561","0.26137091607943624"
"2020-11-02","831","2632","0.31572948328267475"
"2020-11-03","637","2637","0.2415623814941221"
"2020-11-04","522","2469","0.21142162818955043"
"2020-11-05","615","2584","0.2380030959752322"
"2020-11-06","527","2504","0.2104632587859425"
"2020-11-07","396","1717","0.23063482818870124"
"2020-11-08","391","1644","0.23783454987834549"
"2020-11-09","700","2439","0.2870028700287003"
"2020-11-10","605","2425","0.24948453608247423"
"2020-11-11","729","2679","0.2721164613661814"
"2020-11-12","645","2594","0.24865073245952196"
"2020-11-13","652","2531","0.25760568945080997"
"2020-11-14","430","1616","0.2660891089108911"
"2020-11-15","406","1514","0.26816380449141347"
"2020-11-16","644","2481","0.25957275292220877"
"2020-11-17","667","2689","0.24804760133878764"
"2020-11-18","671","2368","0.2833614864864865"
"2020-11-19","916","2523","0.363059849385652"
"2020-11-20","725","2462","0.2944760357432981"
"2020-11-21","448","1687","0.26556016597510373"
"2020-11-22","458","1624","0.28201970443349755"
"2020-11-23","703","2439","0.28823288232882327"
