date,count,total_count,ratio
"2020-01-01","0","3","0"
"2020-01-02","0","6","0"
"2020-01-03","0","10","0"
"2020-01-04","0","7","0"
"2020-01-05","0","8","0"
"2020-01-06","0","12","0"
"2020-01-07","0","12","0"
"2020-01-08","0","9","0"
"2020-01-09","0","8","0"
"2020-01-10","0","8","0"
"2020-01-11","0","12","0"
"2020-01-12","0","6","0"
"2020-01-13","0","16","0"
"2020-01-14","0","9","0"
"2020-01-15","0","13","0"
"2020-01-16","0","10","0"
"2020-01-17","0","7","0"
"2020-01-18","0","6","0"
"2020-01-19","0","7","0"
"2020-01-20","0","12","0"
"2020-01-21","1","15","0.06666666666666667"
"2020-01-22","0","13","0"
"2020-01-23","0","10","0"
"2020-01-24","0","9","0"
"2020-01-25","0","11","0"
"2020-01-26","0","3","0"
"2020-01-27","0","8","0"
"2020-01-28","0","15","0"
"2020-01-29","0","16","0"
"2020-01-30","0","10","0"
"2020-01-31","0","10","0"
"2020-02-01","0","11","0"
"2020-02-02","0","7","0"
"2020-02-03","0","11","0"
"2020-02-04","0","14","0"
"2020-02-05","0","9","0"
"2020-02-06","0","6","0"
"2020-02-07","0","9","0"
"2020-02-08","0","11","0"
"2020-02-09","0","4","0"
"2020-02-10","0","8","0"
"2020-02-11","0","10","0"
"2020-02-12","1","9","0.1111111111111111"
"2020-02-13","0","9","0"
"2020-02-14","0","13","0"
"2020-02-15","1","15","0.06666666666666667"
"2020-02-16","0","4","0"
"2020-02-17","0","7","0"
"2020-02-18","0","16","0"
"2020-02-19","0","10","0"
"2020-02-20","0","9","0"
"2020-02-21","0","4","0"
"2020-02-22","1","5","0.2"
"2020-02-23","0","7","0"
"2020-02-24","3","7","0.42857142857142855"
"2020-02-25","1","4","0.25"
"2020-02-26","0","5","0"
"2020-02-27","0","7","0"
"2020-02-28","1","9","0.1111111111111111"
"2020-02-29","1","11","0.09090909090909091"
"2020-03-01","3","5","0.6"
"2020-03-02","1","9","0.1111111111111111"
"2020-03-03","3","8","0.375"
"2020-03-04","3","16","0.1875"
"2020-03-05","1","5","0.2"
"2020-03-06","1","7","0.14285714285714285"
"2020-03-07","1","12","0.08333333333333333"
"2020-03-08","1","6","0.16666666666666666"
"2020-03-09","3","9","0.3333333333333333"
"2020-03-10","7","15","0.4666666666666667"
"2020-03-11","5","19","0.2631578947368421"
"2020-03-12","5","19","0.2631578947368421"
"2020-03-13","5","8","0.625"
"2020-03-14","5","12","0.4166666666666667"
"2020-03-15","1","2","0.5"
"2020-03-16","2","8","0.25"
"2020-03-17","10","16","0.625"
"2020-03-18","5","11","0.45454545454545453"
"2020-03-19","11","15","0.7333333333333333"
"2020-03-20","5","8","0.625"
"2020-03-21","2","6","0.3333333333333333"
"2020-03-22","3","4","0.75"
"2020-03-23","5","7","0.7142857142857143"
"2020-03-24","10","16","0.625"
"2020-03-25","7","16","0.4375"
"2020-03-26","12","17","0.7058823529411765"
"2020-03-27","8","11","0.7272727272727273"
"2020-03-28","4","8","0.5"
"2020-03-29","3","5","0.6"
"2020-03-30","6","11","0.5454545454545454"
"2020-03-31","4","5","0.8"
"2020-04-01","5","8","0.625"
"2020-04-02","12","15","0.8"
"2020-04-03","4","12","0.3333333333333333"
"2020-04-04","6","7","0.8571428571428571"
"2020-04-05","2","7","0.2857142857142857"
"2020-04-06","5","10","0.5"
"2020-04-07","10","15","0.6666666666666666"
"2020-04-08","7","13","0.5384615384615384"
"2020-04-09","4","7","0.5714285714285714"
"2020-04-10","9","15","0.6"
"2020-04-11","4","5","0.8"
"2020-04-12","6","8","0.75"
"2020-04-13","3","4","0.75"
"2020-04-14","5","9","0.5555555555555556"
"2020-04-15","10","16","0.625"
"2020-04-16","5","6","0.8333333333333334"
"2020-04-17","5","10","0.5"
"2020-04-18","2","4","0.5"
"2020-04-19","6","14","0.42857142857142855"
"2020-04-20","10","17","0.5882352941176471"
"2020-04-21","8","12","0.6666666666666666"
"2020-04-22","5","11","0.45454545454545453"
"2020-04-23","4","8","0.5"
"2020-04-24","13","22","0.5909090909090909"
"2020-04-25","3","13","0.23076923076923078"
"2020-04-26","2","4","0.5"
"2020-04-27","6","11","0.5454545454545454"
"2020-04-28","8","13","0.6153846153846154"
"2020-04-29","6","15","0.4"
"2020-04-30","8","16","0.5"
"2020-05-01","11","14","0.7857142857142857"
"2020-05-02","1","4","0.25"
"2020-05-03","4","6","0.6666666666666666"
"2020-05-04","4","10","0.4"
"2020-05-05","4","6","0.6666666666666666"
"2020-05-06","4","10","0.4"
"2020-05-07","7","13","0.5384615384615384"
"2020-05-08","7","14","0.5"
"2020-05-09","0","7","0"
"2020-05-10","2","6","0.3333333333333333"
"2020-05-11","5","10","0.5"
"2020-05-12","5","13","0.38461538461538464"
"2020-05-13","4","11","0.36363636363636365"
"2020-05-14","4","13","0.3076923076923077"
"2020-05-15","5","10","0.5"
"2020-05-16","7","13","0.5384615384615384"
"2020-05-17","2","7","0.2857142857142857"
"2020-05-18","7","15","0.4666666666666667"
"2020-05-19","8","16","0.5"
"2020-05-20","8","20","0.4"
"2020-05-21","4","8","0.5"
"2020-05-22","6","17","0.35294117647058826"
"2020-05-23","3","10","0.3"
"2020-05-24","3","6","0.5"
"2020-05-25","8","17","0.47058823529411764"
"2020-05-26","5","21","0.23809523809523808"
"2020-05-27","10","15","0.6666666666666666"
"2020-05-28","7","14","0.5"
"2020-05-29","6","12","0.5"
"2020-05-30","4","9","0.4444444444444444"
"2020-05-31","1","7","0.14285714285714285"
"2020-06-01","3","9","0.3333333333333333"
"2020-06-02","2","8","0.25"
"2020-06-03","7","15","0.4666666666666667"
