date,count,total_count,ratio
"2020-01-01","0","12","0"
"2020-01-02","0","51","0"
"2020-01-03","0","60","0"
"2020-01-04","0","39","0"
"2020-01-05","0","34","0"
"2020-01-06","0","38","0"
"2020-01-07","1","74","0.013513513513513514"
"2020-01-08","0","65","0"
"2020-01-09","0","66","0"
"2020-01-10","0","20","0"
"2020-01-11","0","23","0"
"2020-01-12","0","42","0"
"2020-01-13","0","61","0"
"2020-01-14","0","59","0"
"2020-01-15","0","42","0"
"2020-01-16","0","61","0"
"2020-01-17","0","52","0"
"2020-01-18","0","16","0"
"2020-01-19","0","56","0"
"2020-01-20","0","56","0"
"2020-01-21","0","66","0"
"2020-01-22","0","61","0"
"2020-01-23","1","81","0.012345679012345678"
"2020-01-24","0","70","0"
"2020-01-25","0","19","0"
"2020-01-26","0","23","0"
"2020-01-27","1","60","0.016666666666666666"
"2020-01-28","0","54","0"
"2020-01-29","0","68","0"
"2020-01-30","0","82","0"
"2020-01-31","0","76","0"
"2020-02-01","0","18","0"
"2020-02-02","0","28","0"
"2020-02-03","0","49","0"
"2020-02-04","1","52","0.019230769230769232"
"2020-02-05","0","64","0"
"2020-02-06","0","58","0"
"2020-02-07","0","64","0"
"2020-02-08","0","28","0"
"2020-02-09","0","31","0"
"2020-02-10","0","62","0"
"2020-02-11","0","55","0"
"2020-02-12","1","49","0.02040816326530612"
"2020-02-13","0","78","0"
"2020-02-14","0","67","0"
"2020-02-15","0","38","0"
"2020-02-16","0","30","0"
"2020-02-17","0","71","0"
"2020-02-18","3","65","0.046153846153846156"
"2020-02-19","0","50","0"
"2020-02-20","2","61","0.03278688524590164"
"2020-02-21","1","65","0.015384615384615385"
"2020-02-22","2","42","0.047619047619047616"
"2020-02-23","0","11","0"
"2020-02-24","0","65","0"
"2020-02-25","1","90","0.011111111111111112"
"2020-02-26","6","55","0.10909090909090909"
"2020-02-27","2","57","0.03508771929824561"
"2020-02-28","3","47","0.06382978723404255"
"2020-02-29","3","33","0.09090909090909091"
"2020-03-01","3","28","0.10714285714285714"
"2020-03-02","5","57","0.08771929824561403"
"2020-03-03","4","45","0.08888888888888889"
"2020-03-04","5","56","0.08928571428571429"
"2020-03-05","7","59","0.11864406779661017"
"2020-03-06","7","70","0.1"
"2020-03-07","1","21","0.047619047619047616"
"2020-03-08","6","34","0.17647058823529413"
"2020-03-09","11","62","0.1774193548387097"
"2020-03-10","9","61","0.14754098360655737"
"2020-03-11","19","82","0.23170731707317074"
"2020-03-12","18","71","0.2535211267605634"
"2020-03-13","23","51","0.45098039215686275"
"2020-03-14","20","45","0.4444444444444444"
"2020-03-15","27","41","0.6585365853658537"
"2020-03-16","35","76","0.4605263157894737"
"2020-03-17","26","52","0.5"
"2020-03-18","51","86","0.5930232558139535"
"2020-03-19","57","93","0.6129032258064516"
"2020-03-20","55","77","0.7142857142857143"
"2020-03-21","19","40","0.475"
"2020-03-22","6","13","0.46153846153846156"
"2020-03-23","35","62","0.5645161290322581"
"2020-03-24","45","73","0.6164383561643836"
"2020-03-25","61","91","0.6703296703296703"
"2020-03-26","27","41","0.6585365853658537"
"2020-03-27","42","57","0.7368421052631579"
"2020-03-28","48","69","0.6956521739130435"
"2020-03-29","7","10","0.7"
"2020-03-30","54","75","0.72"
"2020-03-31","55","76","0.7236842105263158"
"2020-04-01","29","39","0.7435897435897436"
"2020-04-02","25","48","0.5208333333333334"
"2020-04-03","32","57","0.5614035087719298"
"2020-04-04","14","23","0.6086956521739131"
"2020-04-05","19","34","0.5588235294117647"
"2020-04-06","85","119","0.7142857142857143"
"2020-04-07","37","63","0.5873015873015873"
"2020-04-08","37","52","0.7115384615384616"
"2020-04-09","60","81","0.7407407407407407"
"2020-04-10","36","57","0.631578947368421"
"2020-04-11","15","29","0.5172413793103449"
"2020-04-12","4","13","0.3076923076923077"
"2020-04-13","21","38","0.5526315789473685"
"2020-04-14","58","74","0.7837837837837838"
"2020-04-15","41","67","0.6119402985074627"
"2020-04-16","80","131","0.6106870229007634"
"2020-04-17","34","47","0.723404255319149"
"2020-04-18","48","82","0.5853658536585366"
"2020-04-19","16","32","0.5"
"2020-04-20","45","64","0.703125"
"2020-04-21","52","77","0.6753246753246753"
"2020-04-22","36","64","0.5625"
"2020-04-23","66","90","0.7333333333333333"
"2020-04-24","28","48","0.5833333333333334"
"2020-04-25","18","42","0.42857142857142855"
"2020-04-26","23","42","0.5476190476190477"
"2020-04-27","57","88","0.6477272727272727"
"2020-04-28","19","42","0.4523809523809524"
"2020-04-29","68","124","0.5483870967741935"
"2020-04-30","37","71","0.5211267605633803"
"2020-05-01","30","55","0.5454545454545454"
"2020-05-02","22","47","0.46808510638297873"
"2020-05-03","21","34","0.6176470588235294"
"2020-05-04","38","50","0.76"
"2020-05-05","66","117","0.5641025641025641"
"2020-05-06","33","53","0.6226415094339622"
"2020-05-07","35","58","0.603448275862069"
"2020-05-08","53","96","0.5520833333333334"
"2020-05-09","13","21","0.6190476190476191"
"2020-05-10","15","23","0.6521739130434783"
"2020-05-11","60","82","0.7317073170731707"
"2020-05-12","39","67","0.582089552238806"
"2020-05-13","59","99","0.5959595959595959"
"2020-05-14","15","34","0.4411764705882353"
"2020-05-15","37","59","0.6271186440677966"
"2020-05-16","28","43","0.6511627906976745"
"2020-05-17","7","17","0.4117647058823529"
"2020-05-18","51","75","0.68"
"2020-05-19","85","116","0.7327586206896551"
"2020-05-20","52","75","0.6933333333333334"
"2020-05-21","39","77","0.5064935064935064"
"2020-05-22","32","45","0.7111111111111111"
"2020-05-23","48","79","0.6075949367088608"
"2020-05-24","21","39","0.5384615384615384"
"2020-05-25","44","69","0.6376811594202898"
"2020-05-26","41","69","0.5942028985507246"
"2020-05-27","55","97","0.5670103092783505"
"2020-05-28","47","73","0.6438356164383562"
"2020-05-29","41","74","0.5540540540540541"
"2020-05-30","5","8","0.625"
"2020-05-31","21","35","0.6"
"2020-06-01","18","27","0.6666666666666666"
