date,count,total_count,ratio
"2020-01-01","0","27","0"
"2020-01-02","0","28","0"
"2020-01-03","0","34","0"
"2020-01-04","0","27","0"
"2020-01-05","0","25","0"
"2020-01-06","0","33","0"
"2020-01-07","0","30","0"
"2020-01-08","0","22","0"
"2020-01-09","0","42","0"
"2020-01-10","0","29","0"
"2020-01-11","0","27","0"
"2020-01-12","0","30","0"
"2020-01-13","0","42","0"
"2020-01-14","0","43","0"
"2020-01-15","0","25","0"
"2020-01-16","0","59","0"
"2020-01-17","0","34","0"
"2020-01-18","0","35","0"
"2020-01-19","0","35","0"
"2020-01-20","0","42","0"
"2020-01-21","0","33","0"
"2020-01-22","0","47","0"
"2020-01-23","0","35","0"
"2020-01-24","0","43","0"
"2020-01-25","0","29","0"
"2020-01-26","0","27","0"
"2020-01-27","0","39","0"
"2020-01-28","0","42","0"
"2020-01-29","0","52","0"
"2020-01-30","0","30","0"
"2020-01-31","0","39","0"
"2020-02-01","0","28","0"
"2020-02-02","0","22","0"
"2020-02-03","0","43","0"
"2020-02-04","0","46","0"
"2020-02-05","0","46","0"
"2020-02-06","0","27","0"
"2020-02-07","0","41","0"
"2020-02-08","0","36","0"
"2020-02-09","0","22","0"
"2020-02-10","0","27","0"
"2020-02-11","0","25","0"
"2020-02-12","3","56","0.05357142857142857"
"2020-02-13","4","43","0.09302325581395349"
"2020-02-14","0","32","0"
"2020-02-15","3","31","0.0967741935483871"
"2020-02-16","0","24","0"
"2020-02-17","2","44","0.045454545454545456"
"2020-02-18","1","37","0.02702702702702703"
"2020-02-19","1","49","0.02040816326530612"
"2020-02-20","1","34","0.029411764705882353"
"2020-02-21","0","57","0"
"2020-02-22","0","38","0"
"2020-02-23","1","31","0.03225806451612903"
"2020-02-24","2","40","0.05"
"2020-02-25","1","32","0.03125"
"2020-02-26","2","51","0.0392156862745098"
"2020-02-27","4","46","0.08695652173913043"
"2020-02-28","3","33","0.09090909090909091"
"2020-02-29","5","18","0.2777777777777778"
"2020-03-01","11","39","0.28205128205128205"
"2020-03-02","7","40","0.175"
"2020-03-03","2","30","0.06666666666666667"
"2020-03-04","5","42","0.11904761904761904"
"2020-03-05","5","53","0.09433962264150944"
"2020-03-06","3","43","0.06976744186046512"
"2020-03-07","5","43","0.11627906976744186"
"2020-03-08","5","28","0.17857142857142858"
"2020-03-09","3","32","0.09375"
"2020-03-10","9","56","0.16071428571428573"
"2020-03-11","24","50","0.48"
"2020-03-12","19","51","0.37254901960784315"
"2020-03-13","35","56","0.625"
"2020-03-14","16","40","0.4"
"2020-03-15","21","46","0.45652173913043476"
"2020-03-16","16","42","0.38095238095238093"
"2020-03-17","43","62","0.6935483870967742"
"2020-03-18","28","44","0.6363636363636364"
"2020-03-19","26","47","0.5531914893617021"
"2020-03-20","32","53","0.6037735849056604"
"2020-03-21","23","33","0.696969696969697"
"2020-03-22","15","26","0.5769230769230769"
"2020-03-23","26","43","0.6046511627906976"
"2020-03-24","26","46","0.5652173913043478"
"2020-03-25","26","37","0.7027027027027027"
"2020-03-26","31","52","0.5961538461538461"
"2020-03-27","11","20","0.55"
"2020-03-28","8","15","0.5333333333333333"
"2020-03-29","7","10","0.7"
"2020-03-30","22","32","0.6875"
"2020-03-31","22","37","0.5945945945945946"
"2020-04-01","12","27","0.4444444444444444"
"2020-04-02","15","34","0.4411764705882353"
"2020-04-03","8","15","0.5333333333333333"
"2020-04-04","23","40","0.575"
"2020-04-05","24","43","0.5581395348837209"
"2020-04-06","25","46","0.5434782608695652"
"2020-04-07","34","49","0.6938775510204082"
"2020-04-08","33","57","0.5789473684210527"
"2020-04-09","35","54","0.6481481481481481"
"2020-04-10","42","64","0.65625"
"2020-04-11","17","25","0.68"
"2020-04-12","33","43","0.7674418604651163"
"2020-04-13","22","29","0.7586206896551724"
"2020-04-14","35","52","0.6730769230769231"
"2020-04-15","41","59","0.6949152542372882"
"2020-04-16","29","40","0.725"
"2020-04-17","26","43","0.6046511627906976"
"2020-04-18","35","59","0.5932203389830508"
"2020-04-19","23","35","0.6571428571428571"
"2020-04-20","22","42","0.5238095238095238"
"2020-04-21","39","56","0.6964285714285714"
"2020-04-22","39","66","0.5909090909090909"
"2020-04-23","40","73","0.547945205479452"
"2020-04-24","51","67","0.7611940298507462"
"2020-04-25","51","64","0.796875"
"2020-04-26","22","29","0.7586206896551724"
"2020-04-27","29","46","0.6304347826086957"
"2020-04-28","34","55","0.6181818181818182"
"2020-04-29","20","35","0.5714285714285714"
"2020-04-30","39","64","0.609375"
"2020-05-01","33","45","0.7333333333333333"
"2020-05-02","21","44","0.4772727272727273"
"2020-05-03","15","26","0.5769230769230769"
"2020-05-04","16","35","0.45714285714285713"
"2020-05-05","38","66","0.5757575757575758"
"2020-05-06","35","56","0.625"
"2020-05-07","28","56","0.5"
"2020-05-08","24","37","0.6486486486486487"
"2020-05-09","31","62","0.5"
"2020-05-10","25","39","0.6410256410256411"
"2020-05-11","14","23","0.6086956521739131"
"2020-05-12","34","63","0.5396825396825397"
"2020-05-13","47","70","0.6714285714285714"
"2020-05-14","33","54","0.6111111111111112"
"2020-05-15","40","64","0.625"
"2020-05-16","29","48","0.6041666666666666"
"2020-05-17","21","42","0.5"
"2020-05-18","11","31","0.3548387096774194"
"2020-05-19","38","59","0.6440677966101694"
"2020-05-20","32","54","0.5925925925925926"
"2020-05-21","23","50","0.46"
"2020-05-22","18","46","0.391304347826087"
"2020-05-23","26","55","0.4727272727272727"
"2020-05-24","12","23","0.5217391304347826"
"2020-05-25","22","40","0.55"
"2020-05-26","25","42","0.5952380952380952"
"2020-05-27","30","62","0.4838709677419355"
"2020-05-28","28","51","0.5490196078431373"
"2020-05-29","22","51","0.43137254901960786"
"2020-05-30","21","59","0.3559322033898305"
"2020-05-31","15","25","0.6"
"2020-06-01","21","38","0.5526315789473685"
"2020-06-02","7","21","0.3333333333333333"
"2020-06-03","34","63","0.5396825396825397"
"2020-06-04","26","48","0.5416666666666666"
"2020-06-05","32","60","0.5333333333333333"
"2020-06-06","25","46","0.5434782608695652"
"2020-06-07","15","38","0.39473684210526316"
"2020-06-08","21","49","0.42857142857142855"
"2020-06-09","23","49","0.46938775510204084"
"2020-06-10","16","34","0.47058823529411764"
"2020-06-11","36","64","0.5625"
"2020-06-12","30","58","0.5172413793103449"
"2020-06-13","22","43","0.5116279069767442"
"2020-06-14","12","44","0.2727272727272727"
"2020-06-15","17","42","0.40476190476190477"
"2020-06-16","22","54","0.4074074074074074"
"2020-06-17","33","64","0.515625"
"2020-06-18","33","69","0.4782608695652174"
"2020-06-19","29","65","0.4461538461538462"
"2020-06-20","8","32","0.25"
"2020-06-21","25","48","0.5208333333333334"
