date,count,total_count,ratio
"2020-01-01","0","13","0"
"2020-01-02","0","23","0"
"2020-01-03","0","24","0"
"2020-01-04","0","6","0"
"2020-01-05","0","19","0"
"2020-01-06","0","22","0"
"2020-01-07","0","24","0"
"2020-01-08","0","30","0"
"2020-01-09","0","26","0"
"2020-01-10","0","25","0"
"2020-01-11","0","14","0"
"2020-01-12","0","16","0"
"2020-01-13","0","30","0"
"2020-01-14","0","30","0"
"2020-01-15","0","31","0"
"2020-01-16","0","39","0"
"2020-01-17","0","25","0"
"2020-01-18","0","9","0"
"2020-01-19","0","5","0"
"2020-01-20","0","27","0"
"2020-01-21","0","36","0"
"2020-01-22","0","28","0"
"2020-01-23","0","41","0"
"2020-01-24","0","32","0"
"2020-01-25","0","7","0"
"2020-01-26","0","7","0"
"2020-01-27","0","11","0"
"2020-01-28","0","29","0"
"2020-01-29","0","33","0"
"2020-01-30","0","48","0"
"2020-01-31","0","35","0"
"2020-02-01","0","6","0"
"2020-02-02","0","12","0"
"2020-02-03","0","28","0"
"2020-02-04","0","29","0"
"2020-02-05","0","30","0"
"2020-02-06","0","47","0"
"2020-02-07","0","33","0"
"2020-02-08","0","11","0"
"2020-02-09","0","8","0"
"2020-02-10","0","15","0"
"2020-02-11","1","18","0.05555555555555555"
"2020-02-12","0","30","0"
"2020-02-13","0","24","0"
"2020-02-14","3","41","0.07317073170731707"
"2020-02-15","0","8","0"
"2020-02-16","0","17","0"
"2020-02-17","0","35","0"
"2020-02-18","0","40","0"
"2020-02-19","1","34","0.029411764705882353"
"2020-02-20","2","49","0.04081632653061224"
"2020-02-21","3","26","0.11538461538461539"
"2020-02-22","0","8","0"
"2020-02-23","0","22","0"
"2020-02-24","1","31","0.03225806451612903"
"2020-02-25","2","30","0.06666666666666667"
"2020-02-26","2","32","0.0625"
"2020-02-27","4","53","0.07547169811320754"
"2020-02-28","2","23","0.08695652173913043"
"2020-02-29","0","14","0"
"2020-03-01","1","16","0.0625"
"2020-03-02","0","17","0"
"2020-03-03","2","26","0.07692307692307693"
"2020-03-04","1","30","0.03333333333333333"
"2020-03-05","5","45","0.1111111111111111"
"2020-03-06","5","32","0.15625"
"2020-03-07","3","9","0.3333333333333333"
"2020-03-08","1","8","0.125"
"2020-03-09","1","5","0.2"
"2020-03-10","3","31","0.0967741935483871"
"2020-03-11","7","33","0.21212121212121213"
"2020-03-12","18","34","0.5294117647058824"
"2020-03-13","17","35","0.4857142857142857"
"2020-03-14","2","9","0.2222222222222222"
"2020-03-15","0","8","0"
"2020-03-16","12","27","0.4444444444444444"
"2020-03-17","23","54","0.42592592592592593"
"2020-03-18","24","37","0.6486486486486487"
"2020-03-19","36","64","0.5625"
"2020-03-20","20","36","0.5555555555555556"
"2020-03-21","4","8","0.5"
"2020-03-22","9","23","0.391304347826087"
"2020-03-23","24","30","0.8"
"2020-03-24","18","24","0.75"
"2020-03-25","34","49","0.6938775510204082"
"2020-03-26","30","42","0.7142857142857143"
"2020-03-27","25","31","0.8064516129032258"
"2020-03-28","6","9","0.6666666666666666"
"2020-03-29","5","6","0.8333333333333334"
"2020-03-30","19","31","0.6129032258064516"
"2020-03-31","28","44","0.6363636363636364"
"2020-04-01","21","42","0.5"
"2020-04-02","18","36","0.5"
"2020-04-03","22","42","0.5238095238095238"
"2020-04-04","3","4","0.75"
"2020-04-05","6","9","0.6666666666666666"
"2020-04-06","9","19","0.47368421052631576"
"2020-04-07","26","44","0.5909090909090909"
"2020-04-08","21","46","0.45652173913043476"
"2020-04-09","9","16","0.5625"
"2020-04-10","21","26","0.8076923076923077"
"2020-04-11","12","14","0.8571428571428571"
"2020-04-12","7","11","0.6363636363636364"
"2020-04-13","14","22","0.6363636363636364"
"2020-04-14","19","33","0.5757575757575758"
"2020-04-15","25","41","0.6097560975609756"
"2020-04-16","33","44","0.75"
"2020-04-17","19","25","0.76"
"2020-04-18","9","14","0.6428571428571429"
"2020-04-19","5","6","0.8333333333333334"
"2020-04-20","10","19","0.5263157894736842"
"2020-04-21","12","34","0.35294117647058826"
"2020-04-22","20","37","0.5405405405405406"
"2020-04-23","30","75","0.4"
"2020-04-24","21","49","0.42857142857142855"
"2020-04-25","4","19","0.21052631578947367"
"2020-04-26","15","24","0.625"
"2020-04-27","24","45","0.5333333333333333"
"2020-04-28","21","39","0.5384615384615384"
"2020-04-29","28","59","0.4745762711864407"
"2020-04-30","19","40","0.475"
"2020-05-01","7","11","0.6363636363636364"
"2020-05-02","3","6","0.5"
"2020-05-03","5","9","0.5555555555555556"
"2020-05-04","14","28","0.5"
"2020-05-05","20","40","0.5"
"2020-05-06","16","39","0.41025641025641024"
"2020-05-07","31","49","0.6326530612244898"
"2020-05-08","20","33","0.6060606060606061"
"2020-05-09","6","10","0.6"
"2020-05-10","11","23","0.4782608695652174"
"2020-05-11","9","25","0.36"
"2020-05-12","16","32","0.5"
"2020-05-13","12","44","0.2727272727272727"
"2020-05-14","34","58","0.5862068965517241"
"2020-05-15","10","16","0.625"
"2020-05-16","7","19","0.3684210526315789"
"2020-05-17","5","14","0.35714285714285715"
"2020-05-18","9","32","0.28125"
"2020-05-19","20","48","0.4166666666666667"
"2020-05-20","28","49","0.5714285714285714"
"2020-05-21","30","51","0.5882352941176471"
"2020-05-22","19","32","0.59375"
"2020-05-23","5","7","0.7142857142857143"
"2020-05-24","2","9","0.2222222222222222"
"2020-05-25","5","11","0.45454545454545453"
"2020-05-26","17","32","0.53125"
"2020-05-27","21","46","0.45652173913043476"
"2020-05-28","22","55","0.4"
"2020-05-29","11","30","0.36666666666666664"
"2020-05-30","2","6","0.3333333333333333"
"2020-05-31","3","15","0.2"
"2020-06-01","9","26","0.34615384615384615"
"2020-06-02","11","31","0.3548387096774194"
"2020-06-03","15","37","0.40540540540540543"
"2020-06-04","18","46","0.391304347826087"
"2020-06-05","18","40","0.45"
"2020-06-06","2","8","0.25"
"2020-06-07","2","9","0.2222222222222222"
"2020-06-08","5","15","0.3333333333333333"
"2020-06-09","14","26","0.5384615384615384"
"2020-06-10","15","36","0.4166666666666667"
"2020-06-11","13","39","0.3333333333333333"
"2020-06-12","9","23","0.391304347826087"
"2020-06-13","4","10","0.4"
"2020-06-14","3","7","0.42857142857142855"
"2020-06-15","12","21","0.5714285714285714"
"2020-06-16","19","51","0.37254901960784315"
"2020-06-17","20","34","0.5882352941176471"
"2020-06-18","12","40","0.3"
"2020-06-19","7","19","0.3684210526315789"
"2020-06-20","0","2","0"
"2020-06-21","4","14","0.2857142857142857"
"2020-06-22","11","35","0.3142857142857143"
"2020-06-23","25","42","0.5952380952380952"
"2020-06-24","21","45","0.4666666666666667"
"2020-06-25","25","45","0.5555555555555556"
"2020-06-26","20","41","0.4878048780487805"
"2020-06-27","4","6","0.6666666666666666"
"2020-06-28","8","21","0.38095238095238093"
"2020-06-29","13","50","0.26"
"2020-06-30","13","43","0.3023255813953488"
"2020-07-01","14","35","0.4"
"2020-07-02","15","57","0.2631578947368421"
"2020-07-03","13","30","0.43333333333333335"
"2020-07-04","5","12","0.4166666666666667"
