date,count,total_count,ratio
"2020-01-01","0","101","0"
"2020-01-02","0","242","0"
"2020-01-03","0","269","0"
"2020-01-04","0","228","0"
"2020-01-05","0","182","0"
"2020-01-06","0","281","0"
"2020-01-07","0","303","0"
"2020-01-08","0","333","0"
"2020-01-09","0","304","0"
"2020-01-10","0","295","0"
"2020-01-11","0","250","0"
"2020-01-12","0","211","0"
"2020-01-13","0","325","0"
"2020-01-14","0","319","0"
"2020-01-15","0","316","0"
"2020-01-16","0","320","0"
"2020-01-17","0","349","0"
"2020-01-18","0","261","0"
"2020-01-19","0","212","0"
"2020-01-20","0","302","0"
"2020-01-21","0","283","0"
"2020-01-22","0","260","0"
"2020-01-23","0","274","0"
"2020-01-24","0","304","0"
"2020-01-25","0","273","0"
"2020-01-26","0","224","0"
"2020-01-27","0","282","0"
"2020-01-28","0","328","0"
"2020-01-29","0","297","0"
"2020-01-30","0","331","0"
"2020-01-31","0","264","0"
"2020-02-01","0","227","0"
"2020-02-02","0","191","0"
"2020-02-03","0","310","0"
"2020-02-04","0","328","0"
"2020-02-05","0","329","0"
"2020-02-06","0","272","0"
"2020-02-07","0","302","0"
"2020-02-08","0","163","0"
"2020-02-09","0","168","0"
"2020-02-10","0","283","0"
"2020-02-11","1","255","0.00392156862745098"
"2020-02-12","5","312","0.016025641025641024"
"2020-02-13","10","267","0.03745318352059925"
"2020-02-14","5","298","0.016778523489932886"
"2020-02-15","3","220","0.013636363636363636"
"2020-02-16","5","165","0.030303030303030304"
"2020-02-17","8","280","0.02857142857142857"
"2020-02-18","6","322","0.018633540372670808"
"2020-02-19","3","296","0.010135135135135136"
"2020-02-20","3","305","0.009836065573770493"
"2020-02-21","3","272","0.011029411764705883"
"2020-02-22","6","235","0.02553191489361702"
"2020-02-23","5","179","0.027932960893854747"
"2020-02-24","6","144","0.041666666666666664"
"2020-02-25","7","130","0.05384615384615385"
"2020-02-26","16","238","0.06722689075630252"
"2020-02-27","21","279","0.07526881720430108"
"2020-02-28","19","258","0.07364341085271318"
