date,count,total_count,ratio
"2020-01-01","0","697","0"
"2020-01-02","0","1288","0"
"2020-01-03","0","1351","0"
"2020-01-04","0","736","0"
"2020-01-05","0","710","0"
"2020-01-06","0","1311","0"
"2020-01-07","0","1270","0"
"2020-01-08","0","1385","0"
"2020-01-09","0","1455","0"
"2020-01-10","0","1289","0"
"2020-01-11","0","544","0"
"2020-01-12","0","633","0"
"2020-01-13","0","1386","0"
"2020-01-14","0","1365","0"
"2020-01-15","0","1426","0"
"2020-01-16","0","1354","0"
"2020-01-17","0","1342","0"
"2020-01-18","0","729","0"
"2020-01-19","0","788","0"
"2020-01-20","0","1376","0"
"2020-01-21","0","1241","0"
"2020-01-22","0","1345","0"
"2020-01-23","0","1379","0"
"2020-01-24","0","1433","0"
"2020-01-25","0","742","0"
"2020-01-26","0","725","0"
"2020-01-27","0","1213","0"
"2020-01-28","0","1277","0"
"2020-01-29","0","1436","0"
"2020-01-30","0","828","0"
"2020-01-31","0","752","0"
"2020-02-01","0","451","0"
"2020-02-02","0","493","0"
"2020-02-03","0","728","0"
"2020-02-04","0","780","0"
"2020-02-05","0","1189","0"
"2020-02-06","0","1208","0"
"2020-02-07","0","1148","0"
"2020-02-08","0","572","0"
"2020-02-09","0","590","0"
"2020-02-10","0","1295","0"
"2020-02-11","27","1352","0.019970414201183433"
"2020-02-12","24","1330","0.01804511278195489"
"2020-02-13","50","1443","0.03465003465003465"
"2020-02-14","24","1251","0.019184652278177457"
"2020-02-15","39","680","0.057352941176470586"
"2020-02-16","11","619","0.017770597738287562"
"2020-02-17","29","1427","0.020322354590049056"
"2020-02-18","50","1556","0.032133676092544985"
"2020-02-19","32","1347","0.023756495916852263"
"2020-02-20","63","1480","0.04256756756756757"
"2020-02-21","40","1212","0.033003300330033"
"2020-02-22","31","639","0.048513302034428794"
"2020-02-23","23","747","0.030789825970548863"
"2020-02-24","32","1245","0.02570281124497992"
"2020-02-25","88","1463","0.06015037593984962"
"2020-02-26","74","1351","0.05477424130273871"
"2020-02-27","111","1443","0.07692307692307693"
"2020-02-28","54","1441","0.03747397640527411"
"2020-02-29","31","751","0.041278295605858856"
"2020-03-01","23","728","0.03159340659340659"
"2020-03-02","39","1451","0.026878015161957272"
"2020-03-03","99","1334","0.07421289355322339"
"2020-03-04","104","1479","0.07031778228532792"
"2020-03-05","79","1518","0.05204216073781291"
"2020-03-06","116","1371","0.08460977388767323"
"2020-03-07","58","652","0.08895705521472393"
"2020-03-08","47","640","0.0734375"
"2020-03-09","126","1442","0.08737864077669903"
"2020-03-10","107","1386","0.0772005772005772"
"2020-03-11","135","1561","0.08648302370275464"
"2020-03-12","242","1460","0.16575342465753426"
"2020-03-13","204","1229","0.16598860862489828"
"2020-03-14","263","809","0.32509270704573545"
"2020-03-15","312","762","0.4094488188976378"
"2020-03-16","455","1380","0.32971014492753625"
"2020-03-17","588","1452","0.4049586776859504"
"2020-03-18","700","1663","0.42092603728202044"
"2020-03-19","567","1503","0.3772455089820359"
"2020-03-20","581","1530","0.37973856209150325"
"2020-03-21","357","615","0.5804878048780487"
"2020-03-22","407","670","0.6074626865671642"
"2020-03-23","638","1461","0.43668720054757015"
"2020-03-24","606","1452","0.41735537190082644"
"2020-03-25","583","1611","0.36188702669149597"
"2020-03-26","480","1558","0.3080872913992298"
"2020-03-27","596","1525","0.39081967213114754"
"2020-03-28","285","682","0.4178885630498534"
"2020-03-29","333","663","0.502262443438914"
"2020-03-30","642","1643","0.3907486305538649"
"2020-03-31","575","1434","0.40097629009762903"
"2020-04-01","691","1559","0.44323284156510584"
"2020-04-02","597","1422","0.41983122362869196"
"2020-04-03","648","1393","0.46518305814788224"
"2020-04-04","386","883","0.43714609286523215"
"2020-04-05","289","652","0.4432515337423313"
"2020-04-06","539","1288","0.41847826086956524"
"2020-04-07","489","1312","0.37271341463414637"
"2020-04-08","547","1488","0.36760752688172044"
"2020-04-09","554","1490","0.3718120805369127"
"2020-04-10","331","716","0.4622905027932961"
"2020-04-11","339","691","0.4905933429811867"
"2020-04-12","333","785","0.42420382165605097"
"2020-04-13","603","1693","0.3561724748966332"
"2020-04-14","432","1102","0.39201451905626133"
"2020-04-15","701","1808","0.3877212389380531"
"2020-04-16","681","1641","0.4149908592321755"
