date,count,total_count,ratio
"2020-01-01","0","727","0"
"2020-01-02","0","1252","0"
"2020-01-03","0","1314","0"
"2020-01-04","0","873","0"
"2020-01-05","0","1047","0"
"2020-01-06","1","1109","0.0009017132551848512"
"2020-01-07","0","1469","0"
"2020-01-08","0","1527","0"
"2020-01-09","0","1524","0"
"2020-01-10","0","1347","0"
"2020-01-11","0","1006","0"
"2020-01-12","0","975","0"
"2020-01-13","0","1559","0"
"2020-01-14","0","1596","0"
"2020-01-15","14","1667","0.008398320335932814"
"2020-01-16","0","1725","0"
"2020-01-17","0","1426","0"
"2020-01-18","0","1006","0"
"2020-01-19","0","1027","0"
"2020-01-20","0","1503","0"
"2020-01-21","0","1608","0"
"2020-01-22","0","1639","0"
"2020-01-23","0","1588","0"
"2020-01-24","0","1494","0"
"2020-01-25","0","1146","0"
"2020-01-26","0","1181","0"
"2020-01-27","0","1477","0"
"2020-01-28","1","1584","0.0006313131313131314"
"2020-01-29","0","1520","0"
"2020-01-30","0","1036","0"
"2020-01-31","1","1020","0.000980392156862745"
"2020-02-01","0","818","0"
"2020-02-02","0","766","0"
"2020-02-03","0","1048","0"
"2020-02-04","0","1234","0"
"2020-02-05","0","1241","0"
"2020-02-06","1","1322","0.0007564296520423601"
"2020-02-07","0","1251","0"
"2020-02-08","0","1151","0"
"2020-02-09","0","1107","0"
"2020-02-10","0","1624","0"
"2020-02-11","32","1667","0.01919616076784643"
"2020-02-12","52","1804","0.028824833702882482"
"2020-02-13","60","1605","0.037383177570093455"
"2020-02-14","56","1536","0.036458333333333336"
"2020-02-15","57","1149","0.04960835509138381"
"2020-02-16","39","1153","0.033824804856895055"
"2020-02-17","55","1564","0.03516624040920716"
"2020-02-18","61","1882","0.032412327311370885"
"2020-02-19","56","1976","0.02834008097165992"
"2020-02-20","52","2079","0.025012025012025013"
"2020-02-21","42","1871","0.02244788882950294"
"2020-02-22","37","1318","0.028072837632776935"
"2020-02-23","54","1414","0.03818953323903819"
"2020-02-24","91","2032","0.04478346456692913"
"2020-02-25","111","1981","0.05603230691569914"
"2020-02-26","110","2010","0.05472636815920398"
"2020-02-27","144","2267","0.06352007057785619"
"2020-02-28","181","2221","0.0814948221521837"
"2020-02-29","116","1440","0.08055555555555556"
"2020-03-01","104","1445","0.07197231833910035"
"2020-03-02","201","1934","0.10392967942088935"
"2020-03-03","217","2140","0.1014018691588785"
"2020-03-04","235","2128","0.11043233082706767"
"2020-03-05","175","1998","0.08758758758758758"
"2020-03-06","278","2025","0.13728395061728396"
"2020-03-07","174","1357","0.12822402358142962"
"2020-03-08","132","1373","0.09613983976693372"
"2020-03-09","258","2060","0.12524271844660195"
"2020-03-10","303","2224","0.13624100719424462"
"2020-03-11","441","2175","0.20275862068965517"
"2020-03-12","638","2300","0.2773913043478261"
"2020-03-13","604","2079","0.2905242905242905"
"2020-03-14","442","1441","0.30673143650242884"
"2020-03-15","528","1430","0.36923076923076925"
"2020-03-16","790","2201","0.35892776010904137"
"2020-03-17","945","2280","0.4144736842105263"
"2020-03-18","917","2247","0.40809968847352024"
"2020-03-19","971","2315","0.4194384449244061"
"2020-03-20","912","2130","0.428169014084507"
"2020-03-21","736","1568","0.46938775510204084"
"2020-03-22","674","1536","0.4388020833333333"
"2020-03-23","827","1806","0.4579180509413068"
"2020-03-24","1049","2147","0.4885887284583139"
"2020-03-25","1026","2217","0.462787550744249"
"2020-03-26","973","2100","0.4633333333333333"
"2020-03-27","948","1962","0.4831804281345566"
"2020-03-28","660","1293","0.5104408352668214"
"2020-03-29","669","1306","0.5122511485451761"
"2020-03-30","1003","2021","0.4962889658584859"
"2020-03-31","926","2043","0.4532550171316691"
"2020-04-01","1060","2221","0.47726249437190454"
"2020-04-02","1037","2222","0.4666966696669667"
"2020-04-03","927","1979","0.46841839312784234"
"2020-04-04","658","1364","0.48240469208211145"
"2020-04-05","688","1383","0.49746926970354305"
"2020-04-06","970","2033","0.47712739793408754"
"2020-04-07","1052","2194","0.479489516864175"
"2020-04-08","927","2091","0.4433285509325681"
"2020-04-09","720","1703","0.4227833235466823"
"2020-04-10","668","1495","0.4468227424749164"
"2020-04-11","766","1491","0.5137491616364855"
"2020-04-12","830","1727","0.4806022003474233"
"2020-04-13","1003","2195","0.4569476082004556"
"2020-04-14","650","1358","0.4786450662739323"
"2020-04-15","1255","2602","0.48232129131437357"
"2020-04-16","1070","2425","0.44123711340206184"
"2020-04-17","1106","2335","0.47366167023554606"
"2020-04-18","752","1582","0.47534766118836913"
"2020-04-19","681","1500","0.454"
"2020-04-20","994","2292","0.4336823734729494"
"2020-04-21","991","2344","0.4227815699658703"
"2020-04-22","1093","2515","0.4345924453280318"
"2020-04-23","987","2417","0.4083574679354572"
"2020-04-24","1010","2381","0.4241915161696766"
"2020-04-25","688","1587","0.4335223692501575"
"2020-04-26","643","1530","0.42026143790849674"
"2020-04-27","943","2459","0.38348922326148843"
"2020-04-28","1025","2557","0.4008603832616347"
"2020-04-29","1074","2539","0.4230011815675463"
"2020-04-30","958","2455","0.390224032586558"
"2020-05-01","784","1955","0.4010230179028133"
"2020-05-02","614","1480","0.41486486486486485"
"2020-05-03","576","1513","0.38070059484467944"
"2020-05-04","915","2356","0.3883701188455008"
"2020-05-05","942","2511","0.3751493428912784"
"2020-05-06","966","2425","0.39835051546391753"
"2020-05-07","928","2482","0.37389202256244963"
"2020-05-08","879","2392","0.36747491638795987"
"2020-05-09","630","1572","0.40076335877862596"
"2020-05-10","611","1547","0.3949579831932773"
"2020-05-11","883","2392","0.36914715719063546"
"2020-05-12","1032","2543","0.40581989775855287"
"2020-05-13","1019","2583","0.39450251645373596"
"2020-05-14","1003","2515","0.39880715705765407"
"2020-05-15","1065","2561","0.4158531823506443"
"2020-05-16","711","1713","0.415061295971979"
"2020-05-17","536","1282","0.41809672386895474"
"2020-05-18","1005","2590","0.38803088803088803"
"2020-05-19","1059","2723","0.3889092912229159"
"2020-05-20","1037","2670","0.38838951310861425"
"2020-05-21","1060","2819","0.3760198652004257"
"2020-05-22","926","2580","0.35891472868217056"
"2020-05-23","658","1786","0.3684210526315789"
"2020-05-24","652","1746","0.3734249713631157"
"2020-05-25","750","2014","0.3723932472691162"
"2020-05-26","978","2659","0.3678074464084242"
"2020-05-27","951","2766","0.3438177874186551"
"2020-05-28","971","2801","0.34666190646197786"
"2020-05-29","960","2720","0.35294117647058826"
"2020-05-30","629","1809","0.347705914870094"
"2020-05-31","625","1839","0.33985861881457313"
"2020-06-01","823","2671","0.30812429801572444"
"2020-06-02","925","2849","0.3246753246753247"
"2020-06-03","965","2919","0.33059266872216514"
"2020-06-04","942","2890","0.3259515570934256"
"2020-06-05","875","2704","0.323594674556213"
"2020-06-06","578","1878","0.3077742279020234"
"2020-06-07","541","1742","0.3105625717566016"
"2020-06-08","882","2655","0.33220338983050846"
"2020-06-09","840","2743","0.3062340503098797"
"2020-06-10","987","3101","0.3182844243792325"
"2020-06-11","909","2944","0.30876358695652173"
"2020-06-12","847","2653","0.31926121372031663"
"2020-06-13","640","1915","0.3342036553524804"
"2020-06-14","599","1884","0.3179405520169851"
"2020-06-15","749","2372","0.3157672849915683"
"2020-06-16","954","2883","0.3309053069719043"
"2020-06-17","957","3093","0.30940834141610085"
"2020-06-18","899","3093","0.290656320724216"
"2020-06-19","882","2882","0.3060374739764053"
"2020-06-20","573","1851","0.3095623987034036"
"2020-06-21","563","1853","0.3038316243928764"
"2020-06-22","703","2229","0.3153880663974877"
"2020-06-23","891","2835","0.3142857142857143"
"2020-06-24","837","2630","0.3182509505703422"
"2020-06-25","892","2843","0.3137530777347872"
"2020-06-26","860","2725","0.3155963302752294"
"2020-06-27","569","1772","0.3211060948081264"
"2020-06-28","569","1839","0.3094072865687874"
"2020-06-29","696","2266","0.30714916151809357"
"2020-06-30","924","2970","0.3111111111111111"
"2020-07-01","881","2977","0.2959355055424924"
"2020-07-02","845","2836","0.2979548660084626"
"2020-07-03","812","2773","0.29282365668950594"
"2020-07-04","574","1969","0.2915185373285932"
"2020-07-05","585","1891","0.3093601269169751"
"2020-07-06","929","2970","0.3127946127946128"
"2020-07-07","1098","3702","0.2965964343598055"
