date,count,total_count,ratio
"2020-01-01","0","43","0"
"2020-01-02","0","114","0"
"2020-01-03","0","177","0"
"2020-01-04","0","115","0"
"2020-01-05","0","80","0"
"2020-01-06","0","174","0"
"2020-01-07","0","191","0"
"2020-01-08","0","193","0"
"2020-01-09","0","160","0"
"2020-01-10","0","163","0"
"2020-01-11","0","98","0"
"2020-01-12","0","77","0"
"2020-01-13","0","138","0"
"2020-01-14","0","174","0"
"2020-01-15","0","206","0"
"2020-01-16","0","183","0"
"2020-01-17","0","174","0"
"2020-01-18","0","125","0"
"2020-01-19","0","103","0"
"2020-01-20","0","153","0"
"2020-01-21","0","192","0"
"2020-01-22","0","188","0"
"2020-01-23","0","167","0"
"2020-01-24","0","180","0"
"2020-01-25","0","99","0"
"2020-01-26","0","70","0"
"2020-01-27","0","173","0"
"2020-01-28","0","207","0"
"2020-01-29","0","190","0"
"2020-01-30","0","198","0"
"2020-01-31","0","188","0"
"2020-02-01","0","116","0"
"2020-02-02","0","94","0"
"2020-02-03","0","176","0"
"2020-02-04","0","174","0"
"2020-02-05","0","188","0"
"2020-02-06","0","176","0"
"2020-02-07","0","173","0"
"2020-02-08","0","112","0"
"2020-02-09","0","50","0"
"2020-02-10","0","178","0"
"2020-02-11","4","199","0.020100502512562814"
"2020-02-12","7","186","0.03763440860215054"
"2020-02-13","8","206","0.038834951456310676"
"2020-02-14","6","172","0.03488372093023256"
"2020-02-15","3","125","0.024"
"2020-02-16","4","71","0.056338028169014086"
"2020-02-17","5","165","0.030303030303030304"
"2020-02-18","3","211","0.014218009478672985"
"2020-02-19","9","230","0.0391304347826087"
"2020-02-20","8","229","0.034934497816593885"
"2020-02-21","4","216","0.018518518518518517"
"2020-02-22","3","133","0.022556390977443608"
"2020-02-23","4","79","0.05063291139240506"
"2020-02-24","9","206","0.043689320388349516"
"2020-02-25","8","229","0.034934497816593885"
"2020-02-26","5","207","0.024154589371980676"
"2020-02-27","10","195","0.05128205128205128"
"2020-02-28","22","237","0.09282700421940929"
"2020-02-29","10","141","0.07092198581560284"
"2020-03-01","10","98","0.10204081632653061"
"2020-03-02","22","165","0.13333333333333333"
"2020-03-03","22","222","0.0990990990990991"
"2020-03-04","19","239","0.0794979079497908"
"2020-03-05","28","196","0.14285714285714285"
"2020-03-06","51","211","0.24170616113744076"
"2020-03-07","39","145","0.2689655172413793"
"2020-03-08","37","94","0.39361702127659576"
"2020-03-09","63","261","0.2413793103448276"
"2020-03-10","78","250","0.312"
"2020-03-11","102","255","0.4"
"2020-03-12","106","281","0.37722419928825623"
"2020-03-13","97","230","0.4217391304347826"
"2020-03-14","78","172","0.45348837209302323"
"2020-03-15","57","111","0.5135135135135135"
"2020-03-16","123","229","0.537117903930131"
"2020-03-17","151","264","0.571969696969697"
"2020-03-18","159","270","0.5888888888888889"
"2020-03-19","179","279","0.6415770609318996"
"2020-03-20","205","325","0.6307692307692307"
"2020-03-21","151","238","0.634453781512605"
"2020-03-22","98","153","0.6405228758169934"
"2020-03-23","167","298","0.5604026845637584"
"2020-03-24","203","334","0.6077844311377245"
"2020-03-25","183","313","0.5846645367412141"
"2020-03-26","182","328","0.5548780487804879"
"2020-03-27","187","317","0.5899053627760252"
"2020-03-28","111","192","0.578125"
"2020-03-29","86","145","0.593103448275862"
"2020-03-30","150","274","0.5474452554744526"
"2020-03-31","164","284","0.5774647887323944"
"2020-04-01","165","273","0.6043956043956044"
"2020-04-02","178","326","0.5460122699386503"
"2020-04-03","172","291","0.5910652920962199"
"2020-04-04","133","226","0.588495575221239"
"2020-04-05","97","148","0.6554054054054054"
"2020-04-06","155","234","0.6623931623931624"
"2020-04-07","193","343","0.5626822157434402"
"2020-04-08","194","323","0.6006191950464397"
"2020-04-09","99","169","0.5857988165680473"
"2020-04-10","94","156","0.6025641025641025"
"2020-04-11","106","184","0.5760869565217391"
"2020-04-12","113","189","0.5978835978835979"
"2020-04-13","175","325","0.5384615384615384"
"2020-04-14","103","213","0.4835680751173709"
"2020-04-15","182","291","0.6254295532646048"
"2020-04-16","195","322","0.6055900621118012"
"2020-04-17","166","277","0.5992779783393501"
"2020-04-18","104","186","0.5591397849462365"
"2020-04-19","89","157","0.5668789808917197"
"2020-04-20","133","254","0.5236220472440944"
"2020-04-21","165","303","0.5445544554455446"
"2020-04-22","148","285","0.519298245614035"
"2020-04-23","178","317","0.5615141955835962"
"2020-04-24","157","307","0.511400651465798"
"2020-04-25","110","196","0.5612244897959183"
"2020-04-26","80","146","0.547945205479452"
"2020-04-27","136","271","0.5018450184501845"
"2020-04-28","142","300","0.47333333333333333"
"2020-04-29","158","298","0.5302013422818792"
"2020-04-30","163","326","0.5"
"2020-05-01","142","304","0.46710526315789475"
"2020-05-02","88","196","0.4489795918367347"
"2020-05-03","52","119","0.4369747899159664"
"2020-05-04","144","310","0.4645161290322581"
"2020-05-05","152","323","0.47058823529411764"
"2020-05-06","175","372","0.47043010752688175"
"2020-05-07","160","339","0.471976401179941"
"2020-05-08","167","322","0.5186335403726708"
"2020-05-09","107","222","0.481981981981982"
"2020-05-10","79","131","0.6030534351145038"
"2020-05-11","152","323","0.47058823529411764"
"2020-05-12","176","362","0.4861878453038674"
"2020-05-13","167","349","0.4785100286532951"
"2020-05-14","135","337","0.40059347181008903"
"2020-05-15","162","334","0.48502994011976047"
"2020-05-16","111","220","0.5045454545454545"
"2020-05-17","75","182","0.41208791208791207"
"2020-05-18","104","280","0.37142857142857144"
"2020-05-19","129","305","0.42295081967213116"
"2020-05-20","124","333","0.37237237237237236"
"2020-05-21","132","353","0.37393767705382436"
"2020-05-22","121","320","0.378125"
"2020-05-23","78","203","0.3842364532019704"
"2020-05-24","66","173","0.3815028901734104"
"2020-05-25","141","335","0.4208955223880597"
"2020-05-26","126","362","0.34806629834254144"
"2020-05-27","135","319","0.4231974921630094"
"2020-05-28","128","355","0.36056338028169016"
"2020-05-29","126","325","0.38769230769230767"
"2020-05-30","86","248","0.3467741935483871"
"2020-05-31","62","178","0.34831460674157305"
"2020-06-01","119","298","0.39932885906040266"
"2020-06-02","130","375","0.3466666666666667"
"2020-06-03","134","393","0.34096692111959287"
"2020-06-04","134","355","0.37746478873239436"
"2020-06-05","114","347","0.3285302593659942"
"2020-06-06","61","196","0.3112244897959184"
"2020-06-07","73","207","0.3526570048309179"
"2020-06-08","147","386","0.38082901554404147"
"2020-06-09","142","380","0.3736842105263158"
"2020-06-10","133","341","0.39002932551319647"
"2020-06-11","123","344","0.35755813953488375"
"2020-06-12","140","353","0.39660056657223797"
"2020-06-13","88","216","0.4074074074074074"
"2020-06-14","57","158","0.36075949367088606"
"2020-06-15","104","321","0.32398753894080995"
"2020-06-16","120","356","0.33707865168539325"
"2020-06-17","102","311","0.3279742765273312"
"2020-06-18","128","352","0.36363636363636365"
"2020-06-19","143","347","0.41210374639769454"
"2020-06-20","90","216","0.4166666666666667"
"2020-06-21","73","178","0.4101123595505618"
"2020-06-22","133","362","0.3674033149171271"
"2020-06-23","143","371","0.38544474393531"
"2020-06-24","128","299","0.4280936454849498"
"2020-06-25","120","316","0.379746835443038"
"2020-06-26","116","313","0.3706070287539936"
"2020-06-27","99","242","0.4090909090909091"
"2020-06-28","88","196","0.4489795918367347"
"2020-06-29","96","300","0.32"
"2020-06-30","123","350","0.3514285714285714"
