date,count,total_count,ratio
"2020-01-01","0","251","0"
"2020-01-02","0","295","0"
"2020-01-03","1","359","0.002785515320334262"
"2020-01-04","0","271","0"
"2020-01-05","0","191","0"
"2020-01-06","0","375","0"
"2020-01-07","0","405","0"
"2020-01-08","0","441","0"
"2020-01-09","0","426","0"
"2020-01-10","0","486","0"
"2020-01-11","0","325","0"
"2020-01-12","0","240","0"
"2020-01-13","0","449","0"
"2020-01-14","0","451","0"
"2020-01-15","0","452","0"
"2020-01-16","0","463","0"
"2020-01-17","0","412","0"
"2020-01-18","0","323","0"
"2020-01-19","0","174","0"
"2020-01-20","0","383","0"
"2020-01-21","0","433","0"
"2020-01-22","0","449","0"
"2020-01-23","0","486","0"
"2020-01-24","0","409","0"
"2020-01-25","0","326","0"
"2020-01-26","0","214","0"
"2020-01-27","0","375","0"
"2020-01-28","0","436","0"
"2020-01-29","0","442","0"
"2020-01-30","0","470","0"
"2020-01-31","0","375","0"
"2020-02-01","0","270","0"
"2020-02-02","0","178","0"
"2020-02-03","0","372","0"
"2020-02-04","0","412","0"
"2020-02-05","0","402","0"
"2020-02-06","0","447","0"
"2020-02-07","0","383","0"
"2020-02-08","0","289","0"
"2020-02-09","0","199","0"
"2020-02-10","0","425","0"
"2020-02-11","10","430","0.023255813953488372"
"2020-02-12","5","439","0.011389521640091117"
"2020-02-13","12","451","0.026607538802660754"
"2020-02-14","18","411","0.043795620437956206"
"2020-02-15","15","228","0.06578947368421052"
"2020-02-16","10","182","0.054945054945054944"
"2020-02-17","15","429","0.03496503496503497"
"2020-02-18","22","448","0.049107142857142856"
"2020-02-19","12","461","0.026030368763557483"
"2020-02-20","22","498","0.04417670682730924"
"2020-02-21","9","469","0.019189765458422176"
"2020-02-22","11","303","0.036303630363036306"
"2020-02-23","8","226","0.035398230088495575"
"2020-02-24","17","520","0.032692307692307694"
"2020-02-25","23","431","0.05336426914153132"
"2020-02-26","35","435","0.08045977011494253"
"2020-02-27","21","479","0.04384133611691023"
"2020-02-28","40","462","0.08658008658008658"
"2020-02-29","15","355","0.04225352112676056"
"2020-03-01","10","240","0.041666666666666664"
"2020-03-02","24","475","0.05052631578947368"
"2020-03-03","33","519","0.06358381502890173"
"2020-03-04","24","482","0.04979253112033195"
"2020-03-05","44","439","0.10022779043280182"
"2020-03-06","61","425","0.14352941176470588"
"2020-03-07","70","355","0.19718309859154928"
"2020-03-08","43","253","0.16996047430830039"
"2020-03-09","138","495","0.2787878787878788"
"2020-03-10","117","477","0.24528301886792453"
"2020-03-11","168","592","0.28378378378378377"
"2020-03-12","196","511","0.3835616438356164"
"2020-03-13","203","510","0.3980392156862745"
"2020-03-14","127","339","0.3746312684365782"
"2020-03-15","114","263","0.43346007604562736"
"2020-03-16","270","520","0.5192307692307693"
"2020-03-17","286","509","0.5618860510805501"
"2020-03-18","316","541","0.5841035120147874"
"2020-03-19","321","515","0.6233009708737864"
"2020-03-20","357","550","0.649090909090909"
"2020-03-21","183","323","0.56656346749226"
"2020-03-22","175","271","0.6457564575645757"
"2020-03-23","374","563","0.6642984014209592"
"2020-03-24","336","504","0.6666666666666666"
"2020-03-25","323","506","0.6383399209486166"
"2020-03-26","343","508","0.6751968503937008"
"2020-03-27","405","549","0.7377049180327869"
"2020-03-28","248","359","0.6908077994428969"
"2020-03-29","176","256","0.6875"
"2020-03-30","361","528","0.6837121212121212"
"2020-03-31","366","552","0.6630434782608695"
"2020-04-01","417","571","0.7302977232924693"
"2020-04-02","361","518","0.696911196911197"
"2020-04-03","389","546","0.7124542124542125"
"2020-04-04","254","360","0.7055555555555556"
"2020-04-05","187","276","0.677536231884058"
"2020-04-06","348","515","0.6757281553398058"
"2020-04-07","339","567","0.5978835978835979"
"2020-04-08","367","531","0.6911487758945386"
"2020-04-09","373","544","0.6856617647058824"
"2020-04-10","365","523","0.6978967495219885"
"2020-04-11","269","385","0.6987012987012987"
"2020-04-12","251","357","0.7030812324929971"
"2020-04-13","373","540","0.6907407407407408"
"2020-04-14","393","564","0.6968085106382979"
"2020-04-15","444","641","0.6926677067082684"
"2020-04-16","402","615","0.6536585365853659"
"2020-04-17","440","641","0.6864274570982839"
"2020-04-18","304","452","0.672566371681416"
"2020-04-19","250","407","0.6142506142506142"
"2020-04-20","421","632","0.6661392405063291"
"2020-04-21","447","660","0.6772727272727272"
"2020-04-22","437","697","0.6269727403156384"
"2020-04-23","422","617","0.6839546191247974"
"2020-04-24","419","601","0.697171381031614"
"2020-04-25","314","469","0.6695095948827292"
"2020-04-26","204","320","0.6375"
"2020-04-27","391","586","0.6672354948805461"
"2020-04-28","404","653","0.6186830015313936"
"2020-04-29","408","655","0.6229007633587786"
"2020-04-30","353","646","0.5464396284829721"
"2020-05-01","361","608","0.59375"
