date,count,total_count,ratio
"2020-01-01","0","363","0"
"2020-01-02","0","676","0"
"2020-01-03","0","610","0"
"2020-01-04","0","402","0"
"2020-01-05","0","446","0"
"2020-01-06","0","662","0"
"2020-01-07","0","766","0"
"2020-01-08","0","814","0"
"2020-01-09","0","878","0"
"2020-01-10","0","747","0"
"2020-01-11","0","502","0"
"2020-01-12","0","357","0"
"2020-01-13","0","797","0"
"2020-01-14","0","856","0"
"2020-01-15","0","893","0"
"2020-01-16","0","774","0"
"2020-01-17","0","669","0"
"2020-01-18","0","332","0"
"2020-01-19","0","326","0"
"2020-01-20","0","606","0"
"2020-01-21","1","562","0.0017793594306049821"
"2020-01-22","0","796","0"
"2020-01-23","0","815","0"
"2020-01-24","0","814","0"
"2020-01-25","0","424","0"
"2020-01-26","0","587","0"
"2020-01-27","0","783","0"
"2020-01-28","0","898","0"
"2020-01-29","0","810","0"
"2020-01-30","0","806","0"
"2020-01-31","0","507","0"
"2020-02-01","0","417","0"
"2020-02-02","0","395","0"
"2020-02-03","0","584","0"
"2020-02-04","0","648","0"
"2020-02-05","0","610","0"
"2020-02-06","0","649","0"
"2020-02-07","0","727","0"
"2020-02-08","0","371","0"
"2020-02-09","0","546","0"
"2020-02-10","1","728","0.0013736263736263737"
"2020-02-11","19","851","0.022326674500587545"
"2020-02-12","32","838","0.03818615751789976"
"2020-02-13","48","926","0.05183585313174946"
"2020-02-14","39","728","0.05357142857142857"
"2020-02-15","26","406","0.06403940886699508"
"2020-02-16","34","822","0.0413625304136253"
"2020-02-17","25","702","0.03561253561253561"
"2020-02-18","47","868","0.05414746543778802"
"2020-02-19","36","896","0.04017857142857143"
"2020-02-20","43","918","0.046840958605664486"
"2020-02-21","47","948","0.049578059071729956"
"2020-02-22","31","466","0.06652360515021459"
"2020-02-23","13","501","0.02594810379241517"
"2020-02-24","49","930","0.05268817204301075"
"2020-02-25","66","958","0.06889352818371608"
"2020-02-26","84","943","0.08907741251325557"
"2020-02-27","75","896","0.08370535714285714"
"2020-02-28","147","862","0.17053364269141533"
"2020-02-29","69","474","0.14556962025316456"
"2020-03-01","82","528","0.1553030303030303"
"2020-03-02","142","936","0.1517094017094017"
"2020-03-03","141","945","0.1492063492063492"
"2020-03-04","122","935","0.1304812834224599"
"2020-03-05","123","955","0.12879581151832462"
"2020-03-06","112","832","0.1346153846153846"
"2020-03-07","68","458","0.14847161572052403"
"2020-03-08","76","496","0.1532258064516129"
"2020-03-09","145","915","0.15846994535519127"
"2020-03-10","163","983","0.16581892166836215"
"2020-03-11","185","978","0.18916155419222905"
"2020-03-12","287","1010","0.28415841584158413"
"2020-03-13","320","947","0.337909186906019"
"2020-03-14","190","479","0.3966597077244259"
"2020-03-15","186","733","0.25375170532060026"
"2020-03-16","378","928","0.4073275862068966"
"2020-03-17","466","1098","0.424408014571949"
"2020-03-18","513","1022","0.5019569471624267"
"2020-03-19","500","993","0.5035246727089627"
"2020-03-20","502","935","0.5368983957219251"
"2020-03-21","265","546","0.48534798534798534"
"2020-03-22","293","542","0.540590405904059"
"2020-03-23","575","1017","0.5653883972468043"
"2020-03-24","562","1020","0.5509803921568628"
"2020-03-25","551","1001","0.5504495504495505"
"2020-03-26","498","1020","0.48823529411764705"
"2020-03-27","488","870","0.5609195402298851"
"2020-03-28","285","500","0.57"
"2020-03-29","324","494","0.6558704453441295"
"2020-03-30","528","976","0.5409836065573771"
"2020-03-31","482","880","0.5477272727272727"
"2020-04-01","516","893","0.5778275475923852"
"2020-04-02","514","885","0.5807909604519774"
"2020-04-03","502","891","0.5634118967452301"
"2020-04-04","260","506","0.5138339920948617"
"2020-04-05","347","550","0.6309090909090909"
"2020-04-06","536","919","0.5832426550598476"
"2020-04-07","566","990","0.5717171717171717"
"2020-04-08","573","1019","0.5623159960745829"
"2020-04-09","441","852","0.5176056338028169"
"2020-04-10","328","608","0.5394736842105263"
"2020-04-11","247","445","0.5550561797752809"
"2020-04-12","265","520","0.5096153846153846"
"2020-04-13","545","992","0.5493951612903226"
"2020-04-14","510","865","0.5895953757225434"
"2020-04-15","532","1039","0.5120307988450433"
"2020-04-16","574","1018","0.5638506876227898"
"2020-04-17","507","963","0.5264797507788161"
"2020-04-18","301","551","0.5462794918330308"
"2020-04-19","295","549","0.5373406193078324"
"2020-04-20","575","1080","0.5324074074074074"
"2020-04-21","586","1091","0.537121906507791"
"2020-04-22","585","1069","0.5472404115996258"
"2020-04-23","645","1256","0.5135350318471338"
"2020-04-24","548","1089","0.5032139577594124"
"2020-04-25","288","561","0.5133689839572193"
"2020-04-26","367","612","0.5996732026143791"
"2020-04-27","559","1098","0.5091074681238615"
"2020-04-28","525","1112","0.4721223021582734"
