date,count,total_count,ratio
"2020-01-01","0","156","0"
"2020-01-02","0","372","0"
"2020-01-03","0","418","0"
"2020-01-04","0","258","0"
"2020-01-05","0","227","0"
"2020-01-06","0","372","0"
"2020-01-07","0","424","0"
"2020-01-08","0","385","0"
"2020-01-09","0","401","0"
"2020-01-10","0","373","0"
"2020-01-11","0","181","0"
"2020-01-12","0","187","0"
"2020-01-13","0","371","0"
"2020-01-14","0","377","0"
"2020-01-15","1","415","0.0024096385542168677"
"2020-01-16","0","420","0"
"2020-01-17","0","363","0"
"2020-01-18","0","202","0"
"2020-01-19","0","188","0"
"2020-01-20","0","382","0"
"2020-01-21","0","442","0"
"2020-01-22","0","413","0"
"2020-01-23","0","442","0"
"2020-01-24","0","397","0"
"2020-01-25","0","195","0"
"2020-01-26","0","220","0"
"2020-01-27","0","350","0"
"2020-01-28","0","401","0"
"2020-01-29","0","381","0"
"2020-01-30","0","403","0"
"2020-01-31","0","320","0"
"2020-02-01","0","212","0"
"2020-02-02","0","191","0"
"2020-02-03","0","305","0"
"2020-02-04","0","364","0"
"2020-02-05","0","399","0"
"2020-02-06","0","418","0"
"2020-02-07","0","409","0"
"2020-02-08","0","214","0"
"2020-02-09","0","232","0"
"2020-02-10","0","382","0"
"2020-02-11","10","455","0.02197802197802198"
"2020-02-12","9","410","0.02195121951219512"
"2020-02-13","9","396","0.022727272727272728"
"2020-02-14","13","408","0.031862745098039214"
"2020-02-15","9","223","0.04035874439461883"
"2020-02-16","8","212","0.03773584905660377"
"2020-02-17","12","359","0.033426183844011144"
"2020-02-18","8","423","0.018912529550827423"
"2020-02-19","16","487","0.03285420944558522"
"2020-02-20","12","466","0.02575107296137339"
"2020-02-21","11","399","0.02756892230576441"
"2020-02-22","6","227","0.02643171806167401"
"2020-02-23","2","254","0.007874015748031496"
"2020-02-24","5","280","0.017857142857142856"
"2020-02-25","14","319","0.0438871473354232"
"2020-02-26","34","487","0.06981519507186858"
"2020-02-27","27","465","0.05806451612903226"
"2020-02-28","34","436","0.0779816513761468"
"2020-02-29","37","268","0.13805970149253732"
"2020-03-01","37","270","0.13703703703703704"
"2020-03-02","77","457","0.16849015317286653"
"2020-03-03","70","495","0.1414141414141414"
"2020-03-04","55","507","0.10848126232741617"
"2020-03-05","62","465","0.13333333333333333"
"2020-03-06","57","429","0.13286713286713286"
"2020-03-07","30","273","0.10989010989010989"
"2020-03-08","23","245","0.09387755102040816"
"2020-03-09","65","429","0.15151515151515152"
"2020-03-10","70","525","0.13333333333333333"
"2020-03-11","76","548","0.1386861313868613"
"2020-03-12","138","550","0.2509090909090909"
"2020-03-13","134","489","0.2740286298568507"
"2020-03-14","98","361","0.27146814404432135"
"2020-03-15","100","343","0.2915451895043732"
"2020-03-16","177","504","0.35119047619047616"
"2020-03-17","176","535","0.32897196261682243"
"2020-03-18","179","579","0.30915371329879104"
"2020-03-19","190","571","0.3327495621716287"
"2020-03-20","198","529","0.3742911153119093"
"2020-03-21","126","361","0.3490304709141274"
"2020-03-22","132","361","0.3656509695290859"
"2020-03-23","205","536","0.3824626865671642"
"2020-03-24","215","579","0.37132987910189985"
"2020-03-25","198","559","0.3542039355992844"
"2020-03-26","208","538","0.38661710037174724"
"2020-03-27","189","497","0.38028169014084506"
"2020-03-28","148","362","0.4088397790055249"
"2020-03-29","132","293","0.45051194539249145"
"2020-03-30","216","502","0.4302788844621514"
"2020-03-31","198","505","0.3920792079207921"
"2020-04-01","247","601","0.41098169717138106"
"2020-04-02","217","542","0.4003690036900369"
"2020-04-03","210","533","0.39399624765478425"
"2020-04-04","110","329","0.3343465045592705"
"2020-04-05","118","325","0.3630769230769231"
"2020-04-06","196","493","0.3975659229208925"
"2020-04-07","190","536","0.35447761194029853"
"2020-04-08","187","559","0.334525939177102"
"2020-04-09","203","536","0.3787313432835821"
"2020-04-10","140","386","0.3626943005181347"
"2020-04-11","130","338","0.38461538461538464"
"2020-04-12","139","382","0.36387434554973824"
"2020-04-13","244","605","0.4033057851239669"
"2020-04-14","191","471","0.40552016985138006"
"2020-04-15","228","642","0.35514018691588783"
"2020-04-16","211","589","0.35823429541595925"
"2020-04-17","241","577","0.41767764298093585"
"2020-04-18","135","351","0.38461538461538464"
"2020-04-19","121","341","0.3548387096774194"
"2020-04-20","229","577","0.3968804159445407"
"2020-04-21","236","619","0.38126009693053314"
"2020-04-22","236","661","0.35703479576399394"
"2020-04-23","239","644","0.37111801242236025"
"2020-04-24","221","620","0.3564516129032258"
"2020-04-25","124","360","0.34444444444444444"
"2020-04-26","126","351","0.358974358974359"
"2020-04-27","219","602","0.3637873754152824"
"2020-04-28","215","599","0.3589315525876461"
"2020-04-29","202","572","0.3531468531468531"
"2020-04-30","197","578","0.3408304498269896"
"2020-05-01","142","447","0.31767337807606266"
"2020-05-02","118","340","0.34705882352941175"
"2020-05-03","108","345","0.3130434782608696"
"2020-05-04","164","547","0.29981718464351004"
"2020-05-05","180","589","0.30560271646859083"
"2020-05-06","194","620","0.31290322580645163"
"2020-05-07","203","635","0.31968503937007875"
"2020-05-08","204","617","0.33063209076175043"
"2020-05-09","98","333","0.29429429429429427"
"2020-05-10","97","330","0.29393939393939394"
"2020-05-11","192","549","0.34972677595628415"
"2020-05-12","177","557","0.3177737881508079"
"2020-05-13","209","609","0.34318555008210183"
"2020-05-14","169","587","0.2879045996592845"
"2020-05-15","175","584","0.2996575342465753"
"2020-05-16","94","344","0.27325581395348836"
"2020-05-17","106","333","0.3183183183183183"
"2020-05-18","191","543","0.35174953959484345"
"2020-05-19","171","595","0.28739495798319326"
"2020-05-20","156","587","0.2657580919931857"
"2020-05-21","176","619","0.284329563812601"
"2020-05-22","169","559","0.3023255813953488"
"2020-05-23","99","361","0.2742382271468144"
"2020-05-24","100","323","0.30959752321981426"
"2020-05-25","141","470","0.3"
"2020-05-26","182","571","0.318739054290718"
"2020-05-27","203","602","0.3372093023255814"
"2020-05-28","180","620","0.2903225806451613"
"2020-05-29","143","547","0.26142595978062155"
"2020-05-30","71","348","0.20402298850574713"
"2020-05-31","99","315","0.3142857142857143"
"2020-06-01","152","537","0.28305400372439476"
"2020-06-02","135","609","0.22167487684729065"
"2020-06-03","159","665","0.23909774436090225"
"2020-06-04","160","665","0.24060150375939848"
"2020-06-05","150","564","0.26595744680851063"
"2020-06-06","80","332","0.24096385542168675"
"2020-06-07","82","313","0.26198083067092653"
"2020-06-08","170","597","0.2847571189279732"
"2020-06-09","139","573","0.2425828970331588"
"2020-06-10","137","607","0.2257001647446458"
"2020-06-11","158","599","0.2637729549248748"
"2020-06-12","126","535","0.23551401869158878"
"2020-06-13","59","283","0.20848056537102475"
"2020-06-14","61","282","0.21631205673758866"
"2020-06-15","150","552","0.2717391304347826"
"2020-06-16","152","579","0.26252158894645944"
