date,count,total_count,ratio
"2020-01-01","0","130","0"
"2020-01-02","0","209","0"
"2020-01-03","1","227","0.004405286343612335"
"2020-01-04","0","174","0"
"2020-01-05","0","173","0"
"2020-01-06","0","243","0"
"2020-01-07","0","256","0"
"2020-01-08","1","272","0.003676470588235294"
"2020-01-09","0","268","0"
"2020-01-10","0","203","0"
"2020-01-11","1","158","0.006329113924050633"
"2020-01-12","0","157","0"
"2020-01-13","0","261","0"
"2020-01-14","0","225","0"
"2020-01-15","1","276","0.0036231884057971015"
"2020-01-16","0","259","0"
"2020-01-17","0","206","0"
"2020-01-18","0","157","0"
"2020-01-19","1","135","0.007407407407407408"
"2020-01-20","0","244","0"
"2020-01-21","0","262","0"
"2020-01-22","0","241","0"
"2020-01-23","0","287","0"
"2020-01-24","0","228","0"
"2020-01-25","0","108","0"
"2020-01-26","0","183","0"
"2020-01-27","0","289","0"
"2020-01-28","0","287","0"
"2020-01-29","0","258","0"
"2020-01-30","0","242","0"
"2020-01-31","0","212","0"
"2020-02-01","0","176","0"
"2020-02-02","1","164","0.006097560975609756"
"2020-02-03","1","189","0.005291005291005291"
"2020-02-04","0","147","0"
"2020-02-05","0","148","0"
"2020-02-06","0","185","0"
"2020-02-07","0","167","0"
"2020-02-08","0","108","0"
"2020-02-09","0","111","0"
"2020-02-10","0","184","0"
"2020-02-11","6","149","0.040268456375838924"
"2020-02-12","5","197","0.025380710659898477"
"2020-02-13","8","174","0.04597701149425287"
"2020-02-14","6","134","0.04477611940298507"
"2020-02-15","2","103","0.019417475728155338"
"2020-02-16","9","90","0.1"
"2020-02-17","12","177","0.06779661016949153"
"2020-02-18","8","186","0.043010752688172046"
"2020-02-19","8","271","0.02952029520295203"
"2020-02-20","7","261","0.02681992337164751"
"2020-02-21","9","235","0.03829787234042553"
"2020-02-22","8","166","0.04819277108433735"
"2020-02-23","7","159","0.0440251572327044"
"2020-02-24","10","281","0.03558718861209965"
"2020-02-25","23","297","0.07744107744107744"
"2020-02-26","23","276","0.08333333333333333"
"2020-02-27","18","262","0.06870229007633588"
"2020-02-28","21","250","0.084"
"2020-02-29","16","216","0.07407407407407407"
"2020-03-01","22","194","0.1134020618556701"
"2020-03-02","29","259","0.11196911196911197"
"2020-03-03","32","279","0.11469534050179211"
"2020-03-04","32","302","0.10596026490066225"
"2020-03-05","30","264","0.11363636363636363"
"2020-03-06","39","263","0.1482889733840304"
"2020-03-07","32","194","0.16494845360824742"
"2020-03-08","33","176","0.1875"
"2020-03-09","47","309","0.15210355987055016"
"2020-03-10","47","314","0.14968152866242038"
"2020-03-11","85","295","0.288135593220339"
"2020-03-12","113","308","0.36688311688311687"
"2020-03-13","102","268","0.3805970149253731"
"2020-03-14","62","208","0.2980769230769231"
"2020-03-15","77","192","0.4010416666666667"
"2020-03-16","136","264","0.5151515151515151"
"2020-03-17","163","329","0.49544072948328266"
"2020-03-18","147","313","0.4696485623003195"
"2020-03-19","150","290","0.5172413793103449"
"2020-03-20","149","282","0.5283687943262412"
"2020-03-21","109","207","0.5265700483091788"
"2020-03-22","79","159","0.4968553459119497"
"2020-03-23","132","254","0.5196850393700787"
"2020-03-24","165","282","0.5851063829787234"
"2020-03-25","155","257","0.603112840466926"
"2020-03-26","134","241","0.5560165975103735"
"2020-03-27","109","198","0.5505050505050505"
"2020-03-28","65","131","0.4961832061068702"
"2020-03-29","74","127","0.5826771653543307"
"2020-03-30","121","222","0.545045045045045"
"2020-03-31","115","216","0.5324074074074074"
"2020-04-01","117","226","0.5176991150442478"
"2020-04-02","138","233","0.592274678111588"
"2020-04-03","106","189","0.5608465608465608"
"2020-04-04","72","135","0.5333333333333333"
"2020-04-05","90","145","0.6206896551724138"
