date,count,total_count,ratio
"2020-01-01","0","10","0"
"2020-01-02","0","13","0"
"2020-01-03","0","15","0"
"2020-01-04","0","11","0"
"2020-01-05","0","12","0"
"2020-01-06","0","13","0"
"2020-01-07","0","25","0"
"2020-01-08","0","19","0"
"2020-01-09","0","25","0"
"2020-01-10","0","18","0"
"2020-01-11","0","7","0"
"2020-01-12","0","12","0"
"2020-01-13","0","19","0"
"2020-01-14","0","13","0"
"2020-01-15","0","16","0"
"2020-01-16","0","19","0"
"2020-01-17","0","14","0"
"2020-01-18","0","6","0"
"2020-01-19","0","5","0"
"2020-01-20","0","26","0"
"2020-01-21","0","21","0"
"2020-01-22","0","31","0"
"2020-01-23","0","23","0"
"2020-01-24","0","11","0"
"2020-01-25","0","12","0"
"2020-01-26","0","16","0"
"2020-01-27","1","27","0.037037037037037035"
"2020-01-28","0","25","0"
"2020-01-29","0","16","0"
"2020-01-30","0","21","0"
"2020-01-31","0","28","0"
"2020-02-01","0","12","0"
"2020-02-02","0","9","0"
"2020-02-03","0","24","0"
"2020-02-04","0","25","0"
"2020-02-05","0","24","0"
"2020-02-06","0","33","0"
"2020-02-07","0","18","0"
"2020-02-08","0","8","0"
"2020-02-09","0","4","0"
"2020-02-10","0","21","0"
"2020-02-11","0","22","0"
"2020-02-12","0","15","0"
"2020-02-13","0","32","0"
"2020-02-14","1","12","0.08333333333333333"
"2020-02-15","1","9","0.1111111111111111"
"2020-02-16","1","12","0.08333333333333333"
"2020-02-17","0","19","0"
"2020-02-18","3","26","0.11538461538461539"
"2020-02-19","2","25","0.08"
"2020-02-20","2","20","0.1"
"2020-02-21","0","19","0"
"2020-02-22","1","12","0.08333333333333333"
"2020-02-23","0","4","0"
"2020-02-24","2","33","0.06060606060606061"
"2020-02-25","0","17","0"
"2020-02-26","8","35","0.22857142857142856"
"2020-02-27","2","20","0.1"
"2020-02-28","4","24","0.16666666666666666"
"2020-02-29","0","6","0"
"2020-03-01","2","9","0.2222222222222222"
"2020-03-02","4","26","0.15384615384615385"
"2020-03-03","10","20","0.5"
"2020-03-04","8","19","0.42105263157894735"
"2020-03-05","3","18","0.16666666666666666"
"2020-03-06","2","18","0.1111111111111111"
"2020-03-07","4","16","0.25"
"2020-03-08","0","11","0"
"2020-03-09","5","30","0.16666666666666666"
"2020-03-10","11","30","0.36666666666666664"
"2020-03-11","6","34","0.17647058823529413"
"2020-03-12","10","22","0.45454545454545453"
"2020-03-13","23","40","0.575"
"2020-03-14","8","16","0.5"
"2020-03-15","6","14","0.42857142857142855"
"2020-03-16","12","23","0.5217391304347826"
"2020-03-17","15","28","0.5357142857142857"
"2020-03-18","22","30","0.7333333333333333"
"2020-03-19","20","35","0.5714285714285714"
"2020-03-20","13","30","0.43333333333333335"
"2020-03-21","2","9","0.2222222222222222"
"2020-03-22","3","12","0.25"
"2020-03-23","10","28","0.35714285714285715"
"2020-03-24","17","36","0.4722222222222222"
"2020-03-25","21","36","0.5833333333333334"
"2020-03-26","17","26","0.6538461538461539"
"2020-03-27","11","27","0.4074074074074074"
"2020-03-28","7","12","0.5833333333333334"
"2020-03-29","5","9","0.5555555555555556"
"2020-03-30","15","19","0.7894736842105263"
"2020-03-31","12","29","0.41379310344827586"
"2020-04-01","15","28","0.5357142857142857"
"2020-04-02","15","27","0.5555555555555556"
"2020-04-03","17","28","0.6071428571428571"
"2020-04-04","6","13","0.46153846153846156"
"2020-04-05","4","9","0.4444444444444444"
"2020-04-06","10","16","0.625"
"2020-04-07","26","38","0.6842105263157895"
"2020-04-08","14","24","0.5833333333333334"
"2020-04-09","14","23","0.6086956521739131"
"2020-04-10","11","12","0.9166666666666666"
"2020-04-11","17","26","0.6538461538461539"
"2020-04-12","7","16","0.4375"
"2020-04-13","7","19","0.3684210526315789"
"2020-04-14","20","25","0.8"
"2020-04-15","11","15","0.7333333333333333"
"2020-04-16","19","26","0.7307692307692307"
"2020-04-17","16","26","0.6153846153846154"
"2020-04-18","8","16","0.5"
"2020-04-19","1","3","0.3333333333333333"
"2020-04-20","20","34","0.5882352941176471"
