date,count,total_count,ratio
"2020-01-01","0","54","0"
"2020-01-02","0","36","0"
"2020-01-03","0","78","0"
"2020-01-04","0","72","0"
"2020-01-05","0","63","0"
"2020-01-06","0","75","0"
"2020-01-07","0","75","0"
"2020-01-08","0","79","0"
"2020-01-09","0","89","0"
"2020-01-10","0","75","0"
"2020-01-11","0","76","0"
"2020-01-12","0","62","0"
"2020-01-13","0","64","0"
"2020-01-14","0","91","0"
"2020-01-15","0","89","0"
"2020-01-16","0","81","0"
"2020-01-17","0","68","0"
"2020-01-18","0","73","0"
"2020-01-19","0","81","0"
"2020-01-20","0","84","0"
"2020-01-21","0","73","0"
"2020-01-22","0","67","0"
"2020-01-23","0","73","0"
"2020-01-24","0","76","0"
"2020-01-25","0","53","0"
"2020-01-26","0","65","0"
"2020-01-27","0","83","0"
"2020-01-28","0","81","0"
"2020-01-29","0","80","0"
"2020-01-30","0","85","0"
"2020-01-31","0","78","0"
"2020-02-01","0","60","0"
"2020-02-02","0","65","0"
"2020-02-03","0","85","0"
"2020-02-04","0","70","0"
"2020-02-05","0","74","0"
"2020-02-06","0","81","0"
"2020-02-07","0","66","0"
"2020-02-08","0","69","0"
"2020-02-09","2","56","0.03571428571428571"
"2020-02-10","0","72","0"
"2020-02-11","1","76","0.013157894736842105"
"2020-02-12","0","82","0"
"2020-02-13","1","70","0.014285714285714285"
"2020-02-14","1","80","0.0125"
"2020-02-15","1","62","0.016129032258064516"
"2020-02-16","0","58","0"
"2020-02-17","1","63","0.015873015873015872"
"2020-02-18","1","80","0.0125"
"2020-02-19","1","73","0.0136986301369863"
"2020-02-20","1","88","0.011363636363636364"
"2020-02-21","0","90","0"
"2020-02-22","0","77","0"
"2020-02-23","0","85","0"
"2020-02-24","0","73","0"
"2020-02-25","2","73","0.0273972602739726"
"2020-02-26","2","74","0.02702702702702703"
"2020-02-27","1","85","0.011764705882352941"
"2020-02-28","3","87","0.034482758620689655"
"2020-02-29","3","89","0.033707865168539325"
"2020-03-01","1","85","0.011764705882352941"
"2020-03-02","3","75","0.04"
"2020-03-03","4","78","0.05128205128205128"
"2020-03-04","1","74","0.013513513513513514"
"2020-03-05","3","100","0.03"
"2020-03-06","1","95","0.010526315789473684"
"2020-03-07","2","94","0.02127659574468085"
"2020-03-08","0","83","0"
"2020-03-09","1","73","0.0136986301369863"
"2020-03-10","9","80","0.1125"
"2020-03-11","10","104","0.09615384615384616"
"2020-03-12","21","106","0.19811320754716982"
"2020-03-13","24","117","0.20512820512820512"
"2020-03-14","20","90","0.2222222222222222"
"2020-03-15","22","86","0.2558139534883721"
"2020-03-16","18","77","0.23376623376623376"
