date,count,total_count,ratio
"2020-01-01","0","42","0"
"2020-01-02","0","43","0"
"2020-01-03","1","47","0.02127659574468085"
"2020-01-04","0","22","0"
"2020-01-05","0","32","0"
"2020-01-06","0","46","0"
"2020-01-07","0","46","0"
"2020-01-08","0","45","0"
"2020-01-09","0","53","0"
"2020-01-10","0","35","0"
"2020-01-11","0","42","0"
"2020-01-12","0","41","0"
"2020-01-13","0","47","0"
"2020-01-14","0","48","0"
"2020-01-15","0","41","0"
"2020-01-16","0","59","0"
"2020-01-17","0","45","0"
"2020-01-18","0","34","0"
"2020-01-19","0","29","0"
"2020-01-20","0","47","0"
"2020-01-21","0","37","0"
"2020-01-22","0","58","0"
"2020-01-23","1","45","0.022222222222222223"
"2020-01-24","0","48","0"
"2020-01-25","0","36","0"
"2020-01-26","0","30","0"
"2020-01-27","1","50","0.02"
"2020-01-28","0","58","0"
"2020-01-29","0","45","0"
"2020-01-30","0","51","0"
"2020-01-31","0","44","0"
"2020-02-01","0","27","0"
"2020-02-02","0","33","0"
"2020-02-03","0","46","0"
"2020-02-04","0","41","0"
"2020-02-05","0","54","0"
"2020-02-06","0","48","0"
"2020-02-07","0","46","0"
"2020-02-08","0","28","0"
"2020-02-09","0","36","0"
"2020-02-10","0","58","0"
"2020-02-11","0","45","0"
"2020-02-12","4","64","0.0625"
"2020-02-13","7","41","0.17073170731707318"
"2020-02-14","1","35","0.02857142857142857"
"2020-02-15","1","27","0.037037037037037035"
"2020-02-16","4","29","0.13793103448275862"
"2020-02-17","1","43","0.023255813953488372"
"2020-02-18","2","49","0.04081632653061224"
"2020-02-19","1","63","0.015873015873015872"
"2020-02-20","3","47","0.06382978723404255"
"2020-02-21","2","46","0.043478260869565216"
"2020-02-22","2","37","0.05405405405405406"
"2020-02-23","1","38","0.02631578947368421"
"2020-02-24","1","44","0.022727272727272728"
"2020-02-25","2","41","0.04878048780487805"
"2020-02-26","3","46","0.06521739130434782"
"2020-02-27","8","49","0.16326530612244897"
"2020-02-28","6","44","0.13636363636363635"
"2020-02-29","7","32","0.21875"
"2020-03-01","2","32","0.0625"
"2020-03-02","8","49","0.16326530612244897"
"2020-03-03","4","36","0.1111111111111111"
"2020-03-04","5","52","0.09615384615384616"
"2020-03-05","4","37","0.10810810810810811"
"2020-03-06","7","55","0.12727272727272726"
"2020-03-07","2","33","0.06060606060606061"
"2020-03-08","7","40","0.175"
"2020-03-09","9","56","0.16071428571428573"
"2020-03-10","10","48","0.20833333333333334"
"2020-03-11","6","56","0.10714285714285714"
"2020-03-12","8","42","0.19047619047619047"
"2020-03-13","12","42","0.2857142857142857"
"2020-03-14","13","32","0.40625"
"2020-03-15","14","36","0.3888888888888889"
"2020-03-16","20","44","0.45454545454545453"
"2020-03-17","34","54","0.6296296296296297"
"2020-03-18","28","56","0.5"
"2020-03-19","23","55","0.41818181818181815"
"2020-03-20","30","79","0.379746835443038"
"2020-03-21","23","41","0.5609756097560976"
"2020-03-22","12","20","0.6"
"2020-03-23","29","55","0.5272727272727272"
"2020-03-24","38","60","0.6333333333333333"
"2020-03-25","28","49","0.5714285714285714"
"2020-03-26","30","52","0.5769230769230769"
"2020-03-27","22","44","0.5"
"2020-03-28","30","44","0.6818181818181818"
"2020-03-29","12","24","0.5"
"2020-03-30","26","49","0.5306122448979592"
"2020-03-31","20","45","0.4444444444444444"
"2020-04-01","33","60","0.55"
"2020-04-02","25","41","0.6097560975609756"
"2020-04-03","27","57","0.47368421052631576"
"2020-04-04","19","39","0.48717948717948717"
"2020-04-05","23","41","0.5609756097560976"
"2020-04-06","21","34","0.6176470588235294"
"2020-04-07","36","60","0.6"
"2020-04-08","19","34","0.5588235294117647"
"2020-04-09","38","66","0.5757575757575758"
"2020-04-10","25","47","0.5319148936170213"
"2020-04-11","17","30","0.5666666666666667"
"2020-04-12","25","44","0.5681818181818182"
"2020-04-13","20","55","0.36363636363636365"
"2020-04-14","35","53","0.660377358490566"
"2020-04-15","26","53","0.49056603773584906"
"2020-04-16","37","57","0.6491228070175439"
"2020-04-17","23","35","0.6571428571428571"
"2020-04-18","20","36","0.5555555555555556"
"2020-04-19","4","15","0.26666666666666666"
"2020-04-20","25","43","0.5813953488372093"
"2020-04-21","22","37","0.5945945945945946"
"2020-04-22","31","50","0.62"
"2020-04-23","27","57","0.47368421052631576"
"2020-04-24","25","40","0.625"
"2020-04-25","10","23","0.43478260869565216"
"2020-04-26","12","23","0.5217391304347826"
"2020-04-27","24","38","0.631578947368421"
"2020-04-28","31","49","0.6326530612244898"
"2020-04-29","26","62","0.41935483870967744"
"2020-04-30","28","45","0.6222222222222222"
"2020-05-01","15","32","0.46875"
"2020-05-02","10","22","0.45454545454545453"
"2020-05-03","13","20","0.65"
"2020-05-04","19","32","0.59375"
"2020-05-05","41","77","0.5324675324675324"
"2020-05-06","24","45","0.5333333333333333"
"2020-05-07","24","45","0.5333333333333333"
"2020-05-08","22","38","0.5789473684210527"
"2020-05-09","14","29","0.4827586206896552"
"2020-05-10","19","32","0.59375"
"2020-05-11","25","55","0.45454545454545453"
"2020-05-12","25","51","0.49019607843137253"
"2020-05-13","33","59","0.559322033898305"
"2020-05-14","21","44","0.4772727272727273"
"2020-05-15","23","42","0.5476190476190477"
"2020-05-16","13","23","0.5652173913043478"
"2020-05-17","11","23","0.4782608695652174"
"2020-05-18","13","18","0.7222222222222222"
"2020-05-19","34","53","0.6415094339622641"
"2020-05-20","23","49","0.46938775510204084"
"2020-05-21","17","29","0.5862068965517241"
"2020-05-22","17","28","0.6071428571428571"
"2020-05-23","50","65","0.7692307692307693"
"2020-05-24","11","20","0.55"
"2020-05-25","23","50","0.46"
"2020-05-26","27","52","0.5192307692307693"
"2020-05-27","14","36","0.3888888888888889"
"2020-05-28","30","61","0.4918032786885246"
"2020-05-29","18","39","0.46153846153846156"
"2020-05-30","16","24","0.6666666666666666"
"2020-05-31","9","22","0.4090909090909091"
