date,count,total_count,ratio
"2020-01-01","0","128","0"
"2020-01-02","0","190","0"
"2020-01-03","0","203","0"
"2020-01-04","0","162","0"
"2020-01-05","0","162","0"
"2020-01-06","0","215","0"
"2020-01-07","0","229","0"
"2020-01-08","0","272","0"
"2020-01-09","0","226","0"
"2020-01-10","0","244","0"
"2020-01-11","0","143","0"
"2020-01-12","0","162","0"
"2020-01-13","0","203","0"
"2020-01-14","0","233","0"
"2020-01-15","0","234","0"
"2020-01-16","0","198","0"
"2020-01-17","0","213","0"
"2020-01-18","0","164","0"
"2020-01-19","0","156","0"
"2020-01-20","0","206","0"
"2020-01-21","0","248","0"
"2020-01-22","0","257","0"
"2020-01-23","0","271","0"
"2020-01-24","0","246","0"
"2020-01-25","0","174","0"
"2020-01-26","0","247","0"
"2020-01-27","0","285","0"
"2020-01-28","0","250","0"
"2020-01-29","0","290","0"
"2020-01-30","0","211","0"
"2020-01-31","0","205","0"
"2020-02-01","0","148","0"
"2020-02-02","0","140","0"
"2020-02-03","0","204","0"
"2020-02-04","0","216","0"
"2020-02-05","0","257","0"
"2020-02-06","0","222","0"
"2020-02-07","0","239","0"
"2020-02-08","0","156","0"
"2020-02-09","0","161","0"
"2020-02-10","0","232","0"
"2020-02-11","12","268","0.04477611940298507"
"2020-02-12","14","284","0.04929577464788732"
"2020-02-13","16","224","0.07142857142857142"
"2020-02-14","11","249","0.04417670682730924"
"2020-02-15","6","163","0.03680981595092025"
"2020-02-16","9","153","0.058823529411764705"
"2020-02-17","8","222","0.036036036036036036"
"2020-02-18","21","253","0.08300395256916997"
"2020-02-19","23","280","0.08214285714285714"
"2020-02-20","13","250","0.052"
"2020-02-21","15","256","0.05859375"
"2020-02-22","9","177","0.05084745762711865"
"2020-02-23","8","161","0.049689440993788817"
"2020-02-24","8","230","0.034782608695652174"
"2020-02-25","25","296","0.08445945945945946"
"2020-02-26","24","252","0.09523809523809523"
"2020-02-27","32","247","0.12955465587044535"
"2020-02-28","32","243","0.13168724279835392"
"2020-02-29","20","197","0.10152284263959391"
"2020-03-01","13","178","0.07303370786516854"
"2020-03-02","23","235","0.09787234042553192"
"2020-03-03","29","355","0.08169014084507042"
"2020-03-04","33","285","0.11578947368421053"
"2020-03-05","24","300","0.08"
"2020-03-06","39","245","0.15918367346938775"
"2020-03-07","33","216","0.1527777777777778"
"2020-03-08","29","183","0.15846994535519127"
"2020-03-09","38","250","0.152"
"2020-03-10","61","309","0.19741100323624594"
"2020-03-11","117","316","0.370253164556962"
"2020-03-12","121","281","0.4306049822064057"
"2020-03-13","105","264","0.3977272727272727"
"2020-03-14","77","197","0.39086294416243655"
"2020-03-15","90","195","0.46153846153846156"
"2020-03-16","150","297","0.5050505050505051"
"2020-03-17","159","292","0.5445205479452054"
"2020-03-18","161","294","0.5476190476190477"
"2020-03-19","155","263","0.5893536121673004"
"2020-03-20","139","253","0.549407114624506"
