date,count,total_count,ratio
"2020-01-01","0","79","0"
"2020-01-02","0","116","0"
"2020-01-03","0","124","0"
"2020-01-04","0","69","0"
"2020-01-05","0","92","0"
"2020-01-06","0","105","0"
"2020-01-07","0","119","0"
"2020-01-08","0","104","0"
"2020-01-09","0","102","0"
"2020-01-10","1","130","0.007692307692307693"
"2020-01-11","0","85","0"
"2020-01-12","0","100","0"
"2020-01-13","0","115","0"
"2020-01-14","0","109","0"
"2020-01-15","4","136","0.029411764705882353"
"2020-01-16","0","116","0"
"2020-01-17","0","120","0"
"2020-01-18","0","86","0"
"2020-01-19","0","91","0"
"2020-01-20","0","133","0"
"2020-01-21","0","110","0"
"2020-01-22","0","158","0"
"2020-01-23","0","100","0"
"2020-01-24","0","166","0"
"2020-01-25","0","81","0"
"2020-01-26","0","99","0"
"2020-01-27","0","121","0"
"2020-01-28","0","128","0"
"2020-01-29","0","116","0"
"2020-01-30","0","142","0"
"2020-01-31","0","120","0"
"2020-02-01","0","62","0"
"2020-02-02","0","80","0"
"2020-02-03","0","93","0"
"2020-02-04","1","122","0.00819672131147541"
"2020-02-05","0","126","0"
"2020-02-06","0","104","0"
"2020-02-07","0","141","0"
"2020-02-08","0","58","0"
"2020-02-09","0","85","0"
"2020-02-10","0","131","0"
"2020-02-11","1","128","0.0078125"
"2020-02-12","1","152","0.006578947368421052"
"2020-02-13","3","120","0.025"
"2020-02-14","3","144","0.020833333333333332"
"2020-02-15","3","54","0.05555555555555555"
"2020-02-16","5","72","0.06944444444444445"
"2020-02-17","5","141","0.03546099290780142"
"2020-02-18","3","107","0.028037383177570093"
"2020-02-19","7","174","0.040229885057471264"
"2020-02-20","5","120","0.041666666666666664"
"2020-02-21","5","135","0.037037037037037035"
"2020-02-22","3","68","0.04411764705882353"
"2020-02-23","0","74","0"
"2020-02-24","3","108","0.027777777777777776"
"2020-02-25","4","115","0.034782608695652174"
"2020-02-26","8","117","0.06837606837606838"
"2020-02-27","8","130","0.06153846153846154"
"2020-02-28","5","117","0.042735042735042736"
"2020-02-29","8","73","0.1095890410958904"
"2020-03-01","6","90","0.06666666666666667"
"2020-03-02","4","88","0.045454545454545456"
"2020-03-03","12","103","0.11650485436893204"
"2020-03-04","26","136","0.19117647058823528"
"2020-03-05","12","108","0.1111111111111111"
"2020-03-06","21","147","0.14285714285714285"
"2020-03-07","11","63","0.1746031746031746"
"2020-03-08","8","80","0.1"
"2020-03-09","11","127","0.08661417322834646"
"2020-03-10","25","107","0.2336448598130841"
"2020-03-11","29","130","0.2230769230769231"
"2020-03-12","48","121","0.39669421487603307"
"2020-03-13","69","159","0.4339622641509434"
"2020-03-14","44","88","0.5"
"2020-03-15","59","105","0.5619047619047619"
"2020-03-16","67","135","0.4962962962962963"
"2020-03-17","76","147","0.5170068027210885"
"2020-03-18","90","158","0.569620253164557"
"2020-03-19","66","131","0.5038167938931297"
"2020-03-20","109","202","0.5396039603960396"
"2020-03-21","52","98","0.5306122448979592"
"2020-03-22","49","88","0.5568181818181818"
"2020-03-23","72","156","0.46153846153846156"
"2020-03-24","71","155","0.45806451612903226"
"2020-03-25","74","138","0.5362318840579711"
"2020-03-26","81","150","0.54"
"2020-03-27","85","152","0.5592105263157895"
"2020-03-28","34","87","0.39080459770114945"
"2020-03-29","47","80","0.5875"
"2020-03-30","72","132","0.5454545454545454"
"2020-03-31","86","165","0.5212121212121212"
"2020-04-01","71","135","0.5259259259259259"
"2020-04-02","55","111","0.4954954954954955"
"2020-04-03","67","127","0.5275590551181102"
"2020-04-04","43","68","0.6323529411764706"
"2020-04-05","58","100","0.58"
"2020-04-06","89","165","0.5393939393939394"
"2020-04-07","59","116","0.5086206896551724"
"2020-04-08","68","145","0.4689655172413793"
"2020-04-09","88","166","0.5301204819277109"
"2020-04-10","43","63","0.6825396825396826"
"2020-04-11","41","70","0.5857142857142857"
"2020-04-12","50","89","0.5617977528089888"
"2020-04-13","56","111","0.5045045045045045"
"2020-04-14","74","130","0.5692307692307692"
"2020-04-15","100","181","0.5524861878453039"
"2020-04-16","98","156","0.6282051282051282"
"2020-04-17","96","167","0.5748502994011976"
"2020-04-18","54","83","0.6506024096385542"
"2020-04-19","48","98","0.4897959183673469"
"2020-04-20","99","186","0.532258064516129"
"2020-04-21","89","179","0.4972067039106145"
"2020-04-22","85","157","0.5414012738853503"
"2020-04-23","66","145","0.45517241379310347"
"2020-04-24","76","147","0.5170068027210885"
"2020-04-25","37","85","0.43529411764705883"
"2020-04-26","59","101","0.5841584158415841"
"2020-04-27","69","129","0.5348837209302325"
"2020-04-28","74","137","0.5401459854014599"
"2020-04-29","97","169","0.5739644970414202"
"2020-04-30","80","152","0.5263157894736842"
"2020-05-01","90","150","0.6"
"2020-05-02","46","87","0.5287356321839081"
"2020-05-03","46","108","0.42592592592592593"
"2020-05-04","71","151","0.47019867549668876"
"2020-05-05","74","161","0.45962732919254656"
"2020-05-06","57","128","0.4453125"
"2020-05-07","77","137","0.5620437956204379"
"2020-05-08","83","152","0.5460526315789473"
"2020-05-09","51","101","0.504950495049505"
"2020-05-10","47","88","0.5340909090909091"
"2020-05-11","71","129","0.5503875968992248"
"2020-05-12","74","149","0.4966442953020134"
"2020-05-13","87","161","0.5403726708074534"
"2020-05-14","77","142","0.5422535211267606"
"2020-05-15","102","173","0.5895953757225434"
"2020-05-16","38","83","0.4578313253012048"
"2020-05-17","37","81","0.4567901234567901"
"2020-05-18","62","141","0.4397163120567376"
"2020-05-19","55","131","0.4198473282442748"
"2020-05-20","70","131","0.5343511450381679"
"2020-05-21","66","119","0.5546218487394958"
"2020-05-22","98","165","0.593939393939394"
"2020-05-23","39","73","0.5342465753424658"
"2020-05-24","36","68","0.5294117647058824"
"2020-05-25","45","103","0.4368932038834951"
"2020-05-26","52","115","0.45217391304347826"
"2020-05-27","77","146","0.5273972602739726"
"2020-05-28","47","140","0.3357142857142857"
"2020-05-29","46","116","0.39655172413793105"
"2020-05-30","34","86","0.3953488372093023"
"2020-05-31","47","84","0.5595238095238095"
"2020-06-01","73","134","0.5447761194029851"
"2020-06-02","51","127","0.4015748031496063"
"2020-06-03","44","130","0.3384615384615385"
"2020-06-04","70","184","0.3804347826086957"
"2020-06-05","61","152","0.40131578947368424"
"2020-06-06","36","84","0.42857142857142855"
"2020-06-07","38","79","0.4810126582278481"
"2020-06-08","56","121","0.4628099173553719"
"2020-06-09","52","124","0.41935483870967744"
"2020-06-10","57","156","0.36538461538461536"
"2020-06-11","32","130","0.24615384615384617"
"2020-06-12","61","143","0.42657342657342656"
"2020-06-13","33","81","0.4074074074074074"
"2020-06-14","33","99","0.3333333333333333"
"2020-06-15","64","144","0.4444444444444444"
"2020-06-16","50","138","0.36231884057971014"
"2020-06-17","38","141","0.2695035460992908"
"2020-06-18","42","138","0.30434782608695654"
"2020-06-19","57","155","0.36774193548387096"
"2020-06-20","18","77","0.23376623376623376"
"2020-06-21","37","97","0.38144329896907214"
"2020-06-22","54","189","0.2857142857142857"
"2020-06-23","47","148","0.31756756756756754"
"2020-06-24","57","182","0.3131868131868132"
"2020-06-25","48","158","0.3037974683544304"
"2020-06-26","45","138","0.32608695652173914"
"2020-06-27","27","75","0.36"
"2020-06-28","34","86","0.3953488372093023"
"2020-06-29","42","136","0.3088235294117647"
"2020-06-30","40","134","0.29850746268656714"
"2020-07-01","51","144","0.3541666666666667"
"2020-07-02","38","137","0.2773722627737226"
"2020-07-03","48","173","0.2774566473988439"
"2020-07-04","31","88","0.3522727272727273"
"2020-07-05","20","72","0.2777777777777778"
"2020-07-06","44","142","0.30985915492957744"
"2020-07-07","52","173","0.30057803468208094"
"2020-07-08","68","196","0.3469387755102041"
"2020-07-09","49","144","0.3402777777777778"
"2020-07-10","65","203","0.32019704433497537"
"2020-07-11","30","95","0.3157894736842105"
"2020-07-12","40","125","0.32"
"2020-07-13","40","119","0.33613445378151263"
"2020-07-14","49","169","0.28994082840236685"
"2020-07-15","61","179","0.3407821229050279"
"2020-07-16","49","180","0.2722222222222222"
"2020-07-17","67","186","0.3602150537634409"
"2020-07-18","24","85","0.2823529411764706"
"2020-07-19","34","108","0.3148148148148148"
"2020-07-20","72","220","0.32727272727272727"
"2020-07-21","57","167","0.3413173652694611"
"2020-07-22","61","185","0.32972972972972975"
"2020-07-23","48","172","0.27906976744186046"
"2020-07-24","25","80","0.3125"
"2020-07-25","3","21","0.14285714285714285"
"2020-07-26","11","39","0.28205128205128205"
"2020-07-27","11","35","0.3142857142857143"
"2020-07-28","49","115","0.4260869565217391"
"2020-07-29","54","186","0.2903225806451613"
"2020-07-30","44","140","0.3142857142857143"
"2020-07-31","56","183","0.30601092896174864"
"2020-08-01","27","99","0.2727272727272727"
"2020-08-02","32","111","0.2882882882882883"
"2020-08-03","34","125","0.272"
"2020-08-04","35","120","0.2916666666666667"
"2020-08-05","13","46","0.2826086956521739"
"2020-08-06","8","27","0.2962962962962963"
"2020-08-07","76","179","0.4245810055865922"
"2020-08-08","31","75","0.41333333333333333"
"2020-08-09","46","113","0.40707964601769914"
"2020-08-10","59","164","0.3597560975609756"
"2020-08-11","85","208","0.40865384615384615"
"2020-08-12","66","197","0.3350253807106599"
"2020-08-13","53","148","0.3581081081081081"
"2020-08-14","62","161","0.38509316770186336"
"2020-08-15","33","92","0.358695652173913"
"2020-08-16","46","117","0.39316239316239315"
"2020-08-17","55","156","0.3525641025641026"
"2020-08-18","62","172","0.36046511627906974"
"2020-08-19","70","221","0.3167420814479638"
"2020-08-20","66","179","0.3687150837988827"
"2020-08-21","81","193","0.41968911917098445"
"2020-08-22","38","104","0.36538461538461536"
"2020-08-23","53","127","0.41732283464566927"
"2020-08-24","81","168","0.48214285714285715"
"2020-08-25","66","156","0.4230769230769231"
"2020-08-26","99","189","0.5238095238095238"
"2020-08-27","60","179","0.33519553072625696"
"2020-08-28","79","185","0.42702702702702705"
"2020-08-29","29","95","0.30526315789473685"
"2020-08-30","42","100","0.42"
"2020-08-31","74","151","0.4900662251655629"
"2020-09-01","68","164","0.4146341463414634"
"2020-09-02","83","186","0.44623655913978494"
"2020-09-03","74","207","0.357487922705314"
"2020-09-04","74","232","0.31896551724137934"
"2020-09-05","30","106","0.2830188679245283"
"2020-09-06","50","117","0.42735042735042733"
"2020-09-07","62","159","0.389937106918239"
"2020-09-08","80","172","0.46511627906976744"
"2020-09-09","81","217","0.37327188940092165"
"2020-09-10","86","245","0.3510204081632653"
