date,count,total_count,ratio
"2020-01-01","0","3540","0"
"2020-01-02","0","6216","0"
"2020-01-03","0","6605","0"
"2020-01-04","0","4483","0"
"2020-01-05","0","4575","0"
"2020-01-06","0","7589","0"
"2020-01-07","1","8567","0.0001167269756040621"
"2020-01-08","1","8154","0.0001226391954868776"
"2020-01-09","5","8043","0.0006216585851050603"
"2020-01-10","1","6860","0.0001457725947521866"
"2020-01-11","0","4524","0"
"2020-01-12","0","4576","0"
"2020-01-13","0","7427","0"
"2020-01-14","0","8468","0"
"2020-01-15","3","8271","0.0003627130939426913"
"2020-01-16","0","8006","0"
"2020-01-17","1","7200","0.0001388888888888889"
"2020-01-18","0","4483","0"
"2020-01-19","1","5094","0.00019630938358853554"
"2020-01-20","1","7859","0.0001272426517368622"
"2020-01-21","0","8392","0"
"2020-01-22","3","8462","0.0003545261167572678"
"2020-01-23","1","8558","0.00011684973124561814"
"2020-01-24","0","7848","0"
"2020-01-25","0","5077","0"
"2020-01-26","0","5526","0"
"2020-01-27","0","8530","0"
"2020-01-28","0","9041","0"
"2020-01-29","0","8795","0"
"2020-01-30","2","7632","0.0002620545073375262"
"2020-01-31","1","6536","0.0001529987760097919"
"2020-02-01","0","4737","0"
"2020-02-02","1","4390","0.00022779043280182233"
"2020-02-03","2","4778","0.0004185851820845542"
"2020-02-04","1","6809","0.000146864444118079"
"2020-02-05","1","6693","0.00014940983116689077"
"2020-02-06","0","6858","0"
"2020-02-07","7","6953","0.0010067596720839925"
"2020-02-08","3","5094","0.0005889281507656066"
"2020-02-09","3","5466","0.0005488474204171241"
"2020-02-10","5","8418","0.0005939653124257543"
"2020-02-11","181","8966","0.020187374525987064"
"2020-02-12","327","9017","0.03626483309304647"
"2020-02-13","231","8833","0.026151930261519303"
"2020-02-14","229","7683","0.029806065339060262"
"2020-02-15","250","5130","0.04873294346978557"
"2020-02-16","215","5128","0.04192667706708268"
"2020-02-17","253","8146","0.03105818806776332"
"2020-02-18","240","9963","0.02408912978018669"
"2020-02-19","197","9786","0.020130799100756182"
"2020-02-20","234","9087","0.02575107296137339"
"2020-02-21","200","7768","0.025746652935118436"
"2020-02-22","146","4961","0.029429550493852045"
"2020-02-23","145","5290","0.027410207939508508"
"2020-02-24","274","8607","0.0318345532705937"
"2020-02-25","415","9639","0.04305425874053325"
"2020-02-26","575","9616","0.05979617304492513"
"2020-02-27","731","9286","0.07872065474908464"
"2020-02-28","1441","8282","0.1739917894228447"
"2020-02-29","804","5294","0.15187004155647904"
"2020-03-01","659","5796","0.11369910282953762"
"2020-03-02","1179","9206","0.12806865087986097"
"2020-03-03","1009","10258","0.09836225385065314"
"2020-03-04","869","9799","0.08868251862434942"
"2020-03-05","779","9587","0.08125586732032962"
"2020-03-06","648","8102","0.07998025178968156"
"2020-03-07","429","5207","0.0823890916074515"
"2020-03-08","360","5597","0.06432017152045738"
"2020-03-09","678","8033","0.08440184240009958"
"2020-03-10","1097","9421","0.11644199129604076"
