date,count,total_count,ratio
"2020-01-01","0","46","0"
"2020-01-02","0","77","0"
"2020-01-03","0","66","0"
"2020-01-04","0","68","0"
"2020-01-05","0","60","0"
"2020-01-06","0","130","0"
"2020-01-07","0","123","0"
"2020-01-08","0","144","0"
"2020-01-09","0","115","0"
"2020-01-10","0","107","0"
"2020-01-11","0","73","0"
"2020-01-12","0","74","0"
"2020-01-13","0","114","0"
"2020-01-14","0","130","0"
"2020-01-15","0","113","0"
"2020-01-16","0","122","0"
"2020-01-17","0","143","0"
"2020-01-18","0","73","0"
"2020-01-19","0","64","0"
"2020-01-20","0","140","0"
"2020-01-21","0","114","0"
"2020-01-22","0","72","0"
"2020-01-23","0","127","0"
"2020-01-24","0","118","0"
"2020-01-25","0","58","0"
"2020-01-26","0","54","0"
"2020-01-27","0","121","0"
"2020-01-28","0","152","0"
"2020-01-29","0","116","0"
"2020-01-30","0","152","0"
"2020-01-31","0","122","0"
"2020-02-01","0","86","0"
"2020-02-02","0","52","0"
"2020-02-03","0","162","0"
"2020-02-04","0","104","0"
"2020-02-05","0","117","0"
"2020-02-06","0","136","0"
"2020-02-07","0","111","0"
"2020-02-08","0","64","0"
"2020-02-09","0","66","0"
"2020-02-10","0","121","0"
"2020-02-11","6","116","0.05172413793103448"
"2020-02-12","3","125","0.024"
"2020-02-13","5","127","0.03937007874015748"
"2020-02-14","5","117","0.042735042735042736"
"2020-02-15","2","62","0.03225806451612903"
"2020-02-16","4","62","0.06451612903225806"
"2020-02-17","5","136","0.03676470588235294"
"2020-02-18","8","145","0.05517241379310345"
"2020-02-19","5","138","0.036231884057971016"
"2020-02-20","6","149","0.040268456375838924"
"2020-02-21","13","166","0.0783132530120482"
"2020-02-22","3","75","0.04"
"2020-02-23","3","72","0.041666666666666664"
"2020-02-24","12","147","0.08163265306122448"
"2020-02-25","15","137","0.10948905109489052"
"2020-02-26","11","145","0.07586206896551724"
"2020-02-27","12","153","0.0784313725490196"
"2020-02-28","13","127","0.10236220472440945"
"2020-02-29","8","112","0.07142857142857142"
"2020-03-01","10","87","0.11494252873563218"
"2020-03-02","8","130","0.06153846153846154"
"2020-03-03","13","135","0.0962962962962963"
"2020-03-04","15","135","0.1111111111111111"
"2020-03-05","14","129","0.10852713178294573"
"2020-03-06","15","137","0.10948905109489052"
"2020-03-07","11","81","0.13580246913580246"
"2020-03-08","3","60","0.05"
"2020-03-09","29","165","0.17575757575757575"
"2020-03-10","16","136","0.11764705882352941"
"2020-03-11","45","157","0.28662420382165604"
"2020-03-12","62","174","0.3563218390804598"
"2020-03-13","55","170","0.3235294117647059"
"2020-03-14","30","92","0.32608695652173914"
"2020-03-15","38","100","0.38"
"2020-03-16","72","175","0.4114285714285714"
"2020-03-17","63","181","0.34806629834254144"
"2020-03-18","65","164","0.39634146341463417"
"2020-03-19","88","198","0.4444444444444444"
"2020-03-20","75","158","0.47468354430379744"
"2020-03-21","61","104","0.5865384615384616"
"2020-03-22","63","106","0.5943396226415094"
"2020-03-23","89","179","0.4972067039106145"
"2020-03-24","77","169","0.4556213017751479"
"2020-03-25","76","155","0.49032258064516127"
"2020-03-26","86","173","0.49710982658959535"
"2020-03-27","64","137","0.46715328467153283"
"2020-03-28","44","85","0.5176470588235295"
"2020-03-29","42","87","0.4827586206896552"
"2020-03-30","68","158","0.43037974683544306"
"2020-03-31","74","163","0.4539877300613497"
"2020-04-01","90","173","0.5202312138728323"
"2020-04-02","69","173","0.3988439306358382"
"2020-04-03","70","168","0.4166666666666667"
"2020-04-04","42","93","0.45161290322580644"
"2020-04-05","51","100","0.51"
"2020-04-06","56","119","0.47058823529411764"
"2020-04-07","72","160","0.45"
"2020-04-08","57","123","0.4634146341463415"
"2020-04-09","52","102","0.5098039215686274"
"2020-04-10","43","105","0.4095238095238095"
"2020-04-11","31","82","0.3780487804878049"
"2020-04-12","37","90","0.4111111111111111"
"2020-04-13","55","177","0.3107344632768362"
"2020-04-14","58","124","0.46774193548387094"
"2020-04-15","97","206","0.470873786407767"
"2020-04-16","96","196","0.4897959183673469"
"2020-04-17","72","192","0.375"
"2020-04-18","35","106","0.330188679245283"
"2020-04-19","25","109","0.22935779816513763"
"2020-04-20","61","193","0.3160621761658031"
"2020-04-21","81","208","0.3894230769230769"
"2020-04-22","79","195","0.40512820512820513"
"2020-04-23","73","182","0.4010989010989011"
"2020-04-24","84","194","0.4329896907216495"
"2020-04-25","33","90","0.36666666666666664"
"2020-04-26","28","67","0.417910447761194"
"2020-04-27","59","130","0.45384615384615384"
"2020-04-28","55","110","0.5"
"2020-04-29","53","117","0.452991452991453"
"2020-04-30","82","204","0.4019607843137255"
"2020-05-01","60","141","0.425531914893617"
"2020-05-02","52","112","0.4642857142857143"
"2020-05-03","41","102","0.4019607843137255"
"2020-05-04","64","169","0.378698224852071"
"2020-05-05","71","173","0.41040462427745666"
"2020-05-06","78","199","0.39195979899497485"
"2020-05-07","73","191","0.38219895287958117"
"2020-05-08","76","189","0.4021164021164021"
"2020-05-09","21","87","0.2413793103448276"
"2020-05-10","41","96","0.4270833333333333"
"2020-05-11","63","179","0.35195530726256985"
"2020-05-12","74","179","0.4134078212290503"
"2020-05-13","87","198","0.4393939393939394"
"2020-05-14","80","178","0.449438202247191"
"2020-05-15","88","206","0.42718446601941745"
"2020-05-16","35","98","0.35714285714285715"
"2020-05-17","35","94","0.3723404255319149"
"2020-05-18","71","207","0.34299516908212563"
"2020-05-19","92","194","0.4742268041237113"
"2020-05-20","78","181","0.430939226519337"
"2020-05-21","76","178","0.42696629213483145"
"2020-05-22","59","185","0.31891891891891894"
"2020-05-23","28","103","0.27184466019417475"
"2020-05-24","30","79","0.379746835443038"
"2020-05-25","47","155","0.3032258064516129"
"2020-05-26","76","178","0.42696629213483145"
"2020-05-27","64","187","0.3422459893048128"
"2020-05-28","74","198","0.37373737373737376"
"2020-05-29","65","180","0.3611111111111111"
"2020-05-30","33","105","0.3142857142857143"
"2020-05-31","31","102","0.30392156862745096"
"2020-06-01","39","150","0.26"
"2020-06-02","60","178","0.33707865168539325"
"2020-06-03","54","166","0.3253012048192771"
"2020-06-04","64","173","0.3699421965317919"
"2020-06-05","54","156","0.34615384615384615"
"2020-06-06","31","84","0.36904761904761907"
"2020-06-07","21","65","0.3230769230769231"
"2020-06-08","61","179","0.3407821229050279"
"2020-06-09","58","167","0.3473053892215569"
"2020-06-10","75","175","0.42857142857142855"
"2020-06-11","62","173","0.3583815028901734"
"2020-06-12","42","144","0.2916666666666667"
"2020-06-13","27","94","0.2872340425531915"
"2020-06-14","28","70","0.4"
"2020-06-15","42","149","0.28187919463087246"
"2020-06-16","77","208","0.3701923076923077"
"2020-06-17","66","186","0.3548387096774194"
"2020-06-18","55","187","0.29411764705882354"
"2020-06-19","62","195","0.31794871794871793"
"2020-06-20","30","88","0.3409090909090909"
"2020-06-21","31","87","0.3563218390804598"
"2020-06-22","55","194","0.28350515463917525"
"2020-06-23","64","197","0.3248730964467005"
"2020-06-24","57","185","0.3081081081081081"
"2020-06-25","55","196","0.28061224489795916"
"2020-06-26","57","187","0.3048128342245989"
"2020-06-27","28","100","0.28"
"2020-06-28","16","86","0.18604651162790697"
"2020-06-29","59","205","0.28780487804878047"
"2020-06-30","71","198","0.35858585858585856"
"2020-07-01","65","182","0.35714285714285715"
"2020-07-02","42","182","0.23076923076923078"
"2020-07-03","44","187","0.23529411764705882"
"2020-07-04","27","114","0.23684210526315788"
"2020-07-05","27","101","0.26732673267326734"
"2020-07-06","47","195","0.24102564102564103"
"2020-07-07","75","236","0.3177966101694915"
"2020-07-08","41","180","0.22777777777777777"
"2020-07-09","46","212","0.2169811320754717"
"2020-07-10","62","212","0.29245283018867924"
"2020-07-11","38","114","0.3333333333333333"
"2020-07-12","38","117","0.3247863247863248"
"2020-07-13","52","207","0.25120772946859904"
"2020-07-14","66","191","0.34554973821989526"
