date,count,total_count,ratio
"2020-01-01","0","191","0"
"2020-01-02","0","296","0"
"2020-01-03","0","305","0"
"2020-01-04","0","204","0"
"2020-01-05","0","206","0"
"2020-01-06","0","291","0"
"2020-01-07","0","355","0"
"2020-01-08","0","318","0"
"2020-01-09","0","303","0"
"2020-01-10","0","318","0"
"2020-01-11","0","225","0"
"2020-01-12","0","207","0"
"2020-01-13","0","313","0"
"2020-01-14","0","345","0"
"2020-01-15","0","334","0"
"2020-01-16","0","341","0"
"2020-01-17","0","307","0"
"2020-01-18","0","224","0"
"2020-01-19","0","250","0"
"2020-01-20","0","340","0"
"2020-01-21","0","344","0"
"2020-01-22","0","331","0"
"2020-01-23","0","305","0"
"2020-01-24","0","325","0"
"2020-01-25","0","210","0"
"2020-01-26","0","209","0"
"2020-01-27","0","316","0"
"2020-01-28","0","323","0"
"2020-01-29","0","324","0"
"2020-01-30","0","323","0"
"2020-01-31","0","335","0"
"2020-02-01","0","229","0"
"2020-02-02","0","222","0"
"2020-02-03","0","353","0"
"2020-02-04","0","328","0"
"2020-02-05","0","337","0"
"2020-02-06","0","344","0"
"2020-02-07","0","330","0"
"2020-02-08","0","207","0"
"2020-02-09","0","212","0"
"2020-02-10","0","268","0"
"2020-02-11","4","299","0.013377926421404682"
"2020-02-12","18","350","0.05142857142857143"
"2020-02-13","19","317","0.05993690851735016"
"2020-02-14","17","331","0.0513595166163142"
"2020-02-15","14","223","0.06278026905829596"
"2020-02-16","15","220","0.06818181818181818"
"2020-02-17","18","321","0.056074766355140186"
"2020-02-18","13","365","0.03561643835616438"
"2020-02-19","8","368","0.021739130434782608"
"2020-02-20","14","367","0.03814713896457766"
"2020-02-21","17","356","0.047752808988764044"
"2020-02-22","11","248","0.04435483870967742"
"2020-02-23","11","255","0.043137254901960784"
"2020-02-24","15","260","0.057692307692307696"
"2020-02-25","18","256","0.0703125"
"2020-02-26","27","378","0.07142857142857142"
"2020-02-27","46","366","0.12568306010928962"
"2020-02-28","44","370","0.11891891891891893"
"2020-02-29","31","257","0.12062256809338522"
"2020-03-01","31","232","0.1336206896551724"
"2020-03-02","30","329","0.0911854103343465"
"2020-03-03","40","403","0.09925558312655088"
"2020-03-04","33","328","0.10060975609756098"
"2020-03-05","28","329","0.0851063829787234"
"2020-03-06","41","343","0.119533527696793"
"2020-03-07","36","257","0.14007782101167315"
"2020-03-08","32","252","0.12698412698412698"
"2020-03-09","51","377","0.13527851458885942"
"2020-03-10","69","392","0.1760204081632653"
"2020-03-11","92","373","0.24664879356568364"
"2020-03-12","120","383","0.3133159268929504"
"2020-03-13","132","376","0.35106382978723405"
"2020-03-14","104","239","0.4351464435146444"
"2020-03-15","91","241","0.3775933609958506"
"2020-03-16","133","339","0.39233038348082594"
"2020-03-17","134","342","0.391812865497076"
"2020-03-18","178","395","0.4506329113924051"
"2020-03-19","166","390","0.4256410256410256"
"2020-03-20","163","349","0.4670487106017192"
"2020-03-21","110","244","0.45081967213114754"
"2020-03-22","97","207","0.46859903381642515"
"2020-03-23","168","349","0.4813753581661891"
"2020-03-24","187","375","0.49866666666666665"
"2020-03-25","164","353","0.46458923512747874"
"2020-03-26","181","370","0.4891891891891892"
"2020-03-27","150","317","0.47318611987381703"
"2020-03-28","86","183","0.46994535519125685"
"2020-03-29","104","231","0.45021645021645024"
"2020-03-30","174","364","0.47802197802197804"
"2020-03-31","175","371","0.4716981132075472"
"2020-04-01","179","357","0.5014005602240896"
"2020-04-02","182","368","0.4945652173913043"
"2020-04-03","151","314","0.48089171974522293"
"2020-04-04","132","260","0.5076923076923077"
"2020-04-05","76","186","0.40860215053763443"
"2020-04-06","173","324","0.5339506172839507"
"2020-04-07","143","319","0.4482758620689655"
"2020-04-08","174","345","0.5043478260869565"
"2020-04-09","161","340","0.47352941176470587"
"2020-04-10","113","241","0.46887966804979253"
"2020-04-11","122","255","0.47843137254901963"
"2020-04-12","97","254","0.38188976377952755"
"2020-04-13","161","361","0.44598337950138506"
"2020-04-14","132","261","0.5057471264367817"
"2020-04-15","169","380","0.44473684210526315"
"2020-04-16","156","327","0.47706422018348627"
"2020-04-17","164","337","0.486646884272997"
"2020-04-18","104","233","0.44635193133047213"
"2020-04-19","105","232","0.4525862068965517"
"2020-04-20","135","360","0.375"
"2020-04-21","137","353","0.3881019830028329"
"2020-04-22","144","365","0.39452054794520547"
"2020-04-23","154","368","0.41847826086956524"
"2020-04-24","154","360","0.42777777777777776"
"2020-04-25","102","259","0.3938223938223938"
"2020-04-26","100","230","0.43478260869565216"
"2020-04-27","140","342","0.4093567251461988"
"2020-04-28","143","360","0.3972222222222222"
"2020-04-29","146","337","0.4332344213649852"
"2020-04-30","167","378","0.4417989417989418"
"2020-05-01","116","310","0.3741935483870968"
"2020-05-02","102","252","0.40476190476190477"
"2020-05-03","102","246","0.4146341463414634"
"2020-05-04","111","328","0.3384146341463415"
"2020-05-05","132","336","0.39285714285714285"
"2020-05-06","125","334","0.37425149700598803"
"2020-05-07","147","368","0.39945652173913043"
"2020-05-08","114","312","0.36538461538461536"
"2020-05-09","96","245","0.39183673469387753"
"2020-05-10","114","266","0.42857142857142855"
"2020-05-11","126","339","0.37168141592920356"
"2020-05-12","139","347","0.40057636887608067"
"2020-05-13","133","375","0.3546666666666667"
"2020-05-14","133","331","0.40181268882175225"
"2020-05-15","156","381","0.4094488188976378"
"2020-05-16","100","256","0.390625"
"2020-05-17","87","241","0.36099585062240663"
"2020-05-18","148","365","0.4054794520547945"
"2020-05-19","141","366","0.38524590163934425"
"2020-05-20","128","344","0.37209302325581395"
"2020-05-21","131","382","0.34293193717277487"
"2020-05-22","129","338","0.3816568047337278"
"2020-05-23","105","270","0.3888888888888889"
"2020-05-24","98","245","0.4"
"2020-05-25","114","330","0.34545454545454546"
"2020-05-26","122","351","0.3475783475783476"
"2020-05-27","126","345","0.3652173913043478"
"2020-05-28","130","341","0.3812316715542522"
"2020-05-29","129","349","0.36962750716332377"
"2020-05-30","80","290","0.27586206896551724"
"2020-05-31","90","259","0.3474903474903475"
"2020-06-01","102","347","0.29394812680115273"
"2020-06-02","136","397","0.3425692695214106"
"2020-06-03","126","359","0.35097493036211697"
"2020-06-04","122","365","0.33424657534246577"
"2020-06-05","115","350","0.32857142857142857"
"2020-06-06","84","258","0.32558139534883723"
"2020-06-07","81","248","0.32661290322580644"
"2020-06-08","120","367","0.32697547683923706"
"2020-06-09","140","377","0.3713527851458886"
"2020-06-10","106","339","0.31268436578171094"
"2020-06-11","138","365","0.3780821917808219"
"2020-06-12","117","344","0.34011627906976744"
"2020-06-13","105","271","0.3874538745387454"
"2020-06-14","91","264","0.3446969696969697"
"2020-06-15","118","361","0.3268698060941828"
"2020-06-16","130","329","0.3951367781155015"
"2020-06-17","124","370","0.33513513513513515"
"2020-06-18","141","428","0.3294392523364486"
"2020-06-19","150","397","0.3778337531486146"
"2020-06-20","106","315","0.33650793650793653"
"2020-06-21","100","269","0.37174721189591076"
"2020-06-22","129","381","0.33858267716535434"
"2020-06-23","128","410","0.3121951219512195"
"2020-06-24","133","374","0.35561497326203206"
"2020-06-25","164","505","0.32475247524752476"
"2020-06-26","125","379","0.32981530343007914"
"2020-06-27","89","296","0.30067567567567566"
"2020-06-28","109","283","0.38515901060070673"
"2020-06-29","114","411","0.2773722627737226"
"2020-06-30","137","400","0.3425"
"2020-07-01","127","373","0.34048257372654156"
"2020-07-02","135","417","0.3237410071942446"
"2020-07-03","141","415","0.3397590361445783"
"2020-07-04","111","309","0.3592233009708738"
"2020-07-05","110","306","0.35947712418300654"
"2020-07-06","165","454","0.3634361233480176"
"2020-07-07","194","540","0.3592592592592593"
"2020-07-08","165","509","0.3241650294695481"
"2020-07-09","175","511","0.3424657534246575"
"2020-07-10","142","465","0.3053763440860215"
"2020-07-11","130","347","0.3746397694524496"
"2020-07-12","116","283","0.4098939929328622"
"2020-07-13","163","455","0.35824175824175825"
"2020-07-14","148","410","0.36097560975609755"
"2020-07-15","141","421","0.334916864608076"
"2020-07-16","167","423","0.3947990543735225"
"2020-07-17","188","484","0.3884297520661157"
"2020-07-18","141","392","0.3596938775510204"
"2020-07-19","132","358","0.3687150837988827"
"2020-07-20","185","519","0.35645472061657035"
"2020-07-21","171","500","0.342"
"2020-07-22","175","523","0.33460803059273425"
"2020-07-23","177","515","0.34368932038834954"
"2020-07-24","88","303","0.29042904290429045"
"2020-07-25","8","20","0.4"
"2020-07-26","5","8","0.625"
"2020-07-27","10","24","0.4166666666666667"
"2020-07-28","19","48","0.3958333333333333"
"2020-07-29","156","429","0.36363636363636365"
"2020-07-30","186","514","0.36186770428015563"
"2020-07-31","168","501","0.33532934131736525"
"2020-08-01","99","303","0.32673267326732675"
"2020-08-02","97","285","0.34035087719298246"
"2020-08-03","139","434","0.32027649769585254"
"2020-08-04","79","300","0.2633333333333333"
"2020-08-05","12","26","0.46153846153846156"
"2020-08-06","12","29","0.41379310344827586"
"2020-08-07","39","118","0.3305084745762712"
"2020-08-08","95","327","0.290519877675841"
"2020-08-09","95","297","0.31986531986531985"
"2020-08-10","131","418","0.3133971291866029"
"2020-08-11","152","454","0.33480176211453744"
"2020-08-12","140","492","0.2845528455284553"
