date,count,total_count,ratio
"2020-01-01","1","43","0.023255813953488372"
"2020-01-02","0","67","0"
"2020-01-03","0","78","0"
"2020-01-04","0","27","0"
"2020-01-05","0","44","0"
"2020-01-06","0","88","0"
"2020-01-07","0","71","0"
"2020-01-08","0","85","0"
"2020-01-09","0","92","0"
"2020-01-10","0","78","0"
"2020-01-11","0","44","0"
"2020-01-12","0","36","0"
"2020-01-13","0","73","0"
"2020-01-14","0","90","0"
"2020-01-15","0","73","0"
"2020-01-16","0","80","0"
"2020-01-17","0","84","0"
"2020-01-18","0","49","0"
"2020-01-19","0","42","0"
"2020-01-20","0","86","0"
"2020-01-21","0","93","0"
"2020-01-22","0","95","0"
"2020-01-23","0","95","0"
"2020-01-24","0","74","0"
"2020-01-25","0","51","0"
"2020-01-26","0","36","0"
"2020-01-27","0","81","0"
"2020-01-28","0","99","0"
"2020-01-29","0","88","0"
"2020-01-30","0","84","0"
"2020-01-31","0","75","0"
"2020-02-01","0","47","0"
"2020-02-02","0","37","0"
"2020-02-03","1","53","0.018867924528301886"
"2020-02-04","0","62","0"
"2020-02-05","0","86","0"
"2020-02-06","0","86","0"
"2020-02-07","0","66","0"
"2020-02-08","0","43","0"
"2020-02-09","0","45","0"
"2020-02-10","0","92","0"
"2020-02-11","1","78","0.01282051282051282"
"2020-02-12","4","74","0.05405405405405406"
"2020-02-13","1","86","0.011627906976744186"
"2020-02-14","1","82","0.012195121951219513"
"2020-02-15","2","45","0.044444444444444446"
"2020-02-16","2","40","0.05"
"2020-02-17","4","79","0.05063291139240506"
"2020-02-18","0","81","0"
"2020-02-19","1","86","0.011627906976744186"
"2020-02-20","1","90","0.011111111111111112"
"2020-02-21","1","77","0.012987012987012988"
"2020-02-22","2","50","0.04"
"2020-02-23","4","48","0.08333333333333333"
"2020-02-24","6","111","0.05405405405405406"
"2020-02-25","11","103","0.10679611650485436"
"2020-02-26","12","95","0.12631578947368421"
"2020-02-27","7","107","0.06542056074766354"
"2020-02-28","9","93","0.0967741935483871"
"2020-02-29","7","46","0.15217391304347827"
"2020-03-01","2","47","0.0425531914893617"
"2020-03-02","5","81","0.06172839506172839"
"2020-03-03","12","86","0.13953488372093023"
"2020-03-04","7","93","0.07526881720430108"
"2020-03-05","5","107","0.04672897196261682"
"2020-03-06","14","118","0.11864406779661017"
"2020-03-07","16","66","0.24242424242424243"
"2020-03-08","8","37","0.21621621621621623"
"2020-03-09","30","127","0.23622047244094488"
"2020-03-10","24","120","0.2"
"2020-03-11","39","131","0.29770992366412213"
"2020-03-12","48","136","0.35294117647058826"
"2020-03-13","47","141","0.3333333333333333"
"2020-03-14","32","70","0.45714285714285713"
"2020-03-15","25","45","0.5555555555555556"
"2020-03-16","50","122","0.4098360655737705"
"2020-03-17","76","134","0.5671641791044776"
"2020-03-18","59","112","0.5267857142857143"
"2020-03-19","89","127","0.7007874015748031"
"2020-03-20","73","134","0.5447761194029851"
"2020-03-21","33","61","0.5409836065573771"
"2020-03-22","31","58","0.5344827586206896"
"2020-03-23","58","106","0.5471698113207547"
"2020-03-24","87","125","0.696"
"2020-03-25","78","125","0.624"
"2020-03-26","67","130","0.5153846153846153"
"2020-03-27","68","126","0.5396825396825397"
"2020-03-28","30","57","0.5263157894736842"
"2020-03-29","40","71","0.5633802816901409"
"2020-03-30","63","110","0.5727272727272728"
"2020-03-31","68","125","0.544"
"2020-04-01","67","137","0.48905109489051096"
"2020-04-02","63","130","0.4846153846153846"
"2020-04-03","65","117","0.5555555555555556"
"2020-04-04","39","60","0.65"
"2020-04-05","32","55","0.5818181818181818"
"2020-04-06","64","118","0.5423728813559322"
"2020-04-07","67","123","0.5447154471544715"
"2020-04-08","60","130","0.46153846153846156"
"2020-04-09","40","90","0.4444444444444444"
"2020-04-10","35","55","0.6363636363636364"
"2020-04-11","31","44","0.7045454545454546"
"2020-04-12","39","62","0.6290322580645161"
"2020-04-13","68","133","0.5112781954887218"
"2020-04-14","69","117","0.5897435897435898"
"2020-04-15","61","131","0.46564885496183206"
"2020-04-16","67","166","0.4036144578313253"
"2020-04-17","63","125","0.504"
"2020-04-18","27","69","0.391304347826087"
"2020-04-19","44","72","0.6111111111111112"
"2020-04-20","68","137","0.49635036496350365"
"2020-04-21","60","132","0.45454545454545453"
"2020-04-22","71","131","0.5419847328244275"
"2020-04-23","60","147","0.40816326530612246"
"2020-04-24","54","135","0.4"
"2020-04-25","41","73","0.5616438356164384"
"2020-04-26","33","65","0.5076923076923077"
"2020-04-27","52","123","0.42276422764227645"
"2020-04-28","57","124","0.4596774193548387"
"2020-04-29","51","116","0.4396551724137931"
"2020-04-30","61","150","0.4066666666666667"
"2020-05-01","47","87","0.5402298850574713"
"2020-05-02","30","74","0.40540540540540543"
"2020-05-03","37","69","0.5362318840579711"
