date,count,total_count,ratio
"2020-01-01","0","268","0"
"2020-01-02","0","508","0"
"2020-01-03","0","603","0"
"2020-01-04","0","461","0"
"2020-01-05","0","421","0"
"2020-01-06","0","558","0"
"2020-01-07","0","699","0"
"2020-01-08","0","695","0"
"2020-01-09","0","632","0"
"2020-01-10","0","632","0"
"2020-01-11","0","475","0"
"2020-01-12","0","395","0"
"2020-01-13","0","571","0"
"2020-01-14","0","703","0"
"2020-01-15","0","686","0"
"2020-01-16","0","649","0"
"2020-01-17","0","567","0"
"2020-01-18","0","477","0"
"2020-01-19","0","348","0"
"2020-01-20","0","646","0"
"2020-01-21","0","693","0"
"2020-01-22","0","718","0"
"2020-01-23","0","636","0"
"2020-01-24","0","707","0"
"2020-01-25","0","505","0"
"2020-01-26","0","419","0"
"2020-01-27","0","624","0"
"2020-01-28","0","740","0"
"2020-01-29","0","675","0"
"2020-01-30","0","680","0"
"2020-01-31","1","608","0.001644736842105263"
"2020-02-01","0","486","0"
"2020-02-02","0","362","0"
"2020-02-03","0","594","0"
"2020-02-04","0","626","0"
"2020-02-05","0","596","0"
"2020-02-06","0","586","0"
"2020-02-07","0","639","0"
"2020-02-08","0","426","0"
"2020-02-09","0","385","0"
"2020-02-10","0","545","0"
"2020-02-11","9","574","0.0156794425087108"
"2020-02-12","21","625","0.0336"
"2020-02-13","27","623","0.04333868378812199"
"2020-02-14","13","508","0.025590551181102362"
"2020-02-15","13","418","0.03110047846889952"
"2020-02-16","12","344","0.03488372093023256"
"2020-02-17","21","542","0.03874538745387454"
"2020-02-18","24","649","0.03697996918335902"
"2020-02-19","14","619","0.022617124394184167"
"2020-02-20","7","606","0.01155115511551155"
"2020-02-21","14","545","0.025688073394495414"
"2020-02-22","9","430","0.020930232558139535"
"2020-02-23","14","402","0.03482587064676617"
"2020-02-24","26","668","0.038922155688622756"
"2020-02-25","44","736","0.059782608695652176"
"2020-02-26","50","706","0.0708215297450425"
"2020-02-27","56","757","0.07397622192866579"
"2020-02-28","69","647","0.10664605873261206"
"2020-02-29","40","479","0.08350730688935282"
"2020-03-01","55","520","0.10576923076923077"
"2020-03-02","44","690","0.06376811594202898"
"2020-03-03","47","756","0.062169312169312166"
"2020-03-04","61","754","0.08090185676392574"
"2020-03-05","66","717","0.09205020920502092"
"2020-03-06","150","694","0.21613832853025935"
"2020-03-07","89","516","0.17248062015503876"
"2020-03-08","76","421","0.18052256532066507"
"2020-03-09","154","752","0.2047872340425532"
