date,count,total_count,ratio
"2020-01-01","0","3","0"
"2020-01-02","0","12","0"
"2020-01-03","0","22","0"
"2020-01-04","0","7","0"
"2020-01-05","0","18","0"
"2020-01-06","0","24","0"
"2020-01-07","0","32","0"
"2020-01-08","0","20","0"
"2020-01-09","0","26","0"
"2020-01-10","0","21","0"
"2020-01-11","0","11","0"
"2020-01-12","0","21","0"
"2020-01-13","0","18","0"
"2020-01-14","0","31","0"
"2020-01-15","0","18","0"
"2020-01-16","0","24","0"
"2020-01-17","1","30","0.03333333333333333"
"2020-01-18","0","9","0"
"2020-01-19","0","16","0"
"2020-01-20","0","18","0"
"2020-01-21","0","19","0"
"2020-01-22","0","28","0"
"2020-01-23","0","27","0"
"2020-01-24","0","35","0"
"2020-01-25","0","7","0"
"2020-01-26","0","13","0"
"2020-01-27","0","29","0"
"2020-01-28","0","36","0"
"2020-01-29","0","10","0"
"2020-01-30","0","22","0"
"2020-01-31","0","19","0"
"2020-02-01","0","3","0"
"2020-02-02","0","6","0"
"2020-02-03","0","13","0"
"2020-02-04","0","17","0"
"2020-02-05","0","26","0"
"2020-02-06","0","17","0"
"2020-02-07","0","16","0"
"2020-02-08","0","3","0"
"2020-02-09","0","9","0"
"2020-02-10","0","17","0"
"2020-02-11","0","22","0"
"2020-02-12","1","24","0.041666666666666664"
"2020-02-13","0","20","0"
"2020-02-14","1","18","0.05555555555555555"
"2020-02-15","0","13","0"
"2020-02-16","2","9","0.2222222222222222"
"2020-02-17","4","13","0.3076923076923077"
"2020-02-18","2","29","0.06896551724137931"
"2020-02-19","0","19","0"
"2020-02-20","0","16","0"
"2020-02-21","1","26","0.038461538461538464"
"2020-02-22","0","14","0"
"2020-02-23","1","16","0.0625"
"2020-02-24","2","22","0.09090909090909091"
"2020-02-25","4","34","0.11764705882352941"
"2020-02-26","0","10","0"
"2020-02-27","0","19","0"
"2020-02-28","0","41","0"
"2020-02-29","0","4","0"
"2020-03-01","0","7","0"
"2020-03-02","1","16","0.0625"
"2020-03-03","0","11","0"
"2020-03-04","0","9","0"
"2020-03-05","1","27","0.037037037037037035"
"2020-03-06","7","19","0.3684210526315789"
"2020-03-07","2","15","0.13333333333333333"
"2020-03-08","1","13","0.07692307692307693"
"2020-03-09","2","16","0.125"
"2020-03-10","1","20","0.05"
"2020-03-11","5","22","0.22727272727272727"
"2020-03-12","10","32","0.3125"
"2020-03-13","7","34","0.20588235294117646"
"2020-03-14","8","18","0.4444444444444444"
"2020-03-15","8","15","0.5333333333333333"
"2020-03-16","10","21","0.47619047619047616"
"2020-03-17","11","29","0.3793103448275862"
"2020-03-18","13","20","0.65"
"2020-03-19","8","28","0.2857142857142857"
"2020-03-20","7","18","0.3888888888888889"
"2020-03-21","6","10","0.6"
"2020-03-22","6","10","0.6"
"2020-03-23","9","18","0.5"
"2020-03-24","13","27","0.48148148148148145"
"2020-03-25","13","26","0.5"
"2020-03-26","8","20","0.4"
"2020-03-27","34","55","0.6181818181818182"
"2020-03-28","9","10","0.9"
"2020-03-29","5","8","0.625"
"2020-03-30","2","5","0.4"
"2020-03-31","7","16","0.4375"
"2020-04-01","13","27","0.48148148148148145"
"2020-04-02","9","24","0.375"
"2020-04-03","13","22","0.5909090909090909"
"2020-04-04","7","11","0.6363636363636364"
"2020-04-05","3","11","0.2727272727272727"
"2020-04-06","6","9","0.6666666666666666"
"2020-04-07","15","25","0.6"
"2020-04-08","11","20","0.55"
"2020-04-09","23","26","0.8846153846153846"
"2020-04-10","13","19","0.6842105263157895"
"2020-04-11","4","12","0.3333333333333333"
"2020-04-12","7","17","0.4117647058823529"
"2020-04-13","8","20","0.4"
"2020-04-14","12","17","0.7058823529411765"
"2020-04-15","7","15","0.4666666666666667"
"2020-04-16","12","23","0.5217391304347826"
"2020-04-17","15","20","0.75"
"2020-04-18","7","8","0.875"
"2020-04-19","1","1","1.0"
"2020-04-20","5","14","0.35714285714285715"
"2020-04-21","16","28","0.5714285714285714"
"2020-04-22","10","17","0.5882352941176471"
"2020-04-23","16","19","0.8421052631578947"
"2020-04-24","17","35","0.4857142857142857"
"2020-04-25","4","7","0.5714285714285714"
"2020-04-26","3","5","0.6"
"2020-04-27","15","23","0.6521739130434783"
"2020-04-28","8","20","0.4"
"2020-04-29","13","35","0.37142857142857144"
"2020-04-30","16","31","0.5161290322580645"
"2020-05-01","0","0","0"
"2020-05-02","0","0","0"
"2020-05-03","1","2","0.5"
"2020-05-04","3","6","0.5"
"2020-05-05","12","28","0.42857142857142855"
"2020-05-06","7","17","0.4117647058823529"
"2020-05-07","1","11","0.09090909090909091"
"2020-05-08","3","15","0.2"
"2020-05-09","4","4","1.0"
"2020-05-10","1","1","1.0"
"2020-05-11","1","3","0.3333333333333333"
"2020-05-12","8","12","0.6666666666666666"
"2020-05-13","2","5","0.4"
"2020-05-14","7","10","0.7"
"2020-05-15","9","11","0.8181818181818182"
"2020-05-16","0","0","0"
"2020-05-17","4","6","0.6666666666666666"
"2020-05-18","7","15","0.4666666666666667"
"2020-05-19","10","25","0.4"
"2020-05-20","10","21","0.47619047619047616"
"2020-05-21","9","22","0.4090909090909091"
"2020-05-22","11","19","0.5789473684210527"
"2020-05-23","0","1","0"
"2020-05-24","2","7","0.2857142857142857"
"2020-05-25","14","19","0.7368421052631579"
"2020-05-26","12","22","0.5454545454545454"
"2020-05-27","5","15","0.3333333333333333"
"2020-05-28","9","21","0.42857142857142855"
"2020-05-29","8","20","0.4"
"2020-05-30","0","1","0"
"2020-05-31","1","1","1.0"
"2020-06-01","4","10","0.4"
"2020-06-02","4","18","0.2222222222222222"
"2020-06-03","6","25","0.24"
"2020-06-04","7","28","0.25"
"2020-06-05","9","32","0.28125"
"2020-06-06","1","5","0.2"
"2020-06-07","4","14","0.2857142857142857"
"2020-06-08","4","24","0.16666666666666666"
"2020-06-09","5","17","0.29411764705882354"
"2020-06-10","6","18","0.3333333333333333"
"2020-06-11","7","30","0.23333333333333334"
"2020-06-12","4","15","0.26666666666666666"
"2020-06-13","0","3","0"
"2020-06-14","7","13","0.5384615384615384"
"2020-06-15","6","15","0.4"
"2020-06-16","11","20","0.55"
"2020-06-17","13","30","0.43333333333333335"
"2020-06-18","4","27","0.14814814814814814"
"2020-06-19","11","33","0.3333333333333333"
"2020-06-20","0","1","0"
"2020-06-21","6","17","0.35294117647058826"
"2020-06-22","13","26","0.5"
"2020-06-23","15","40","0.375"
"2020-06-24","8","27","0.2962962962962963"
"2020-06-25","20","34","0.5882352941176471"
"2020-06-26","15","37","0.40540540540540543"
"2020-06-27","1","4","0.25"
"2020-06-28","6","15","0.4"
"2020-06-29","4","18","0.2222222222222222"
"2020-06-30","6","16","0.375"
"2020-07-01","7","27","0.25925925925925924"
"2020-07-02","9","30","0.3"
"2020-07-03","15","50","0.3"
"2020-07-04","0","1","0"
"2020-07-05","3","3","1.0"
"2020-07-06","5","18","0.2777777777777778"
"2020-07-07","13","40","0.325"
"2020-07-08","10","37","0.2702702702702703"
"2020-07-09","14","33","0.42424242424242425"
"2020-07-10","13","33","0.3939393939393939"
"2020-07-11","1","5","0.2"
"2020-07-12","8","26","0.3076923076923077"
"2020-07-13","9","31","0.2903225806451613"
"2020-07-14","15","36","0.4166666666666667"
"2020-07-15","9","31","0.2903225806451613"
"2020-07-16","10","33","0.30303030303030304"
"2020-07-17","14","37","0.3783783783783784"
"2020-07-18","7","12","0.5833333333333334"
"2020-07-19","7","16","0.4375"
"2020-07-20","8","24","0.3333333333333333"
"2020-07-21","8","33","0.24242424242424243"
"2020-07-22","6","32","0.1875"
"2020-07-23","10","41","0.24390243902439024"
"2020-07-24","2","20","0.1"
"2020-07-25","0","0","0"
"2020-07-26","0","0","0"
"2020-07-27","0","6","0"
"2020-07-28","8","21","0.38095238095238093"
"2020-07-29","9","28","0.32142857142857145"
"2020-07-30","9","21","0.42857142857142855"
"2020-07-31","8","38","0.21052631578947367"
"2020-08-01","6","13","0.46153846153846156"
"2020-08-02","8","22","0.36363636363636365"
"2020-08-03","8","12","0.6666666666666666"
"2020-08-04","2","12","0.16666666666666666"
"2020-08-05","1","4","0.25"
"2020-08-06","6","12","0.5"
"2020-08-07","7","28","0.25"
"2020-08-08","1","3","0.3333333333333333"
"2020-08-09","5","22","0.22727272727272727"
"2020-08-10","14","25","0.56"
"2020-08-11","15","49","0.30612244897959184"
"2020-08-12","18","44","0.4090909090909091"
"2020-08-13","10","49","0.20408163265306123"
"2020-08-14","17","61","0.2786885245901639"
"2020-08-15","3","14","0.21428571428571427"
"2020-08-16","2","27","0.07407407407407407"
"2020-08-17","12","44","0.2727272727272727"
"2020-08-18","5","35","0.14285714285714285"
"2020-08-19","6","35","0.17142857142857143"
"2020-08-20","12","50","0.24"
"2020-08-21","8","42","0.19047619047619047"
"2020-08-22","7","20","0.35"
"2020-08-23","7","24","0.2916666666666667"
"2020-08-24","4","19","0.21052631578947367"
"2020-08-25","13","42","0.30952380952380953"
"2020-08-26","6","23","0.2608695652173913"
"2020-08-27","13","35","0.37142857142857144"
"2020-08-28","7","46","0.15217391304347827"
"2020-08-29","0","2","0"
"2020-08-30","2","12","0.16666666666666666"
"2020-08-31","4","19","0.21052631578947367"
"2020-09-01","14","44","0.3181818181818182"
"2020-09-02","1","17","0.058823529411764705"
"2020-09-03","9","46","0.1956521739130435"
"2020-09-04","10","45","0.2222222222222222"
"2020-09-05","0","4","0"
"2020-09-06","6","20","0.3"
"2020-09-07","11","24","0.4583333333333333"
"2020-09-08","9","54","0.16666666666666666"
"2020-09-09","1","26","0.038461538461538464"
"2020-09-10","9","41","0.21951219512195122"
"2020-09-11","11","55","0.2"
"2020-09-12","2","8","0.25"
"2020-09-13","3","21","0.14285714285714285"
"2020-09-14","1","12","0.08333333333333333"
"2020-09-15","2","36","0.05555555555555555"
"2020-09-16","9","36","0.25"
"2020-09-17","11","57","0.19298245614035087"
"2020-09-18","12","47","0.2553191489361702"
"2020-09-19","2","4","0.5"
"2020-09-20","3","13","0.23076923076923078"
"2020-09-21","8","31","0.25806451612903225"
"2020-09-22","14","49","0.2857142857142857"
"2020-09-23","8","42","0.19047619047619047"
"2020-09-24","11","34","0.3235294117647059"
"2020-09-25","13","50","0.26"
"2020-09-26","1","6","0.16666666666666666"
"2020-09-27","5","10","0.5"
"2020-09-28","4","16","0.25"
"2020-09-29","16","62","0.25806451612903225"
"2020-09-30","2","33","0.06060606060606061"
"2020-10-01","13","60","0.21666666666666667"
"2020-10-02","16","67","0.23880597014925373"
"2020-10-03","2","3","0.6666666666666666"
"2020-10-04","8","23","0.34782608695652173"
"2020-10-05","4","34","0.11764705882352941"
