date,count,total_count,ratio
"2020-01-01","0","17","0"
"2020-01-02","0","21","0"
"2020-01-03","0","25","0"
"2020-01-04","0","21","0"
"2020-01-05","0","18","0"
"2020-01-06","0","29","0"
"2020-01-07","0","17","0"
"2020-01-08","0","31","0"
"2020-01-09","0","29","0"
"2020-01-10","0","31","0"
"2020-01-11","0","24","0"
"2020-01-12","0","27","0"
"2020-01-13","0","34","0"
"2020-01-14","0","28","0"
"2020-01-15","0","24","0"
"2020-01-16","0","25","0"
"2020-01-17","0","18","0"
"2020-01-18","0","26","0"
"2020-01-19","0","17","0"
"2020-01-20","0","29","0"
"2020-01-21","0","29","0"
"2020-01-22","0","28","0"
"2020-01-23","0","35","0"
"2020-01-24","0","25","0"
"2020-01-25","0","18","0"
"2020-01-26","0","16","0"
"2020-01-27","0","25","0"
"2020-01-28","0","22","0"
"2020-01-29","0","40","0"
"2020-01-30","0","33","0"
"2020-01-31","0","24","0"
"2020-02-01","0","26","0"
"2020-02-02","0","21","0"
"2020-02-03","0","34","0"
"2020-02-04","0","30","0"
"2020-02-05","0","39","0"
"2020-02-06","0","40","0"
"2020-02-07","0","32","0"
"2020-02-08","0","25","0"
"2020-02-09","0","31","0"
"2020-02-10","0","33","0"
"2020-02-11","0","27","0"
"2020-02-12","0","23","0"
"2020-02-13","1","26","0.038461538461538464"
"2020-02-14","0","29","0"
"2020-02-15","0","27","0"
"2020-02-16","0","34","0"
"2020-02-17","0","28","0"
"2020-02-18","0","27","0"
"2020-02-19","0","30","0"
"2020-02-20","1","26","0.038461538461538464"
"2020-02-21","1","33","0.030303030303030304"
"2020-02-22","0","26","0"
"2020-02-23","0","22","0"
"2020-02-24","0","22","0"
"2020-02-25","3","19","0.15789473684210525"
"2020-02-26","2","36","0.05555555555555555"
"2020-02-27","3","33","0.09090909090909091"
"2020-02-28","1","33","0.030303030303030304"
"2020-02-29","1","26","0.038461538461538464"
"2020-03-01","2","29","0.06896551724137931"
"2020-03-02","0","36","0"
"2020-03-03","0","32","0"
"2020-03-04","0","35","0"
"2020-03-05","3","44","0.06818181818181818"
"2020-03-06","3","37","0.08108108108108109"
"2020-03-07","4","25","0.16"
"2020-03-08","1","24","0.041666666666666664"
"2020-03-09","3","22","0.13636363636363635"
"2020-03-10","1","16","0.0625"
"2020-03-11","5","30","0.16666666666666666"
"2020-03-12","6","38","0.15789473684210525"
"2020-03-13","15","43","0.3488372093023256"
"2020-03-14","15","38","0.39473684210526316"
"2020-03-15","15","36","0.4166666666666667"
"2020-03-16","17","39","0.4358974358974359"
"2020-03-17","13","34","0.38235294117647056"
"2020-03-18","11","31","0.3548387096774194"
"2020-03-19","20","45","0.4444444444444444"
"2020-03-20","15","49","0.30612244897959184"
"2020-03-21","16","39","0.41025641025641024"
"2020-03-22","9","37","0.24324324324324326"
"2020-03-23","15","44","0.3409090909090909"
"2020-03-24","17","42","0.40476190476190477"
"2020-03-25","17","51","0.3333333333333333"
"2020-03-26","16","43","0.37209302325581395"
"2020-03-27","17","47","0.3617021276595745"
"2020-03-28","13","36","0.3611111111111111"
"2020-03-29","12","27","0.4444444444444444"
"2020-03-30","20","44","0.45454545454545453"
"2020-03-31","24","40","0.6"
"2020-04-01","23","48","0.4791666666666667"
"2020-04-02","15","40","0.375"
"2020-04-03","10","49","0.20408163265306123"
"2020-04-04","14","38","0.3684210526315789"
"2020-04-05","10","41","0.24390243902439024"
"2020-04-06","16","47","0.3404255319148936"
"2020-04-07","16","35","0.45714285714285713"
"2020-04-08","25","52","0.4807692307692308"
"2020-04-09","16","32","0.5"
"2020-04-10","7","27","0.25925925925925924"
"2020-04-11","17","37","0.4594594594594595"
"2020-04-12","14","41","0.34146341463414637"
"2020-04-13","10","43","0.23255813953488372"
"2020-04-14","13","42","0.30952380952380953"
"2020-04-15","21","54","0.3888888888888889"
"2020-04-16","13","40","0.325"
"2020-04-17","20","49","0.40816326530612246"
"2020-04-18","15","37","0.40540540540540543"
"2020-04-19","10","30","0.3333333333333333"
"2020-04-20","10","36","0.2777777777777778"
"2020-04-21","12","41","0.2926829268292683"
"2020-04-22","9","42","0.21428571428571427"
"2020-04-23","14","48","0.2916666666666667"
"2020-04-24","18","46","0.391304347826087"
"2020-04-25","9","29","0.3103448275862069"
"2020-04-26","10","36","0.2777777777777778"
"2020-04-27","9","40","0.225"
"2020-04-28","20","38","0.5263157894736842"
"2020-04-29","15","46","0.32608695652173914"
"2020-04-30","10","32","0.3125"
"2020-05-01","9","25","0.36"
"2020-05-02","11","37","0.2972972972972973"
"2020-05-03","10","26","0.38461538461538464"
"2020-05-04","4","34","0.11764705882352941"
"2020-05-05","10","44","0.22727272727272727"
"2020-05-06","10","41","0.24390243902439024"
"2020-05-07","5","36","0.1388888888888889"
"2020-05-08","10","46","0.21739130434782608"
"2020-05-09","16","41","0.3902439024390244"
"2020-05-10","10","23","0.43478260869565216"
"2020-05-11","18","49","0.3673469387755102"
"2020-05-12","21","51","0.4117647058823529"
"2020-05-13","10","39","0.2564102564102564"
"2020-05-14","9","44","0.20454545454545456"
"2020-05-15","10","43","0.23255813953488372"
"2020-05-16","10","37","0.2702702702702703"
"2020-05-17","13","33","0.3939393939393939"
"2020-05-18","10","28","0.35714285714285715"
"2020-05-19","9","47","0.19148936170212766"
"2020-05-20","16","39","0.41025641025641024"
"2020-05-21","18","39","0.46153846153846156"
"2020-05-22","11","33","0.3333333333333333"
"2020-05-23","8","37","0.21621621621621623"
"2020-05-24","8","29","0.27586206896551724"
"2020-05-25","8","50","0.16"
"2020-05-26","3","31","0.0967741935483871"
"2020-05-27","4","33","0.12121212121212122"
"2020-05-28","9","37","0.24324324324324326"
"2020-05-29","7","41","0.17073170731707318"
"2020-05-30","15","43","0.3488372093023256"
"2020-05-31","19","29","0.6551724137931034"
"2020-06-01","20","29","0.6896551724137931"
"2020-06-02","20","45","0.4444444444444444"
"2020-06-03","24","41","0.5853658536585366"
"2020-06-04","15","47","0.3191489361702128"
"2020-06-05","12","36","0.3333333333333333"
"2020-06-06","25","39","0.6410256410256411"
"2020-06-07","21","33","0.6363636363636364"
"2020-06-08","24","40","0.6"
"2020-06-09","26","40","0.65"
"2020-06-10","17","36","0.4722222222222222"
"2020-06-11","20","46","0.43478260869565216"
"2020-06-12","15","42","0.35714285714285715"
"2020-06-13","22","40","0.55"
"2020-06-14","20","39","0.5128205128205128"
"2020-06-15","19","35","0.5428571428571428"
"2020-06-16","23","33","0.696969696969697"
"2020-06-17","16","45","0.35555555555555557"
"2020-06-18","22","44","0.5"
"2020-06-19","30","48","0.625"
"2020-06-20","20","29","0.6896551724137931"
"2020-06-21","14","27","0.5185185185185185"
"2020-06-22","15","32","0.46875"
"2020-06-23","20","37","0.5405405405405406"
"2020-06-24","17","43","0.3953488372093023"
"2020-06-25","12","39","0.3076923076923077"
"2020-06-26","14","48","0.2916666666666667"
"2020-06-27","10","33","0.30303030303030304"
"2020-06-28","12","28","0.42857142857142855"
"2020-06-29","12","40","0.3"
"2020-06-30","12","32","0.375"
"2020-07-01","16","38","0.42105263157894735"
"2020-07-02","14","44","0.3181818181818182"
"2020-07-03","8","29","0.27586206896551724"
"2020-07-04","17","39","0.4358974358974359"
"2020-07-05","14","38","0.3684210526315789"
"2020-07-06","13","37","0.35135135135135137"
"2020-07-07","10","37","0.2702702702702703"
"2020-07-08","16","46","0.34782608695652173"
"2020-07-09","13","46","0.2826086956521739"
"2020-07-10","11","36","0.3055555555555556"
"2020-07-11","20","48","0.4166666666666667"
"2020-07-12","11","23","0.4782608695652174"
"2020-07-13","13","46","0.2826086956521739"
"2020-07-14","13","47","0.2765957446808511"
"2020-07-15","12","42","0.2857142857142857"
"2020-07-16","20","63","0.31746031746031744"
"2020-07-17","16","48","0.3333333333333333"
"2020-07-18","11","41","0.2682926829268293"
"2020-07-19","14","39","0.358974358974359"
"2020-07-20","14","45","0.3111111111111111"
"2020-07-21","10","36","0.2777777777777778"
"2020-07-22","15","50","0.3"
"2020-07-23","19","54","0.35185185185185186"
"2020-07-24","10","28","0.35714285714285715"
"2020-07-25","0","3","0"
"2020-07-26","0","2","0"
"2020-07-27","13","30","0.43333333333333335"
"2020-07-28","7","22","0.3181818181818182"
"2020-07-29","8","38","0.21052631578947367"
"2020-07-30","20","53","0.37735849056603776"
"2020-07-31","13","40","0.325"
"2020-08-01","19","47","0.40425531914893614"
"2020-08-02","12","29","0.41379310344827586"
"2020-08-03","14","50","0.28"
"2020-08-04","6","35","0.17142857142857143"
"2020-08-05","4","14","0.2857142857142857"
"2020-08-06","5","13","0.38461538461538464"
"2020-08-07","4","16","0.25"
"2020-08-08","21","69","0.30434782608695654"
"2020-08-09","20","40","0.5"
"2020-08-10","18","48","0.375"
"2020-08-11","24","50","0.48"
"2020-08-12","26","56","0.4642857142857143"
"2020-08-13","13","47","0.2765957446808511"
"2020-08-14","15","58","0.25862068965517243"
"2020-08-15","16","39","0.41025641025641024"
"2020-08-16","13","44","0.29545454545454547"
"2020-08-17","21","46","0.45652173913043476"
"2020-08-18","22","61","0.36065573770491804"
"2020-08-19","16","43","0.37209302325581395"
"2020-08-20","10","46","0.21739130434782608"
"2020-08-21","14","55","0.2545454545454545"
"2020-08-22","13","43","0.3023255813953488"
"2020-08-23","7","33","0.21212121212121213"
"2020-08-24","14","43","0.32558139534883723"
"2020-08-25","12","51","0.23529411764705882"
"2020-08-26","15","51","0.29411764705882354"
"2020-08-27","14","45","0.3111111111111111"
"2020-08-28","17","55","0.3090909090909091"
"2020-08-29","17","79","0.21518987341772153"
"2020-08-30","15","41","0.36585365853658536"
"2020-08-31","17","48","0.3541666666666667"
"2020-09-01","20","49","0.40816326530612246"
"2020-09-02","17","52","0.3269230769230769"
"2020-09-03","18","53","0.33962264150943394"
"2020-09-04","22","55","0.4"
"2020-09-05","26","63","0.4126984126984127"
"2020-09-06","32","72","0.4444444444444444"
"2020-09-07","22","59","0.3728813559322034"
"2020-09-08","23","52","0.4423076923076923"
"2020-09-09","27","72","0.375"
"2020-09-10","33","121","0.2727272727272727"
"2020-09-11","17","75","0.22666666666666666"
"2020-09-12","19","55","0.34545454545454546"
"2020-09-13","20","71","0.28169014084507044"
"2020-09-14","28","80","0.35"
"2020-09-15","28","87","0.3218390804597701"
"2020-09-16","15","69","0.21739130434782608"
