date,count,total_count,ratio
"2020-01-01","0","25","0"
"2020-01-02","0","28","0"
"2020-01-03","0","29","0"
"2020-01-04","0","14","0"
"2020-01-05","0","27","0"
"2020-01-06","0","23","0"
"2020-01-07","0","28","0"
"2020-01-08","0","51","0"
"2020-01-09","0","17","0"
"2020-01-10","0","30","0"
"2020-01-11","0","14","0"
"2020-01-12","0","26","0"
"2020-01-13","0","26","0"
"2020-01-14","0","40","0"
"2020-01-15","1","31","0.03225806451612903"
"2020-01-16","0","30","0"
"2020-01-17","0","31","0"
"2020-01-18","0","20","0"
"2020-01-19","0","39","0"
"2020-01-20","1","25","0.04"
"2020-01-21","0","26","0"
"2020-01-22","0","39","0"
"2020-01-23","0","29","0"
"2020-01-24","0","19","0"
"2020-01-25","0","22","0"
"2020-01-26","0","34","0"
"2020-01-27","0","7","0"
"2020-01-28","0","17","0"
"2020-01-29","0","29","0"
"2020-01-30","0","25","0"
"2020-01-31","0","36","0"
"2020-02-01","0","24","0"
"2020-02-02","0","16","0"
"2020-02-03","0","35","0"
"2020-02-04","0","19","0"
"2020-02-05","1","28","0.03571428571428571"
"2020-02-06","0","31","0"
"2020-02-07","0","15","0"
"2020-02-08","0","19","0"
"2020-02-09","0","22","0"
"2020-02-10","0","13","0"
"2020-02-11","0","26","0"
"2020-02-12","0","26","0"
"2020-02-13","0","27","0"
"2020-02-14","0","24","0"
"2020-02-15","0","34","0"
"2020-02-16","0","16","0"
"2020-02-17","1","30","0.03333333333333333"
"2020-02-18","2","29","0.06896551724137931"
"2020-02-19","0","38","0"
"2020-02-20","0","13","0"
"2020-02-21","1","27","0.037037037037037035"
"2020-02-22","1","34","0.029411764705882353"
"2020-02-23","0","18","0"
"2020-02-24","1","9","0.1111111111111111"
"2020-02-25","1","19","0.05263157894736842"
"2020-02-26","0","25","0"
"2020-02-27","1","35","0.02857142857142857"
"2020-02-28","3","35","0.08571428571428572"
"2020-02-29","0","29","0"
"2020-03-01","0","17","0"
"2020-03-02","0","35","0"
"2020-03-03","1","27","0.037037037037037035"
"2020-03-04","4","33","0.12121212121212122"
"2020-03-05","0","32","0"
"2020-03-06","0","18","0"
"2020-03-07","0","22","0"
"2020-03-08","0","17","0"
"2020-03-09","0","35","0"
"2020-03-10","0","54","0"
"2020-03-11","1","31","0.03225806451612903"
"2020-03-12","6","43","0.13953488372093023"
"2020-03-13","21","57","0.3684210526315789"
"2020-03-14","4","25","0.16"
"2020-03-15","8","40","0.2"
"2020-03-16","16","39","0.41025641025641024"
"2020-03-17","10","46","0.21739130434782608"
"2020-03-18","14","51","0.27450980392156865"
"2020-03-19","5","46","0.10869565217391304"
"2020-03-20","1","40","0.025"
"2020-03-21","7","34","0.20588235294117646"
"2020-03-22","11","33","0.3333333333333333"
"2020-03-23","3","43","0.06976744186046512"
"2020-03-24","5","21","0.23809523809523808"
"2020-03-25","2","29","0.06896551724137931"
"2020-03-26","6","34","0.17647058823529413"
"2020-03-27","6","29","0.20689655172413793"
"2020-03-28","9","37","0.24324324324324326"
"2020-03-29","3","27","0.1111111111111111"
"2020-03-30","7","41","0.17073170731707318"
"2020-03-31","10","54","0.18518518518518517"
"2020-04-01","9","28","0.32142857142857145"
"2020-04-02","6","47","0.1276595744680851"
"2020-04-03","10","29","0.3448275862068966"
"2020-04-04","4","25","0.16"
"2020-04-05","2","29","0.06896551724137931"
"2020-04-06","3","29","0.10344827586206896"
"2020-04-07","5","27","0.18518518518518517"
"2020-04-08","10","44","0.22727272727272727"
"2020-04-09","9","39","0.23076923076923078"
"2020-04-10","3","36","0.08333333333333333"
"2020-04-11","9","35","0.2571428571428571"
"2020-04-12","7","38","0.18421052631578946"
"2020-04-13","5","36","0.1388888888888889"
"2020-04-14","7","41","0.17073170731707318"
"2020-04-15","13","58","0.22413793103448276"
"2020-04-16","8","47","0.1702127659574468"
"2020-04-17","8","49","0.16326530612244897"
"2020-04-18","2","23","0.08695652173913043"
"2020-04-19","8","28","0.2857142857142857"
"2020-04-20","6","48","0.125"
"2020-04-21","5","32","0.15625"
"2020-04-22","9","31","0.2903225806451613"
"2020-04-23","8","39","0.20512820512820512"
"2020-04-24","4","30","0.13333333333333333"
"2020-04-25","6","35","0.17142857142857143"
"2020-04-26","5","28","0.17857142857142858"
"2020-04-27","1","33","0.030303030303030304"
"2020-04-28","2","32","0.0625"
"2020-04-29","4","40","0.1"
"2020-04-30","6","48","0.125"
"2020-05-01","7","42","0.16666666666666666"
"2020-05-02","4","22","0.18181818181818182"
"2020-05-03","8","29","0.27586206896551724"
"2020-05-04","8","47","0.1702127659574468"
"2020-05-05","12","39","0.3076923076923077"
"2020-05-06","15","61","0.2459016393442623"
"2020-05-07","18","57","0.3157894736842105"
"2020-05-08","8","47","0.1702127659574468"
"2020-05-09","6","30","0.2"
"2020-05-10","6","40","0.15"
"2020-05-11","5","29","0.1724137931034483"
"2020-05-12","6","40","0.15"
"2020-05-13","13","64","0.203125"
"2020-05-14","10","43","0.23255813953488372"
"2020-05-15","18","55","0.32727272727272727"
"2020-05-16","5","22","0.22727272727272727"
"2020-05-17","3","32","0.09375"
"2020-05-18","3","27","0.1111111111111111"
"2020-05-19","5","52","0.09615384615384616"
"2020-05-20","6","45","0.13333333333333333"
"2020-05-21","9","39","0.23076923076923078"
"2020-05-22","7","36","0.19444444444444445"
"2020-05-23","4","35","0.11428571428571428"
"2020-05-24","3","28","0.10714285714285714"
"2020-05-25","3","28","0.10714285714285714"
"2020-05-26","2","32","0.0625"
"2020-05-27","3","35","0.08571428571428572"
"2020-05-28","9","39","0.23076923076923078"
"2020-05-29","2","40","0.05"
"2020-05-30","5","21","0.23809523809523808"
"2020-05-31","4","29","0.13793103448275862"
"2020-06-01","6","43","0.13953488372093023"
"2020-06-02","8","44","0.18181818181818182"
"2020-06-03","1","38","0.02631578947368421"
"2020-06-04","7","36","0.19444444444444445"
"2020-06-05","2","29","0.06896551724137931"
"2020-06-06","2","25","0.08"
"2020-06-07","2","36","0.05555555555555555"
"2020-06-08","9","47","0.19148936170212766"
"2020-06-09","6","28","0.21428571428571427"
"2020-06-10","1","31","0.03225806451612903"
"2020-06-11","3","28","0.10714285714285714"
"2020-06-12","3","22","0.13636363636363635"
"2020-06-13","10","36","0.2777777777777778"
"2020-06-14","6","32","0.1875"
"2020-06-15","17","66","0.25757575757575757"
"2020-06-16","2","18","0.1111111111111111"
"2020-06-17","5","46","0.10869565217391304"
"2020-06-18","3","34","0.08823529411764706"
"2020-06-19","2","23","0.08695652173913043"
"2020-06-20","6","36","0.16666666666666666"
"2020-06-21","4","40","0.1"
"2020-06-22","7","51","0.13725490196078433"
"2020-06-23","5","41","0.12195121951219512"
"2020-06-24","2","40","0.05"
"2020-06-25","5","34","0.14705882352941177"
"2020-06-26","2","32","0.0625"
