date,count,total_count,ratio
"2020-01-01","0","158","0"
"2020-01-02","0","314","0"
"2020-01-03","0","363","0"
"2020-01-04","0","192","0"
"2020-01-05","0","203","0"
"2020-01-06","0","299","0"
"2020-01-07","1","343","0.0029154518950437317"
"2020-01-08","0","347","0"
"2020-01-09","0","368","0"
"2020-01-10","0","371","0"
"2020-01-11","0","216","0"
"2020-01-12","0","181","0"
"2020-01-13","0","337","0"
"2020-01-14","0","315","0"
"2020-01-15","0","356","0"
"2020-01-16","0","359","0"
"2020-01-17","0","321","0"
"2020-01-18","0","176","0"
"2020-01-19","1","218","0.0045871559633027525"
"2020-01-20","0","342","0"
"2020-01-21","0","440","0"
"2020-01-22","0","351","0"
"2020-01-23","0","371","0"
"2020-01-24","0","330","0"
"2020-01-25","0","198","0"
"2020-01-26","0","208","0"
"2020-01-27","0","345","0"
"2020-01-28","0","287","0"
"2020-01-29","0","318","0"
"2020-01-30","0","352","0"
"2020-01-31","0","351","0"
"2020-02-01","0","219","0"
"2020-02-02","0","197","0"
"2020-02-03","0","371","0"
"2020-02-04","0","366","0"
"2020-02-05","0","338","0"
"2020-02-06","0","366","0"
"2020-02-07","0","369","0"
"2020-02-08","0","191","0"
"2020-02-09","0","194","0"
"2020-02-10","1","331","0.0030211480362537764"
"2020-02-11","3","312","0.009615384615384616"
"2020-02-12","8","354","0.022598870056497175"
"2020-02-13","6","328","0.018292682926829267"
"2020-02-14","5","338","0.014792899408284023"
"2020-02-15","3","184","0.016304347826086956"
"2020-02-16","7","248","0.028225806451612902"
"2020-02-17","7","329","0.02127659574468085"
"2020-02-18","10","386","0.025906735751295335"
"2020-02-19","2","382","0.005235602094240838"
"2020-02-20","4","360","0.011111111111111112"
"2020-02-21","5","412","0.012135922330097087"
"2020-02-22","3","223","0.013452914798206279"
"2020-02-23","7","245","0.02857142857142857"
"2020-02-24","4","311","0.012861736334405145"
"2020-02-25","13","322","0.040372670807453416"
"2020-02-26","19","397","0.04785894206549118"
"2020-02-27","9","431","0.02088167053364269"
"2020-02-28","20","398","0.05025125628140704"
"2020-02-29","8","246","0.032520325203252036"
"2020-03-01","8","274","0.029197080291970802"
"2020-03-02","12","403","0.02977667493796526"
"2020-03-03","26","397","0.0654911838790932"
"2020-03-04","17","386","0.04404145077720207"
"2020-03-05","13","440","0.029545454545454545"
"2020-03-06","20","454","0.04405286343612335"
"2020-03-07","20","259","0.07722007722007722"
