date,count,total_count,ratio
"2020-01-01","0","464","0"
"2020-01-02","0","678","0"
"2020-01-03","0","897","0"
"2020-01-04","0","659","0"
"2020-01-05","0","773","0"
"2020-01-06","0","990","0"
"2020-01-07","0","1077","0"
"2020-01-08","0","1144","0"
"2020-01-09","0","1094","0"
"2020-01-10","28","1110","0.025225225225225224"
"2020-01-11","0","764","0"
"2020-01-12","0","622","0"
"2020-01-13","0","1060","0"
"2020-01-14","0","1053","0"
"2020-01-15","2","1130","0.0017699115044247787"
"2020-01-16","0","1006","0"
"2020-01-17","0","937","0"
"2020-01-18","0","648","0"
"2020-01-19","0","687","0"
"2020-01-20","0","1011","0"
"2020-01-21","0","1183","0"
"2020-01-22","0","1125","0"
"2020-01-23","0","1056","0"
"2020-01-24","0","1143","0"
"2020-01-25","0","793","0"
"2020-01-26","0","708","0"
"2020-01-27","0","1201","0"
"2020-01-28","0","1192","0"
"2020-01-29","0","1139","0"
"2020-01-30","0","1084","0"
"2020-01-31","0","1123","0"
"2020-02-01","0","734","0"
"2020-02-02","0","699","0"
"2020-02-03","0","1182","0"
"2020-02-04","0","1216","0"
"2020-02-05","0","1105","0"
"2020-02-06","0","1128","0"
"2020-02-07","0","1216","0"
"2020-02-08","0","721","0"
"2020-02-09","0","683","0"
"2020-02-10","28","1286","0.02177293934681182"
"2020-02-11","16","1172","0.013651877133105802"
"2020-02-12","42","1332","0.03153153153153153"
"2020-02-13","46","1203","0.038237738985868665"
"2020-02-14","42","1128","0.03723404255319149"
"2020-02-15","25","719","0.03477051460361613"
"2020-02-16","40","768","0.052083333333333336"
"2020-02-17","54","1223","0.044153720359771054"
"2020-02-18","56","1323","0.042328042328042326"
"2020-02-19","36","1296","0.027777777777777776"
"2020-02-20","35","1340","0.026119402985074626"
"2020-02-21","48","1194","0.04020100502512563"
"2020-02-22","42","809","0.0519159456118665"
"2020-02-23","29","847","0.03423848878394333"
"2020-02-24","45","934","0.048179871520342615"
"2020-02-25","63","907","0.06945975744211687"
"2020-02-26","119","1309","0.09090909090909091"
"2020-02-27","117","1264","0.0925632911392405"
"2020-02-28","177","1236","0.14320388349514562"
"2020-02-29","103","804","0.1281094527363184"
"2020-03-01","81","859","0.09429569266589057"
"2020-03-02","101","1229","0.0821806346623271"
"2020-03-03","123","1408","0.08735795454545454"
"2020-03-04","122","1310","0.09312977099236641"
"2020-03-05","128","1276","0.10031347962382445"
"2020-03-06","151","1296","0.11651234567901235"
"2020-03-07","130","880","0.14772727272727273"
"2020-03-08","76","816","0.09313725490196079"
"2020-03-09","202","1416","0.1426553672316384"
"2020-03-10","220","1485","0.14814814814814814"
"2020-03-11","288","1471","0.19578518014955812"
"2020-03-12","426","1486","0.28667563930013457"
"2020-03-13","473","1323","0.35752078609221466"
"2020-03-14","422","989","0.42669362992922144"
"2020-03-15","385","949","0.40569020021074814"
"2020-03-16","634","1421","0.44616467276565797"
"2020-03-17","734","1440","0.5097222222222222"
"2020-03-18","678","1396","0.48567335243553006"
"2020-03-19","670","1297","0.5165767154973014"
"2020-03-20","650","1334","0.487256371814093"
"2020-03-21","492","893","0.5509518477043673"
"2020-03-22","424","821","0.5164433617539586"
"2020-03-23","676","1302","0.5192012288786483"
"2020-03-24","710","1347","0.5270972531551597"
"2020-03-25","649","1272","0.5102201257861635"
"2020-03-26","579","1245","0.4650602409638554"
"2020-03-27","574","1134","0.5061728395061729"
